no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,763803A001,청송군 청송읍,2017-02-01,-1.4,4.8,-8.5,47.5,,,,0.0,436,12.5,0,-1.3,-0.3,,2017,2,1
33,763803A001,청송군 청송읍,2017-02-02,-2.9,6.4,-12.9,48.7,,,,0.0,581,14.8,0,-2.6,-0.4,,2017,2,2
34,763803A001,청송군 청송읍,2017-02-03,-1.8,8.5,-10.4,67.5,,,,0.0,547,13.9,0,-1.7,-0.4,,2017,2,3
35,763803A001,청송군 청송읍,2017-02-04,0.9,12.9,-9.3,58.4,,,,0.0,440,12.0,11,1.4,-0.3,,2017,2,4
36,763803A001,청송군 청송읍,2017-02-05,4.3,11.0,0.8,64.4,,,,0.0,245,8.5,47,4.4,-0.1,,2017,2,5
37,763803A001,청송군 청송읍,2017-02-06,0.2,5.5,-7.4,54.7,,,,0.0,576,13.9,0,0.4,-0.1,,2017,2,6
38,763803A001,청송군 청송읍,2017-02-07,-2.8,7.7,-10.9,66.5,,,,0.0,250,10.5,0,-2.6,-0.1,,2017,2,7
39,763803A001,청송군 청송읍,2017-02-08,-0.5,7.1,-8.8,59.3,,,,0.0,276,9.0,2,-0.6,-0.1,,2017,2,8
40,763803A001,청송군 청송읍,2017-02-09,-1.9,1.4,-6.6,47.2,,,,0.0,516,14.3,0,-1.0,-0.1,,2017,2,9
41,763803A001,청송군 청송읍,2017-02-10,-5.1,-0.7,-8.0,46.8,,,,0.0,570,15.1,0,-4.2,-0.2,,2017,2,10
42,763803A001,청송군 청송읍,2017-02-11,-4.6,1.0,-12.5,53.7,,,,0.0,592,15.3,0,-3.7,-0.2,,2017,2,11
43,763803A001,청송군 청송읍,2017-02-12,-4.6,5.2,-13.0,61.1,,,,0.0,593,15.8,0,-4.2,-0.3,,2017,2,12
44,763803A001,청송군 청송읍,2017-02-13,-2.9,7.2,-13.2,62.0,,,,0.0,571,15.0,0,-2.4,-0.4,,2017,2,13
45,763803A001,청송군 청송읍,2017-02-14,-1.0,7.3,-8.1,72.9,,,,0.0,456,13.3,77,-0.8,-0.2,,2017,2,14
46,763803A001,청송군 청송읍,2017-02-15,-1.6,11.5,-11.2,59.6,,,,0.0,538,14.6,15,-1.8,-0.2,,2017,2,15
47,763803A001,청송군 청송읍,2017-02-16,2.8,16.1,-9.3,53.8,,,,0.0,527,14.4,97,2.9,-0.1,,2017,2,16
48,763803A001,청송군 청송읍,2017-02-17,7.3,12.2,-4.3,61.0,,,,0.0,456,14.0,338,7.3,0.0,,2017,2,17
49,763803A001,청송군 청송읍,2017-02-18,-1.5,4.7,-9.5,45.4,,,,0.0,608,16.8,0,-1.0,-0.1,,2017,2,18
50,763803A001,청송군 청송읍,2017-02-19,0.8,11.2,-9.7,61.6,,,,1.0,484,13.5,265,1.5,-0.1,,2017,2,19
51,763803A001,청송군 청송읍,2017-02-20,3.7,8.4,-5.7,66.4,,,,9.0,505,15.1,420,3.7,0.0,,2017,2,20
52,763803A001,청송군 청송읍,2017-02-21,-1.3,9.2,-9.6,71.6,,,,0.0,600,16.2,119,0.0,-0.1,,2017,2,21
53,763803A001,청송군 청송읍,2017-02-22,2.0,5.5,-2.8,90.3,,,,17.5,0,2.8,985,1.6,0.0,,2017,2,22
54,763803A001,청송군 청송읍,2017-02-23,1.9,5.0,-2.8,66.9,,,,0.0,94,8.4,93,1.4,0.1,,2017,2,23
55,763803A001,청송군 청송읍,2017-02-24,-0.2,5.7,-5.6,51.6,,,,0.0,616,17.8,0,0.6,0.3,,2017,2,24
56,763803A001,청송군 청송읍,2017-02-25,0.6,8.8,-6.9,60.9,,,,0.0,612,17.9,7,1.1,0.6,,2017,2,25
57,763803A001,청송군 청송읍,2017-02-26,0.6,10.9,-6.6,72.8,,,,0.0,464,15.8,92,1.4,0.9,,2017,2,26
58,763803A001,청송군 청송읍,2017-02-27,0.6,10.0,-6.4,83.0,,,,0.0,347,12.2,212,0.5,1.4,,2017,2,27
59,763803A001,청송군 청송읍,2017-02-28,1.8,13.1,-6.5,67.8,,,,0.0,597,17.6,70,2.2,1.8,,2017,2,28
