no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,345802A001,청양군 청양읍,2011-07-01,24.6,29.0,22.0,89.8,178.4,1.2,7.4,0.0,176,39.6,139,26.2,26.2,,2011,7,1
183,345802A001,청양군 청양읍,2011-07-02,26.0,31.4,24.0,90.5,184.4,1.3,7.0,1.0,166,39.9,55,27.1,27.1,,2011,7,2
184,345802A001,청양군 청양읍,2011-07-03,25.1,25.6,24.6,94.8,160.6,2.0,8.4,17.5,0,22.0,676,25.7,25.7,,2011,7,3
185,345802A001,청양군 청양읍,2011-07-04,20.1,21.7,19.0,91.2,87.0,0.5,12.0,0.0,0,5.7,0,25.1,25.1,,2011,7,4
186,345802A001,청양군 청양읍,2011-07-05,23.1,31.0,18.1,84.5,203.1,1.4,8.9,0.0,562,39.8,76,26.5,26.5,,2011,7,5
187,345802A001,청양군 청양읍,2011-07-06,23.2,29.7,18.1,86.0,181.7,0.9,7.2,0.0,172,39.7,116,25.7,25.6,,2011,7,6
188,345802A001,청양군 청양읍,2011-07-07,23.8,26.4,22.6,94.6,181.2,2.4,16.1,32.5,0,40.0,1231,24.5,24.5,,2011,7,7
189,345802A001,청양군 청양읍,2011-07-08,23.4,24.7,22.4,94.6,178.9,1.3,9.8,33.0,0,40.0,1015,24.4,24.4,,2011,7,8
190,345802A001,청양군 청양읍,2011-07-09,24.7,27.5,22.6,93.9,158.7,1.4,9.6,13.5,14,39.7,665,25.3,25.3,,2011,7,9
191,345802A001,청양군 청양읍,2011-07-10,22.6,24.1,21.4,96.8,186.2,1.0,6.2,79.5,0,40.0,993,23.7,23.7,,2011,7,10
192,345802A001,청양군 청양읍,2011-07-11,21.2,22.3,20.4,97.0,175.8,1.3,9.1,142.0,0,40.0,895,22.0,22.0,,2011,7,11
193,345802A001,청양군 청양읍,2011-07-12,23.2,25.5,21.3,96.8,164.9,1.5,12.0,99.5,0,39.9,847,23.1,23.1,,2011,7,12
194,345802A001,청양군 청양읍,2011-07-13,24.9,26.2,23.3,94.5,169.9,1.9,7.9,4.0,0,39.9,864,24.4,24.4,,2011,7,13
195,345802A001,청양군 청양읍,2011-07-14,26.0,29.6,24.4,93.0,165.3,2.1,15.6,28.5,48,39.9,673,26.0,25.9,,2011,7,14
196,345802A001,청양군 청양읍,2011-07-15,26.6,30.2,24.9,89.4,177.3,2.9,15.8,6.5,60,39.6,439,26.3,26.3,,2011,7,15
197,345802A001,청양군 청양읍,2011-07-16,26.5,29.5,23.4,91.0,175.5,1.5,8.9,3.5,173,39.9,155,27.2,27.2,,2011,7,16
198,345802A001,청양군 청양읍,2011-07-17,26.6,31.5,24.0,90.0,167.3,1.2,7.4,0.0,245,39.8,0,28.5,28.5,,2011,7,17
199,345802A001,청양군 청양읍,2011-07-18,28.3,33.2,22.9,79.9,95.0,1.2,10.6,0.0,552,39.9,0,29.4,29.4,,2011,7,18
200,345802A001,청양군 청양읍,2011-07-19,24.5,27.9,22.4,86.4,39.1,0.8,5.3,0.0,0,7.6,0,25.7,25.7,,2011,7,19
203,345802A001,청양군 청양읍,2011-07-22,25.7,28.9,-39.8,87.2,252.3,0.9,6.2,1.5,51,39.9,178,28.6,28.6,,2011,7,22
204,345802A001,청양군 청양읍,2011-07-23,25.4,28.9,23.2,90.8,244.6,0.9,7.0,0.5,302,40.0,281,27.8,27.8,,2011,7,23
205,345802A001,청양군 청양읍,2011-07-24,24.5,27.2,23.2,94.9,169.4,1.1,7.9,39.0,60,39.8,542,26.1,26.1,,2011,7,24
206,345802A001,청양군 청양읍,2011-07-25,26.3,30.7,23.5,89.1,160.9,1.0,8.2,0.0,389,40.0,0,27.6,27.6,,2011,7,25
207,345802A001,청양군 청양읍,2011-07-26,26.2,31.4,22.7,90.2,170.6,1.9,11.8,31.0,195,40.0,359,27.0,26.9,,2011,7,26
208,345802A001,청양군 청양읍,2011-07-27,27.7,29.5,26.1,87.0,185.9,3.7,19.9,12.0,32,40.0,443,26.7,26.7,,2011,7,27
209,345802A001,청양군 청양읍,2011-07-28,27.7,30.0,26.5,84.0,188.2,3.7,21.8,0.0,280,40.0,103,26.9,26.9,,2011,7,28
210,345802A001,청양군 청양읍,2011-07-29,26.7,29.9,25.0,92.2,209.2,1.5,9.8,56.5,178,39.1,903,27.7,27.7,,2011,7,29
211,345802A001,청양군 청양읍,2011-07-30,27.0,30.8,24.2,90.1,227.3,1.0,7.7,1.0,303,39.9,438,28.9,28.9,,2011,7,30
212,345802A001,청양군 청양읍,2011-07-31,26.0,29.1,23.8,93.0,167.4,1.4,9.6,28.0,10,39.8,538,27.1,27.1,,2011,7,31
