no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,363883B001,청원군 오창읍,2017-05-01,18.9,28.0,10.4,67.1,211.2,1.0,5.1,0.0,613,24.9,,,15.8,,2017,5,1
122,363883B001,청원군 오창읍,2017-05-02,19.0,28.0,10.0,53.6,307.5,1.1,4.5,0.0,669,22.5,,,16.1,,2017,5,2
123,363883B001,청원군 오창읍,2017-05-03,19.7,29.5,9.3,56.8,273.3,1.1,7.9,0.0,744,27.0,,,16.4,,2017,5,3
124,363883B001,청원군 오창읍,2017-05-04,20.0,28.5,11.8,62.4,299.0,1.2,5.3,0.0,432,20.3,,,16.8,,2017,5,4
125,363883B001,청원군 오창읍,2017-05-05,21.5,28.7,16.4,62.5,265.0,1.6,7.7,0.0,503,22.5,,,17.6,,2017,5,5
126,363883B001,청원군 오창읍,2017-05-06,15.9,22.9,9.0,44.9,258.7,2.4,11.8,0.0,704,25.8,,,17.0,,2017,5,6
127,363883B001,청원군 오창읍,2017-05-07,15.2,24.4,8.5,62.2,255.1,2.0,9.7,0.0,627,26.8,,,15.8,,2017,5,7
128,363883B001,청원군 오창읍,2017-05-08,16.3,23.1,7.0,65.3,213.9,1.7,8.1,0.0,16,15.9,,,15.6,,2017,5,8
129,363883B001,청원군 오창읍,2017-05-09,15.8,20.6,13.8,76.6,113.6,2.0,11.1,3.0,50,8.9,,,15.7,,2017,5,9
130,363883B001,청원군 오창읍,2017-05-10,15.9,20.4,13.6,88.2,248.6,1.5,7.4,1.5,160,11.5,,,15.7,,2017,5,10
131,363883B001,청원군 오창읍,2017-05-11,17.9,25.3,12.6,84.3,214.1,1.3,5.2,0.0,222,14.4,,,16.0,,2017,5,11
132,363883B001,청원군 오창읍,2017-05-12,19.1,23.8,14.5,85.4,223.9,1.6,10.2,1.0,0,10.7,,,16.6,,2017,5,12
133,363883B001,청원군 오창읍,2017-05-13,17.3,24.5,12.3,83.6,218.4,2.1,14.4,0.5,143,17.0,,,16.8,,2017,5,13
134,363883B001,청원군 오창읍,2017-05-14,15.6,21.3,10.5,63.0,257.1,2.6,11.1,0.0,676,29.1,,,16.3,,2017,5,14
135,363883B001,청원군 오창읍,2017-05-15,15.7,21.7,8.9,67.1,254.9,2.5,10.1,0.0,589,28.8,,,15.9,,2017,5,15
136,363883B001,청원군 오창읍,2017-05-16,16.4,22.4,11.9,72.6,246.7,1.6,5.6,0.0,247,20.1,,,16.3,,2017,5,16
137,363883B001,청원군 오창읍,2017-05-17,17.6,25.4,9.5,67.9,308.2,1.2,5.9,0.0,536,25.6,,,16.5,,2017,5,17
138,363883B001,청원군 오창읍,2017-05-18,19.1,27.4,9.8,63.5,256.7,1.3,6.2,0.0,535,25.7,,,16.8,,2017,5,18
139,363883B001,청원군 오창읍,2017-05-19,20.2,29.4,11.3,59.9,274.3,1.6,6.9,0.0,620,28.2,,,17.2,,2017,5,19
140,363883B001,청원군 오창읍,2017-05-20,19.1,27.6,11.2,56.8,284.4,1.4,7.4,0.0,460,24.6,,,17.3,,2017,5,20
141,363883B001,청원군 오창읍,2017-05-21,20.1,27.9,12.1,59.6,298.0,1.3,6.3,0.0,544,28.6,,,17.6,,2017,5,21
142,363883B001,청원군 오창읍,2017-05-22,20.7,28.5,12.4,62.1,243.3,1.4,7.0,0.0,580,27.9,,,18.0,,2017,5,22
143,363883B001,청원군 오창읍,2017-05-23,20.2,25.2,14.0,69.6,280.9,1.1,4.9,0.0,79,16.7,,,18.1,,2017,5,23
144,363883B001,청원군 오창읍,2017-05-24,20.2,26.5,16.3,81.4,319.4,1.2,6.0,3.0,401,21.1,,,18.6,,2017,5,24
145,363883B001,청원군 오창읍,2017-05-25,18.8,27.2,12.3,69.4,254.3,2.4,11.7,0.0,525,27.6,,,18.5,,2017,5,25
146,363883B001,청원군 오창읍,2017-05-26,16.4,21.3,9.1,56.1,272.6,1.6,8.8,0.0,580,29.1,,,17.8,,2017,5,26
147,363883B001,청원군 오창읍,2017-05-27,18.2,26.0,11.7,62.7,247.9,1.6,6.7,0.0,588,29.4,,,17.7,,2017,5,27
148,363883B001,청원군 오창읍,2017-05-28,20.0,28.4,11.3,64.3,216.6,2.7,9.9,0.0,442,24.7,,,17.8,,2017,5,28
149,363883B001,청원군 오창읍,2017-05-29,23.5,32.2,15.7,66.3,222.0,2.3,7.2,0.0,467,26.4,,,18.5,,2017,5,29
150,363883B001,청원군 오창읍,2017-05-30,22.9,29.4,15.7,66.2,210.1,1.8,13.0,0.0,404,23.5,,,18.9,,2017,5,30
151,363883B001,청원군 오창읍,2017-05-31,21.9,27.7,15.6,72.6,212.3,1.5,6.5,0.0,295,22.5,,,19.0,,2017,5,31
