no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,363844A001,청주시 남일면,2019-09-01,22.5,29.4,16.3,81.7,186.5,0.6,3.4,0.0,180.0,16.1,458,,23.7,24.2,2019,9,1
245,363844A001,청주시 남일면,2019-09-02,22.5,27.9,19.4,85.3,166.7,0.8,4.2,6.5,24.0,10.9,423,,24.1,23.7,2019,9,2
246,363844A001,청주시 남일면,2019-09-03,22.0,25.0,19.7,92.2,167.7,0.5,2.7,3.0,0.0,6.7,668,,23.9,25.9,2019,9,3
247,363844A001,청주시 남일면,2019-09-04,23.6,28.1,21.3,90.6,145.2,0.7,5.4,8.0,51.0,9.7,962,,24.1,26.4,2019,9,4
248,363844A001,청주시 남일면,2019-09-05,23.8,29.9,20.6,91.9,170.4,0.5,6.8,29.5,46.0,9.2,969,,24.3,27.7,2019,9,5
249,363844A001,청주시 남일면,2019-09-06,24.8,29.1,21.6,88.5,114.4,0.6,8.8,0.0,61.0,4.4,455,,24.4,28.1,2019,9,6
250,363844A001,청주시 남일면,2019-09-07,26.7,30.8,22.2,75.3,144.4,4.1,20.3,2.0,17.0,6.5,315,,24.6,26.6,2019,9,7
251,363844A001,청주시 남일면,2019-09-08,24.6,30.3,20.6,87.7,186.1,0.5,3.9,2.0,7.0,10.8,578,,24.5,26.1,2019,9,8
252,363844A001,청주시 남일면,2019-09-09,23.8,25.7,22.0,94.9,191.5,0.5,3.1,5.5,0.0,6.2,1168,,24.7,26.5,2019,9,9
253,363844A001,청주시 남일면,2019-09-10,26.5,34.0,22.3,82.9,167.0,1.0,6.3,0.0,72.0,17.6,455,,25.1,26.1,2019,9,10
254,363844A001,청주시 남일면,2019-09-11,24.6,26.9,23.2,83.0,167.5,1.2,7.1,1.0,28.0,6.6,310,,25.1,25.6,2019,9,11
255,363844A001,청주시 남일면,2019-09-12,21.4,23.6,18.2,73.1,114.8,0.9,7.8,1.0,0.0,6.1,187,,24.3,25.4,2019,9,12
256,363844A001,청주시 남일면,2019-09-13,21.8,28.3,15.2,74.2,140.9,0.9,6.3,0.0,335.0,22.1,239,,23.5,25.0,2019,9,13
257,363844A001,청주시 남일면,2019-09-14,22.1,27.9,16.7,82.2,196.6,0.5,2.9,0.0,20.0,11.0,134,,23.5,24.4,2019,9,14
258,363844A001,청주시 남일면,2019-09-15,25.1,31.7,19.8,77.3,192.6,0.6,4.0,0.0,163.0,20.3,204,,24.1,23.8,2019,9,15
259,363844A001,청주시 남일면,2019-09-16,23.4,30.1,18.4,74.6,128.6,0.7,4.9,0.0,183.0,17.5,60,,24.3,23.0,2019,9,16
260,363844A001,청주시 남일면,2019-09-17,21.1,29.2,13.8,73.6,151.5,0.8,5.5,0.0,260.0,20.2,430,,23.3,22.2,2019,9,17
261,363844A001,청주시 남일면,2019-09-18,21.0,28.7,12.5,67.2,228.0,1.3,8.1,0.0,665.0,21.6,0,,23.2,21.3,2019,9,18
262,363844A001,청주시 남일면,2019-09-19,18.8,28.2,10.6,72.0,156.2,0.8,4.9,0.0,522.0,18.5,376,,22.0,20.5,2019,9,19
263,363844A001,청주시 남일면,2019-09-20,18.9,25.8,14.8,75.3,119.5,0.9,7.0,0.0,62.0,9.4,174,,21.7,20.1,2019,9,20
264,363844A001,청주시 남일면,2019-09-21,17.5,21.0,15.7,87.6,112.2,0.9,6.2,32.5,0.0,2.3,809,,21.2,22.7,2019,9,21
265,363844A001,청주시 남일면,2019-09-22,16.8,18.2,15.3,90.7,162.0,1.2,11.0,57.5,0.0,1.9,1229,,20.0,33.0,2019,9,22
266,363844A001,청주시 남일면,2019-09-23,17.8,21.9,12.7,78.0,226.5,0.2,4.3,0.0,160.0,10.2,220,,20.0,29.4,2019,9,23
267,363844A001,청주시 남일면,2019-09-24,16.9,26.1,10.4,82.4,132.0,0.1,4.2,0.0,524.0,18.5,750,,19.6,27.2,2019,9,24
268,363844A001,청주시 남일면,2019-09-25,17.7,27.2,10.6,83.0,84.8,0.0,3.2,0.0,374.0,14.5,539,,19.6,26.4,2019,9,25
269,363844A001,청주시 남일면,2019-09-26,20.1,25.9,15.5,80.7,82.5,0.1,4.9,0.0,127.0,11.5,172,,20.2,25.8,2019,9,26
270,363844A001,청주시 남일면,2019-09-27,21.4,29.9,14.4,79.6,,0.0,2.3,0.0,443.0,15.5,510,,20.5,25.3,2019,9,27
271,363844A001,청주시 남일면,2019-09-28,23.5,30.7,18.2,80.1,216.4,0.2,4.5,0.0,375.0,16.4,267,,21.4,24.8,2019,9,28
272,363844A001,청주시 남일면,2019-09-29,21.5,29.5,15.7,78.8,133.5,0.1,3.5,0.0,591.0,18.0,658,,21.7,24.2,2019,9,29
273,363844A001,청주시 남일면,2019-09-30,21.1,30.1,13.4,77.5,,0.0,1.5,0.0,596.0,18.5,527,,21.1,23.6,2019,9,30
