stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
363844A001,没林矫 巢老搁,2024-06-01,20.3,25.2,15.1,61.1,216.9,1.2,7.4,0.0,102,20.5,38,,23.6,22.4,2024,6,1
363844A001,没林矫 巢老搁,2024-06-02,19.6,26.9,12.2,60.6,214.3,1.0,7.7,0.0,390,26.5,21,,23.3,21.7,2024,6,2
363844A001,没林矫 巢老搁,2024-06-03,20.6,27.9,12.5,61.6,150.7,0.8,5.9,0.0,392,26.2,1,,23.8,21.2,2024,6,3
363844A001,没林矫 巢老搁,2024-06-04,21.8,29.0,14.6,53.9,171.2,0.7,4.9,0.0,422,29.7,178,,25.0,20.6,2024,6,4
363844A001,没林矫 巢老搁,2024-06-05,22.0,30.7,13.6,62.2,136.6,0.8,4.9,0.0,340,23.5,654,,24.9,19.9,2024,6,5
363844A001,没林矫 巢老搁,2024-06-06,23.4,30.1,17.1,62.7,158.7,0.8,5.2,0.0,265,25.1,503,,25.6,19.3,2024,6,6
363844A001,没林矫 巢老搁,2024-06-07,22.4,29.1,15.5,68.5,154.8,0.8,4.5,0.0,313,21.1,509,,25.5,18.7,2024,6,7
363844A001,没林矫 巢老搁,2024-06-08,20.7,25.5,18.1,86.7,130.9,0.9,5.3,7.5,3,10.8,641,,24.0,18.3,2024,6,8
363844A001,没林矫 巢老搁,2024-06-09,23.8,30.3,18.3,71.4,193.3,0.8,4.6,0.0,302,26.4,189,,24.4,18.9,2024,6,9
363844A001,没林矫 巢老搁,2024-06-10,24.4,31.4,17.4,69.3,158.2,1.1,6.1,0.0,349,25.0,323,,25.6,18.8,2024,6,10
363844A001,没林矫 巢老搁,2024-06-11,25.0,32.4,17.7,66.3,195.0,0.8,6.8,0.0,308,26.9,0,,26.7,18.3,2024,6,11
363844A001,没林矫 巢老搁,2024-06-12,25.3,33.7,17.8,58.3,192.2,0.9,5.4,0.0,337,28.6,128,,27.6,17.7,2024,6,12
363844A001,没林矫 巢老搁,2024-06-13,25.3,34.1,16.1,58.0,194.0,0.8,5.5,0.0,234,27.6,0,,28.0,17.0,2024,6,13
363844A001,没林矫 巢老搁,2024-06-14,25.8,33.1,18.7,59.6,186.2,1.0,5.0,0.0,266,24.5,0,,28.2,16.4,2024,6,14
363844A001,没林矫 巢老搁,2024-06-15,24.6,30.3,20.5,73.2,223.0,0.7,6.0,0.0,96,17.0,88,,27.6,15.8,2024,6,15
363844A001,没林矫 巢老搁,2024-06-16,24.3,30.5,18.9,62.1,226.6,1.0,6.8,0.0,320,27.7,221,,27.5,15.5,2024,6,16
363844A001,没林矫 巢老搁,2024-06-17,23.4,30.2,16.1,64.1,168.2,0.8,5.4,0.0,286,21.3,2,,27.2,14.9,2024,6,17
363844A001,没林矫 巢老搁,2024-06-18,25.1,34.0,15.2,58.9,192.8,0.9,6.3,0.0,246,28.3,56,,27.7,14.5,2024,6,18
363844A001,没林矫 巢老搁,2024-06-19,27.4,37.0,18.7,60.3,176.7,0.7,4.2,0.0,239,26.3,252,,29.2,14.0,2024,6,19
363844A001,没林矫 巢老搁,2024-06-20,25.4,32.9,18.9,58.2,111.3,1.0,6.6,0.0,178,18.6,0,,28.6,13.3,2024,6,20
363844A001,没林矫 巢老搁,2024-06-21,25.5,33.1,17.4,64.1,160.2,0.8,4.2,0.0,242,25.3,0,,28.5,12.8,2024,6,21
363844A001,没林矫 巢老搁,2024-06-22,23.7,25.9,22.2,88.9,134.5,0.5,5.0,20.0,0,3.8,934,,27.0,14.1,2024,6,22
363844A001,没林矫 巢老搁,2024-06-23,25.0,29.0,22.6,85.9,187.2,1.1,5.7,5.5,0,11.8,611,,25.6,22.2,2024,6,23
363844A001,没林矫 巢老搁,2024-06-24,25.3,30.7,19.6,73.6,193.6,1.1,7.2,0.0,157,19.3,288,,25.8,22.0,2024,6,24
363844A001,没林矫 巢老搁,2024-06-25,22.3,28.6,16.3,68.1,191.8,0.9,7.3,0.0,120,19.0,70,,24.3,20.1,2024,6,25
363844A001,没林矫 巢老搁,2024-06-26,23.5,31.3,16.6,68.6,158.6,0.6,4.4,0.0,356,26.7,308,,25.5,18.4,2024,6,26
363844A001,没林矫 巢老搁,2024-06-27,23.1,29.4,17.6,72.6,122.5,0.8,4.1,0.0,105,16.0,143,,25.7,16.9,2024,6,27
363844A001,没林矫 巢老搁,2024-06-28,24.6,32.9,15.6,61.1,176.3,0.7,4.6,0.0,325,28.7,160,,26.6,15.7,2024,6,28
363844A001,没林矫 巢老搁,2024-06-29,25.1,42.4,20.8,78.0,122.2,1.5,7.5,46.0,187,14.9,457,,27.1,17.5,2024,6,29
363844A001,没林矫 巢老搁,2024-06-30,25.7,26.9,23.0,85.7,159.8,2.0,8.5,3.0,6,10.4,395,,25.6,26.4,2024,6,30
