no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,363844A001,청주시 남일면,2016-01-01,0.2,6.7,-5.9,76.2,171.9,0.8,4.3,0.0,270.0,6.9,1425,,3.2,25.9,2016
2,363844A001,청주시 남일면,2016-01-02,5.4,12.9,-0.7,69.9,186.4,0.9,7.4,0.0,363.0,8.1,1426,,4.4,25.9,2016
3,363844A001,청주시 남일면,2016-01-03,5.1,11.7,1.6,82.2,162.6,0.5,3.6,0.0,270.0,6.8,1398,,5.4,25.9,2016
4,363844A001,청주시 남일면,2016-01-04,4.2,8.1,-3.3,58.7,262.3,1.1,6.6,0.0,425.0,8.8,1423,,5.7,25.7,2016
5,363844A001,청주시 남일면,2016-01-05,-1.2,3.4,-5.5,46.6,256.5,0.8,5.1,0.0,332.0,7.8,1400,,4.3,25.5,2016
6,363844A001,청주시 남일면,2016-01-06,-1.3,4.6,-7.5,60.4,191.1,0.8,4.2,0.0,233.0,7.1,0,,3.4,25.5,2016
7,363844A001,청주시 남일면,2016-01-07,-0.5,3.3,-4.9,52.5,259.3,1.1,6.0,0.0,419.0,9.4,0,,3.6,25.4,2016
8,363844A001,청주시 남일면,2016-01-08,-2.0,3.2,-6.5,59.9,238.3,1.0,7.7,0.0,511.0,10.1,1419,,3.0,25.3,2016
9,363844A001,청주시 남일면,2016-01-09,0.3,5.4,-3.8,59.7,234.7,0.9,6.4,0.0,406.0,9.5,0,,3.1,25.2,2016
10,363844A001,청주시 남일면,2016-01-10,-0.2,4.7,-4.0,66.1,236.3,0.6,5.1,0.0,122.0,4.5,1388,,3.3,25.1,2016
11,363844A001,청주시 남일면,2016-01-11,-3.2,2.5,-7.8,58.3,244.1,0.8,7.4,0.0,505.0,10.2,1360,,2.6,24.9,2016
12,363844A001,청주시 남일면,2016-01-12,-4.4,2.2,-9.8,58.9,212.3,0.8,5.6,0.0,526.0,10.9,117,,2.1,24.6,2016
13,363844A001,청주시 남일면,2016-01-13,-2.4,1.8,-6.3,76.6,212.1,1.0,6.1,0.0,240.0,7.9,1431,,2.0,24.4,2016
14,363844A001,청주시 남일면,2016-01-14,-2.7,2.8,-8.7,57.2,220.7,0.8,5.4,0.0,504.0,10.9,1189,,2.1,24.3,2016
15,363844A001,청주시 남일면,2016-01-15,-1.3,6.4,-6.8,70.3,155.1,0.4,3.8,0.0,342.0,8.0,1398,,2.0,24.3,2016
16,363844A001,청주시 남일면,2016-01-16,-1.2,6.0,-6.8,72.0,151.2,0.5,3.9,0.0,326.0,8.5,1398,,2.1,24.3,2016
17,363844A001,청주시 남일면,2016-01-17,1.1,6.6,-3.0,79.0,171.5,0.7,5.5,0.5,0.0,3.7,1398,,2.4,24.4,2016
18,363844A001,청주시 남일면,2016-01-18,-3.2,1.7,-9.5,78.4,264.2,2.0,11.2,0.5,92.0,5.1,1398,,2.8,24.5,2016
19,363844A001,청주시 남일면,2016-01-19,-9.4,-6.6,-11.9,69.6,265.4,2.5,12.3,0.0,295.0,10.4,0,,2.2,24.7,2016
20,363844A001,청주시 남일면,2016-01-20,-10.7,-4.8,-16.7,65.2,224.0,0.7,4.5,0.0,409.0,9.2,0,,1.9,24.5,2016
21,363844A001,청주시 남일면,2016-01-21,-8.0,-2.0,-13.2,63.5,209.5,0.7,4.7,0.0,310.0,8.5,0,,1.7,24.3,2016
22,363844A001,청주시 남일면,2016-01-22,-8.0,-0.6,-15.1,59.0,232.4,0.8,4.9,0.0,453.0,10.8,646,,1.5,23.9,2016
