no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,200821A001,춘천시 신북읍,2021-11-01,9.9,18.1,4.2,82.2,231.2,0.6,6.1,0.0,,10.7,804,,12.8,,2021,11,1
306,200821A001,춘천시 신북읍,2021-11-02,9.1,16.7,2.5,85.6,183.5,0.4,3.3,0.0,,8.4,797,,12.7,,2021,11,2
307,200821A001,춘천시 신북읍,2021-11-03,11.1,18.3,4.2,74.6,202.0,0.7,5.3,0.0,,13.3,655,,13.2,,2021,11,3
308,200821A001,춘천시 신북읍,2021-11-04,7.9,17.0,1.7,84.5,207.9,0.5,4.2,0.0,,9.5,956,,12.5,,2021,11,4
309,200821A001,춘천시 신북읍,2021-11-05,8.5,18.4,3.0,87.0,240.6,0.3,3.4,0.0,,9.3,971,,12.2,,2021,11,5
310,200821A001,춘천시 신북읍,2021-11-06,8.2,19.1,1.9,86.6,174.8,0.3,3.1,0.0,,10.0,1006,,11.9,,2021,11,6
311,200821A001,춘천시 신북읍,2021-11-07,10.8,21.3,1.8,75.9,171.5,0.7,5.6,0.0,,11.8,592,,11.9,,2021,11,7
312,200821A001,춘천시 신북읍,2021-11-08,8.0,12.0,4.8,80.6,223.4,2.0,9.3,14.0,,3.4,471,,12.0,,2021,11,8
313,200821A001,춘천시 신북읍,2021-11-09,5.3,7.4,0.8,70.4,214.3,2.5,7.9,0.0,,5.9,182,,11.0,,2021,11,9
314,200821A001,춘천시 신북읍,2021-11-10,4.1,6.9,0.0,62.9,240.2,2.4,10.6,0.0,,7.1,31,,10.3,,2021,11,10
315,200821A001,춘천시 신북읍,2021-11-11,4.5,9.6,-2.2,58.7,254.5,2.3,10.7,0.0,,9.2,48,,9.7,,2021,11,11
316,200821A001,춘천시 신북읍,2021-11-12,1.5,8.8,-4.0,66.4,242.2,1.1,9.1,0.0,,13.8,121,,8.8,,2021,11,12
317,200821A001,춘천시 신북읍,2021-11-13,2.7,13.0,-5.2,76.2,225.2,0.3,3.8,0.0,,12.6,362,,8.1,,2021,11,13
318,200821A001,춘천시 신북읍,2021-11-14,7.8,16.2,1.2,75.6,220.6,0.9,7.5,0.0,,10.2,709,,9.1,,2021,11,14
319,200821A001,춘천시 신북읍,2021-11-15,4.8,15.0,-1.5,82.0,177.7,0.2,2.7,0.0,,8.7,880,,9.1,,2021,11,15
320,200821A001,춘천시 신북읍,2021-11-16,4.5,14.7,-1.7,73.8,217.1,0.4,5.5,0.0,,11.7,749,,8.9,,2021,11,16
321,200821A001,춘천시 신북읍,2021-11-17,2.8,12.3,-3.8,75.7,216.5,0.4,4.1,0.0,,11.2,306,,8.2,,2021,11,17
322,200821A001,춘천시 신북읍,2021-11-18,5.9,12.8,0.4,80.2,91.1,0.2,2.3,0.0,,4.4,678,,8.5,,2021,11,18
323,200821A001,춘천시 신북읍,2021-11-19,11.3,17.8,4.2,81.2,197.9,1.2,7.1,0.0,,8.0,603,,9.6,,2021,11,19
324,200821A001,춘천시 신북읍,2021-11-20,6.5,16.1,0.3,83.8,210.4,0.3,2.9,0.0,,9.3,991,,9.6,,2021,11,20
325,200821A001,춘천시 신북읍,2021-11-21,7.3,13.1,3.8,85.9,228.8,0.4,3.3,1.5,,4.5,909,,9.6,,2021,11,21
326,200821A001,춘천시 신북읍,2021-11-22,3.4,9.4,-0.3,59.8,255.5,3.1,13.3,5.0,,9.2,319,,9.3,,2021,11,22
327,200821A001,춘천시 신북읍,2021-11-23,-0.4,3.3,-6.4,50.3,257.2,2.9,13.8,0.0,,10.4,0,,7.4,,2021,11,23
328,200821A001,춘천시 신북읍,2021-11-24,1.9,8.8,-6.0,62.5,214.1,1.1,7.0,0.0,,6.7,114,,6.5,,2021,11,24
329,200821A001,춘천시 신북읍,2021-11-25,2.4,10.2,-3.7,67.9,262.8,1.3,11.7,0.0,,11.2,338,,6.7,,2021,11,25
330,200821A001,춘천시 신북읍,2021-11-26,-0.2,8.7,-6.5,68.7,272.2,0.9,9.7,0.0,,10.7,44,,6.0,,2021,11,26
331,200821A001,춘천시 신북읍,2021-11-27,-1.2,9.0,-7.0,74.2,208.0,0.2,3.2,0.0,,12.0,95,,5.3,,2021,11,27
332,200821A001,춘천시 신북읍,2021-11-28,-0.1,10.3,-7.1,73.9,92.9,0.2,3.0,0.0,,11.4,269,,4.9,,2021,11,28
333,200821A001,춘천시 신북읍,2021-11-29,1.7,10.5,-4.7,79.2,231.7,0.2,2.2,0.0,,8.3,277,,5.2,,2021,11,29
334,200821A001,춘천시 신북읍,2021-11-30,2.9,6.4,0.0,91.4,250.0,1.4,13.4,26.0,,0.9,1290,,5.7,,2021,11,30
