stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-04,30.1,36.6,24.1,76.6,230.0,0.8,5.9,0.0,,26.6,474,,27.1,,2024,8,4
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-11,29.2,34.8,25.4,80.8,219.7,0.7,4.0,0.0,,21.8,763,,27.1,,2024,8,11
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-12,29.6,36.1,24.6,79.2,255.7,0.7,6.7,0.0,,24.5,610,,27.1,,2024,8,12
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-13,29.9,36.0,24.6,76.7,127.9,0.7,5.3,0.0,,24.1,492,,27.2,,2024,8,13
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-14,30.4,36.5,24.8,73.5,104.2,0.8,4.7,0.0,,24.4,407,,27.3,,2024,8,14
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-15,29.3,35.3,23.5,73.5,177.0,0.8,4.6,0.0,,23.8,506,,27.1,,2024,8,15
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-16,29.2,35.9,23.7,71.1,112.4,0.8,5.1,0.0,,25.1,511,,26.9,,2024,8,16
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-17,29.9,36.6,24.1,70.3,150.2,0.8,5.9,0.0,,25.2,432,,26.8,,2024,8,17
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-18,29.4,35.5,25.7,77.6,214.0,1.0,6.3,1.5,,22.5,272,,27.1,,2024,8,18
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-19,29.1,35.8,24.4,78.9,242.1,0.7,5.0,0.0,,22.7,650,,27.1,,2024,8,19
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-20,29.8,36.3,24.1,75.9,102.7,0.9,7.1,0.0,,19.9,482,,27.0,,2024,8,20
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-21,27.1,29.9,25.2,93.6,173.0,0.8,5.8,56.0,,3.9,1145,,26.6,,2024,8,21
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-22,28.1,31.9,25.6,86.7,199.2,1.2,7.9,0.5,,7.4,818,,26.6,,2024,8,22
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-23,27.7,32.7,23.4,81.0,221.8,1.2,6.5,0.0,,19.6,673,,26.6,,2024,8,23
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-24,27.1,32.6,23.5,82.9,229.3,0.7,5.3,0.0,,18.5,690,,26.6,,2024,8,24
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-25,27.8,33.7,23.6,82.2,258.6,0.6,4.5,0.0,,21.0,683,,26.7,,2024,8,25
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-26,26.9,32.0,23.8,87.4,242.0,0.4,2.8,0.0,,11.0,723,,26.5,,2024,8,26
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-27,25.4,29.7,20.8,85.3,220.8,0.6,4.3,0.0,,9.1,872,,26.1,,2024,8,27
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-28,26.2,33.2,18.9,72.1,88.1,1.2,7.2,0.0,,24.9,513,,25.5,,2024,8,28
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-29,25.4,31.3,18.7,76.1,67.2,1.2,8.2,0.0,,20.6,556,,25.4,,2024,8,29
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-30,26.4,34.1,19.9,74.9,219.5,0.8,4.8,0.0,,23.3,606,,25.4,,2024,8,30
200821A001,√·√µΩ√ Ω≈∫œ¿æ,2024-08-31,24.8,33.2,18.2,77.6,134.9,0.6,4.6,0.0,,23.1,724,,25.0,,2024,8,31
