no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,380959A001,충주시 달천동,2013-09-01,21.9,28.6,17.5,81.6,179.4,0.8,3.4,0.0,637.0,18.7,0.0,,25.5,,2013,9,1
245,380959A001,충주시 달천동,2013-09-02,19.2,26.0,14.7,82.2,236.2,0.8,6.6,0.0,382.0,16.2,42.0,,25.0,,2013,9,2
246,380959A001,충주시 달천동,2013-09-03,17.3,23.6,13.2,84.7,189.5,0.6,2.9,0.0,150.0,12.2,50.0,,24.0,,2013,9,3
247,380959A001,충주시 달천동,2013-09-04,18.3,26.7,12.8,80.3,208.5,0.8,4.5,0.0,587.0,23.2,78.0,,23.5,,2013,9,4
248,380959A001,충주시 달천동,2013-09-05,17.9,23.3,12.4,81.6,164.8,0.8,4.1,0.0,330.0,11.7,12.0,,23.3,,2013,9,5
249,380959A001,충주시 달천동,2013-09-06,17.7,21.2,15.4,89.0,176.0,0.5,2.5,4.0,0.0,6.5,291.0,,22.8,,2013,9,6
250,380959A001,충주시 달천동,2013-09-07,18.3,24.8,16.5,86.3,195.1,0.4,7.9,0.0,220.0,8.4,0.0,,22.4,,2013,9,7
251,380959A001,충주시 달천동,2013-09-08,18.9,26.6,14.8,83.7,180.0,0.8,4.3,0.0,429.0,17.3,140.0,,23.0,,2013,9,8
252,380959A001,충주시 달천동,2013-09-09,19.7,27.5,14.2,83.7,200.9,0.8,6.4,0.0,435.0,17.5,0.0,,23.0,,2013,9,9
253,380959A001,충주시 달천동,2013-09-10,20.4,25.0,16.0,86.9,165.3,0.5,2.4,4.5,136.0,8.7,138.0,,23.1,,2013,9,10
254,380959A001,충주시 달천동,2013-09-11,19.9,22.5,18.7,89.6,119.8,0.6,3.2,20.5,21.0,5.0,115.0,,22.9,,2013,9,11
255,380959A001,충주시 달천동,2013-09-12,21.7,26.1,19.5,88.8,171.3,0.5,2.5,7.0,3.0,7.5,171.0,,23.0,,2013,9,12
256,380959A001,충주시 달천동,2013-09-13,22.1,26.2,19.4,90.0,196.8,0.9,6.4,5.0,49.0,7.7,165.0,,23.3,,2013,9,13
257,380959A001,충주시 달천동,2013-09-14,20.3,23.4,17.9,88.6,180.1,0.9,12.9,46.0,21.0,5.7,11.0,,23.1,,2013,9,14
258,380959A001,충주시 달천동,2013-09-15,20.6,27.3,14.8,85.6,228.7,1.0,7.0,0.5,349.0,14.6,0.0,,23.0,,2013,9,15
259,380959A001,충주시 달천동,2013-09-16,17.9,26.3,13.3,80.7,212.3,0.9,5.6,0.0,490.0,20.8,0.0,,22.8,,2013,9,16
260,380959A001,충주시 달천동,2013-09-17,18.6,28.4,11.9,80.7,174.6,0.8,3.4,0.0,622.0,18.3,0.0,,22.4,,2013,9,17
261,380959A001,충주시 달천동,2013-09-18,20.2,30.1,14.3,83.1,196.6,0.7,3.2,0.0,473.0,17.3,0.0,,22.5,,2013,9,18
262,380959A001,충주시 달천동,2013-09-19,20.7,28.3,14.7,80.0,177.5,0.9,4.8,0.0,653.0,19.4,0.0,,22.8,,2013,9,19
263,380959A001,충주시 달천동,2013-09-20,19.7,27.4,14.9,85.1,189.3,0.7,6.8,0.0,330.0,14.6,0.0,,22.8,,2013,9,20
264,380959A001,충주시 달천동,2013-09-21,20.5,28.7,15.8,83.4,151.0,0.9,4.8,0.0,394.0,17.2,0.0,,22.9,,2013,9,21
265,380959A001,충주시 달천동,2013-09-22,19.2,24.7,14.2,83.3,78.9,1.7,8.6,0.0,326.0,11.5,0.0,,22.9,,2013,9,22
266,380959A001,충주시 달천동,2013-09-23,19.7,28.3,13.1,81.2,177.1,0.8,3.6,0.0,602.0,18.3,0.0,,22.3,,2013,9,23
267,380959A001,충주시 달천동,2013-09-24,19.3,23.3,15.9,89.9,221.8,0.7,4.3,5.0,0.0,4.9,241.0,,22.3,,2013,9,24
268,380959A001,충주시 달천동,2013-09-25,18.9,23.8,14.2,82.5,250.1,1.1,5.6,0.0,396.0,16.8,0.0,,22.3,,2013,9,25
269,380959A001,충주시 달천동,2013-09-26,14.9,22.0,8.8,75.1,217.7,1.0,5.2,0.0,625.0,20.4,0.0,,21.7,,2013,9,26
270,380959A001,충주시 달천동,2013-09-27,14.0,23.6,6.7,77.6,189.8,0.8,6.2,0.0,608.0,19.5,0.0,,20.6,,2013,9,27
271,380959A001,충주시 달천동,2013-09-28,15.1,19.4,11.5,86.6,212.7,0.5,5.2,0.0,3.0,6.1,236.0,,20.2,,2013,9,28
272,380959A001,충주시 달천동,2013-09-29,16.8,18.6,15.2,88.2,207.9,0.4,2.2,44.5,0.0,3.2,77.0,,19.9,,2013,9,29
273,380959A001,충주시 달천동,2013-09-30,19.9,26.8,15.2,85.8,129.9,0.9,4.9,1.0,298.0,14.8,0.0,,20.5,,2013,9,30
