no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,718814A001,,2011-11-01,13.9,22.9,7.7,85.2,119.1,0.7,,0.0,464.0,1.3,,16.4,15.4,,2011,11,1
306,718814A001,,2011-11-02,15.7,21.4,13.0,91.6,151.5,0.5,,0.0,114.0,0.6,,16.3,16.2,,2011,11,2
307,718814A001,,2011-11-03,17.7,24.6,12.7,86.1,174.8,0.7,,0.0,251.0,1.0,,18.8,16.9,,2011,11,3
308,718814A001,,2011-11-04,18.8,24.8,13.2,86.4,169.4,0.6,,0.0,422.0,1.0,,19.8,18.0,,2011,11,4
309,718814A001,,2011-11-05,18.8,23.1,16.5,95.1,102.0,1.0,,18.0,218.0,0.7,,19.1,18.5,,2011,11,5
310,718814A001,,2011-11-06,16.4,18.6,13.6,100.0,250.8,0.8,,11.5,0.0,0.2,,16.8,18.1,,2011,11,6
311,718814A001,,2011-11-07,15.4,19.5,13.6,94.3,304.3,0.6,,0.5,73.0,0.6,,17.3,17.7,,2011,11,7
312,718814A001,,2011-11-08,14.4,16.2,12.9,93.9,155.6,0.9,,0.0,0.0,0.2,,14.6,16.8,,2011,11,8
313,718814A001,,2011-11-09,13.7,16.6,11.0,88.4,200.1,0.6,,0.0,17.0,0.5,,13.9,16.4,,2011,11,9
314,718814A001,,2011-11-10,12.5,17.4,8.8,83.8,234.2,0.7,,0.0,103.0,0.6,,12.7,15.5,,2011,11,10
315,718814A001,,2011-11-11,11.8,15.5,8.0,90.4,253.6,0.7,,0.5,33.0,0.5,,11.2,15.2,,2011,11,11
316,718814A001,,2011-11-12,11.6,18.1,7.9,84.4,247.2,0.9,,0.0,275.0,0.8,,11.7,14.6,,2011,11,12
317,718814A001,,2011-11-13,11.3,17.1,6.6,76.3,162.2,0.7,,0.0,187.0,0.8,,10.8,14.0,,2011,11,13
318,718814A001,,2011-11-14,9.1,27.7,4.0,55.2,140.6,1.7,,0.0,560.0,1.2,,8.7,12.4,,2011,11,14
319,718814A001,,2011-11-15,7.4,14.3,1.3,55.9,91.6,1.3,,0.0,534.0,1.2,,7.0,11.2,,2011,11,15
320,718814A001,,2011-11-16,6.8,16.4,0.0,78.2,179.7,0.4,,0.0,475.0,1.0,,6.4,10.5,,2011,11,16
321,718814A001,,2011-11-17,8.9,13.2,4.4,84.0,206.2,0.4,3.6,0.0,20.0,0.3,,8.3,10.8,,2011,11,17
322,718814A001,,2011-11-18,12.6,15.0,9.7,99.9,155.1,0.6,3.2,4.5,0.0,1.8,,,12.5,,2011,11,18
323,718814A001,,2011-11-19,14.2,18.5,8.4,82.4,257.0,1.6,8.1,10.5,131.0,4.7,,,14.1,,2011,11,19
324,718814A001,,2011-11-20,4.8,8.6,2.0,43.3,255.8,2.7,11.1,0.0,557.0,12.2,,,10.7,,2011,11,20
325,718814A001,,2011-11-21,2.4,8.6,-1.7,54.8,258.4,1.1,7.9,0.0,555.0,11.9,,,8.4,,2011,11,21
326,718814A001,,2011-11-22,2.6,8.3,-3.7,72.8,194.9,0.3,2.8,0.0,262.0,6.5,,,7.7,,2011,11,22
327,718814A001,,2011-11-23,5.3,10.8,2.5,82.1,271.9,1.8,10.3,7.0,106.0,4.9,,,8.9,,2011,11,23
328,718814A001,,2011-11-24,2.5,6.4,0.1,49.4,269.0,2.2,10.8,0.0,551.0,11.4,,,7.3,,2011,11,24
329,718814A001,,2011-11-25,2.3,9.6,-3.4,75.9,223.8,0.6,5.6,0.0,415.0,9.7,,,6.7,,2011,11,25
330,718814A001,,2011-11-26,4.1,12.7,-3.3,82.9,159.8,0.7,5.4,0.0,474.0,10.0,,,6.7,,2011,11,26
331,718814A001,,2011-11-27,8.0,16.5,1.4,86.7,155.8,0.6,5.3,0.0,485.0,9.1,,,8.2,,2011,11,27
332,718814A001,,2011-11-28,7.2,11.6,3.3,99.4,240.7,0.5,3.4,6.5,42.0,2.8,,,8.4,,2011,11,28
333,718814A001,,2011-11-29,11.0,12.4,8.5,99.5,291.8,1.0,3.3,0.0,0.0,2.9,,,10.4,,2011,11,29
334,718814A001,,2011-11-30,8.5,12.0,3.8,99.7,204.3,1.5,8.4,26.5,0.0,1.1,,,10.7,,2011,11,30
