stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-01,27.4,32.7,22.3,79.4,92.1,0.7,4.7,0.0,625,25.3,,29.7,26.8,31.3,2024,7,1
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-02,25.3,28.1,22.8,98.0,136.3,1.0,6.5,18.5,15,5.4,,26.0,26.1,36.0,2024,7,2
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-03,28.5,33.8,24.0,82.7,178.2,1.6,8.3,10.0,460,20.0,,29.0,26.7,37.6,2024,7,3
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-04,28.1,35.1,21.3,80.5,151.3,0.9,6.8,0.0,608,25.4,,29.7,27.4,34.4,2024,7,4
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-05,28.6,33.0,24.8,76.0,187.0,1.4,8.5,0.5,601,27.8,,30.0,28.3,31.0,2024,7,5
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-06,28.1,33.5,23.7,87.4,149.4,1.6,8.4,0.0,360,20.5,,28.9,27.7,28.6,2024,7,6
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-07,28.4,31.2,26.3,92.6,146.4,1.5,8.2,3.5,81,10.4,,28.6,27.3,27.4,2024,7,7
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-08,26.6,27.7,24.5,99.5,135.4,1.2,8.9,22.0,0,2.9,,26.7,26.8,29.1,2024,7,8
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-09,24.5,26.0,23.1,100.0,138.5,0.8,4.6,57.0,0,3.9,,25.0,25.8,38.0,2024,7,9
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-10,23.6,26.0,21.3,98.8,143.4,0.8,12.0,118.5,3,6.9,,24.2,24.9,38.2,2024,7,10
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-11,25.7,30.4,21.9,91.3,148.2,0.7,3.4,0.0,177,16.8,,26.7,25.9,37.3,2024,7,11
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-12,26.6,33.1,21.4,84.0,172.1,0.6,5.5,0.0,591,25.9,,28.3,27.0,34.4,2024,7,12
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-13,26.6,31.6,22.1,86.2,150.1,0.9,5.0,0.0,577,23.2,,28.4,27.6,31.8,2024,7,13
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-14,24.9,27.3,23.1,96.9,159.9,0.5,4.5,3.0,33,7.7,,26.3,26.9,31.1,2024,7,14
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-15,25.6,29.5,22.6,91.2,139.2,0.7,5.0,0.0,131,13.9,,27.1,26.7,30.5,2024,7,15
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-16,25.5,29.6,23.0,95.2,143.0,1.3,7.8,33.0,95,12.8,,26.6,26.7,31.1,2024,7,16
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-17,26.8,30.9,23.0,94.2,140.0,1.4,6.3,0.5,150,14.0,,27.1,26.3,38.1,2024,7,17
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-18,27.4,28.9,26.2,96.5,137.1,1.9,8.7,9.5,31,8.8,,27.0,26.4,36.8,2024,7,18
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-19,26.8,30.0,24.6,96.1,135.9,0.9,4.3,0.0,124,10.8,,27.3,26.5,37.5,2024,7,19
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-20,26.7,30.1,23.9,95.1,140.9,1.3,7.9,34.0,299,13.1,,26.9,26.4,37.1,2024,7,20
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-21,29.2,34.5,25.2,89.6,138.1,1.1,6.3,12.5,428,19.9,,29.1,27.2,38.6,2024,7,21
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-22,29.8,34.6,25.7,86.2,140.4,1.5,6.9,0.0,579,24.0,,30.3,28.4,36.3,2024,7,22
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-23,29.5,32.3,26.9,88.4,140.7,1.2,5.6,0.0,98,12.7,,29.6,28.3,33.3,2024,7,23
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-24,28.2,31.9,24.5,95.5,136.1,1.0,6.2,38.0,331,16.2,,28.7,28.3,35.4,2024,7,24
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-25,29.6,35.3,26.3,88.8,140.7,1.0,5.3,0.0,473,22.0,,30.4,28.8,36.9,2024,7,25
718814A001,Ä¥°î±º ¾à¸ñ¸é,2024-07-26,29.5,34.1,25.8,87.1,149.7,1.3,8.8,0.0,474,23.0,,30.4,29.2,33.5,2024,7,26
