no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,2352700.0,태백 귀네미골,2023-08-01,23.5,30.5,17.6,84.4,194.5,0.1,2.6,0.0,,20.7,862.0,24.8,24.2,18.6,2023,8,1
214,2352700.0,태백 귀네미골,2023-08-02,24.9,29.8,21.9,79.9,190.3,0.7,4.6,0.0,,20.9,645.0,26.0,24.9,18.4,2023,8,2
215,2352700.0,태백 귀네미골,2023-08-03,24.9,29.3,22.4,67.7,186.6,1.0,6.0,0.0,,21.7,402.0,26.0,24.9,18.2,2023,8,3
216,2352700.0,태백 귀네미골,2023-08-04,24.8,28.7,22.8,78.3,192.2,0.8,6.7,0.0,,14.8,793.0,25.2,24.8,18.1,2023,8,4
217,2352700.0,태백 귀네미골,2023-08-05,25.4,31.6,22.1,78.8,194.5,0.5,4.1,0.0,,23.3,783.0,27.4,25.2,18.2,2023,8,5
218,2352700.0,태백 귀네미골,2023-08-06,22.5,26.4,20.2,96.0,88.8,0.1,2.6,0.0,,5.5,565.0,23.2,24.6,18.1,2023,8,6
219,2352700.0,태백 귀네미골,2023-08-07,21.3,22.8,19.6,99.6,97.3,0.2,2.6,3.5,,4.5,1230.0,22.1,23.8,18.2,2023,8,7
220,2352700.0,태백 귀네미골,2023-08-08,19.7,21.2,17.6,99.9,81.9,0.1,2.4,5.0,,5.0,1439.0,20.8,22.9,18.7,2023,8,8
221,2352700.0,태백 귀네미골,2023-08-09,18.4,19.9,17.3,99.9,77.1,0.3,3.1,45.5,,2.4,1439.0,19.2,21.3,21.3,2023,8,9
222,2352700.0,태백 귀네미골,2023-08-10,18.9,21.1,17.3,98.9,124.7,0.7,8.3,159.5,,1.9,1439.0,18.7,19.5,24.0,2023,8,10
223,2352700.0,태백 귀네미골,2023-08-11,21.1,26.3,18.0,82.6,189.6,0.8,10.0,0.5,,22.8,780.0,22.3,21.1,22.0,2023,8,11
224,2352700.0,태백 귀네미골,2023-08-12,20.4,24.3,17.5,95.5,121.1,0.0,1.8,0.5,,8.0,1068.0,21.4,21.9,21.2,2023,8,12
225,2352700.0,태백 귀네미골,2023-08-13,20.4,26.3,17.2,96.1,213.9,0.1,1.7,0.0,,12.9,1020.0,21.9,22.1,21.0,2023,8,13
226,2352700.0,태백 귀네미골,2023-08-14,20.4,24.1,17.6,93.4,128.5,0.1,2.1,0.0,,11.6,790.0,21.9,22.4,20.6,2023,8,14
227,2352700.0,태백 귀네미골,2023-08-15,19.4,24.1,17.3,96.1,107.1,0.2,3.1,3.0,,10.4,906.0,20.7,22.2,20.4,2023,8,15
228,2352700.0,태백 귀네미골,2023-08-16,19.8,24.6,17.6,95.9,209.3,0.1,3.1,0.0,,10.6,935.0,21.3,22.1,20.6,2023,8,16
229,2352700.0,태백 귀네미골,2023-08-17,20.5,26.4,16.5,95.0,139.6,0.1,2.2,0.0,,12.5,938.0,22.0,22.5,20.5,2023,8,17
230,2352700.0,태백 귀네미골,2023-08-18,21.4,25.8,17.2,91.6,172.8,0.1,2.2,0.0,,15.4,789.0,23.0,23.0,20.4,2023,8,18
231,2352700.0,태백 귀네미골,2023-08-19,22.6,26.6,20.4,93.4,179.2,0.1,2.1,0.0,,9.5,828.0,23.5,23.5,20.3,2023,8,19
232,2352700.0,태백 귀네미골,2023-08-20,21.7,26.7,19.4,97.9,189.7,0.1,4.8,22.0,,8.8,1073.0,22.7,23.3,21.3,2023,8,20
233,2352700.0,태백 귀네미골,2023-08-21,23.2,29.5,18.8,87.6,189.9,0.2,2.9,0.0,,17.1,860.0,23.8,23.8,22.2,2023,8,21
234,2352700.0,태백 귀네미골,2023-08-22,23.5,27.5,20.5,80.1,194.5,0.6,6.5,0.0,,21.4,708.0,24.7,24.3,21.3,2023,8,22
235,2352700.0,태백 귀네미골,2023-08-23,22.6,28.4,17.3,85.6,196.2,0.4,4.1,6.5,,17.3,827.0,24.1,24.4,20.4,2023,8,23
236,2352700.0,태백 귀네미골,2023-08-24,19.5,21.8,17.3,99.7,225.6,0.1,1.9,22.0,,5.4,1392.0,20.0,22.1,22.6,2023,8,24
237,2352700.0,태백 귀네미골,2023-08-25,21.0,25.4,18.4,88.5,183.2,0.5,5.1,25.0,,15.1,866.0,21.9,22.3,22.8,2023,8,25
238,2352700.0,태백 귀네미골,2023-08-26,20.7,27.0,16.5,84.1,247.4,0.3,3.8,0.0,,21.3,902.0,21.8,23.1,21.5,2023,8,26
239,2352700.0,태백 귀네미골,2023-08-27,18.3,22.1,15.5,92.4,106.8,0.1,1.9,0.0,,8.5,892.0,19.2,22.1,20.5,2023,8,27
240,2352700.0,태백 귀네미골,2023-08-28,18.2,19.7,16.2,94.7,80.7,0.2,3.2,4.0,,2.7,1129.0,18.6,20.8,20.0,2023,8,28
241,2352700.0,태백 귀네미골,2023-08-29,22.0,25.7,19.1,87.3,173.1,0.7,6.0,2.5,,9.3,957.0,21.8,21.6,20.7,2023,8,29
242,2352700.0,태백 귀네미골,2023-08-30,20.3,22.1,18.1,99.0,194.3,0.2,4.0,63.5,,3.4,1424.0,20.4,21.2,23.7,2023,8,30
243,2352700.0,태백 귀네미골,2023-08-31,18.5,23.7,14.9,93.6,184.7,0.2,3.3,6.5,,12.6,842.0,19.8,21.1,22.7,2023,8,31
