no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,2352700.0,태백 귀네미골,2015-01-01,-14.0,-10.9,-17.0,55.9,5.4,3.6,16.2,0.0,,10.1,99.0,-13.0,-2.2,7.3,2015
2,2352700.0,태백 귀네미골,2015-01-02,-12.1,-8.2,-15.3,60.1,5.8,4.2,17.2,0.0,,9.8,315.0,-11.2,-3.0,7.0,2015
3,2352700.0,태백 귀네미골,2015-01-03,-8.1,-2.8,-12.7,45.6,6.0,2.9,12.4,0.0,,10.0,118.0,-7.2,-2.8,7.1,2015
4,2352700.0,태백 귀네미골,2015-01-04,-2.5,0.9,-7.5,81.4,6.1,3.7,15.5,0.0,,10.3,781.0,-1.8,-1.9,7.5,2015
5,2352700.0,태백 귀네미골,2015-01-05,0.1,8.3,-7.0,52.6,5.4,1.0,7.7,0.0,,6.5,299.0,-0.4,-1.4,7.8,2015
6,2352700.0,태백 귀네미골,2015-01-06,-3.6,1.4,-10.5,74.1,6.4,3.5,14.5,1.5,,10.3,563.0,-3.1,-0.5,8.7,2015
7,2352700.0,태백 귀네미골,2015-01-07,-10.1,-3.8,-14.4,51.3,4.7,1.5,7.8,0.0,,10.6,0.0,-9.0,-0.9,7.8,2015
8,2352700.0,태백 귀네미골,2015-01-08,-9.1,-2.5,-14.6,50.4,4.6,1.8,9.3,0.0,,10.6,0.0,-8.3,-2.1,7.2,2015
9,2352700.0,태백 귀네미골,2015-01-09,-7.7,-4.1,-10.5,55.6,6.4,3.6,12.8,0.0,,10.6,0.0,-6.7,-2.5,7.1,2015
10,2352700.0,태백 귀네미골,2015-01-10,-6.1,-2.7,-9.2,62.1,6.1,4.0,15.8,0.0,,10.5,0.0,-5.5,-2.6,7.2,2015
11,2352700.0,태백 귀네미골,2015-01-11,-4.8,-2.8,-8.4,72.5,6.2,3.3,14.2,0.0,,7.6,0.0,-4.6,-2.1,7.5,2015
12,2352700.0,태백 귀네미골,2015-01-12,-7.3,-0.4,-13.6,74.2,4.6,0.7,5.0,0.0,,10.6,0.0,-7.5,-2.2,7.3,2015
13,2352700.0,태백 귀네미골,2015-01-13,-1.9,3.4,-6.2,35.8,4.2,1.6,7.5,0.0,,9.5,0.0,-2.0,-1.9,7.4,2015
14,2352700.0,태백 귀네미골,2015-01-14,0.0,4.0,-2.3,42.9,6.5,0.5,4.5,0.0,,3.7,0.0,0.0,-1.4,8.1,2015
15,2352700.0,태백 귀네미골,2015-01-15,-1.5,-0.3,-2.6,98.1,8.6,0.9,5.7,0.2,,1.4,1218.0,-1.3,-1.0,8.7,2015
16,2352700.0,태백 귀네미골,2015-01-16,-3.8,-1.7,-6.8,81.9,5.1,2.5,14.6,0.2,,5.0,214.0,-4.0,-1.0,7.9,2015
17,2352700.0,태백 귀네미골,2015-01-17,-8.3,-5.7,-10.8,61.3,6.2,4.2,13.9,0.0,,11.4,0.0,-7.6,-1.6,7.1,2015
18,2352700.0,태백 귀네미골,2015-01-18,-5.8,0.7,-9.5,50.1,5.3,2.2,10.0,0.0,,10.0,150.0,-4.5,-2.2,7.0,2015
19,2352700.0,태백 귀네미골,2015-01-19,-4.5,-2.1,-7.6,75.4,5.7,3.2,13.5,0.0,,10.5,244.0,-3.4,-1.5,7.3,2015
20,2352700.0,태백 귀네미골,2015-01-20,-5.0,2.3,-12.2,75.1,5.6,0.6,6.8,0.0,,10.9,29.0,-4.9,-1.7,6.9,2015
21,2352700.0,태백 귀네미골,2015-01-21,-1.9,1.0,-4.5,92.0,9.6,0.3,2.4,0.0,,4.9,588.0,-1.5,-1.2,7.3,2015
22,2352700.0,태백 귀네미골,2015-01-22,-3.7,-1.8,-5.7,97.8,9.9,1.0,5.7,0.0,,0.9,1439.0,-1.3,-0.9,8.0,2015
23,2352700.0,태백 귀네미골,2015-01-23,-5.6,0.0,-12.2,81.4,6.0,1.5,10.3,1.5,,7.7,728.0,-2.5,-0.9,8.0,2015
24,2352700.0,태백 귀네미골,2015-01-24,-4.0,1.2,-7.0,76.7,5.7,1.9,9.5,2.5,,11.7,294.0,-3.1,-0.8,7.9,2015
25,2352700.0,태백 귀네미골,2015-01-25,-1.7,2.5,-7.5,80.5,5.5,0.7,6.4,0.7,,4.9,433.0,-1.7,-0.8,8.2,2015
26,2352700.0,태백 귀네미골,2015-01-26,2.4,5.4,-1.1,94.1,5.6,1.2,9.4,1.0,,4.5,599.0,0.4,-0.6,11.1,2015
27,2352700.0,태백 귀네미골,2015-01-27,-4.3,-1.1,-8.5,87.6,5.9,1.5,10.1,0.0,,4.6,87.0,-3.4,-0.4,14.2,2015
28,2352700.0,태백 귀네미골,2015-01-28,-8.3,-3.4,-11.2,90.5,5.9,0.7,5.4,0.2,,4.7,302.0,-6.1,-0.5,14.0,2015
29,2352700.0,태백 귀네미골,2015-01-29,-5.6,-0.2,-11.4,85.4,6.3,0.4,5.3,1.0,,5.0,432.0,-4.3,-0.7,12.2,2015
30,2352700.0,태백 귀네미골,2015-01-30,-6.4,-3.7,-10.3,69.3,6.3,2.4,12.0,0.0,,12.8,0.0,-4.1,-0.7,11.4,2015
31,2352700.0,태백 귀네미골,2015-01-31,-8.8,-2.7,-13.5,71.8,4.8,1.0,6.8,0.0,,12.2,0.0,-6.8,-1.2,10.4,2015
32,2352700.0,태백 귀네미골,2015-02-01,-6.7,0.2,-12.6,58.7,4.8,0.9,7.1,0.0,,12.8,0.0,-6.4,-1.6,8.0,2015
33,2352700.0,태백 귀네미골,2015-02-02,-5.5,0.9,-10.7,76.3,5.9,0.5,4.2,0.0,,12.0,1.0,-5.1,-1.6,5.9,2015
34,2352700.0,태백 귀네미골,2015-02-03,-4.8,2.1,-9.8,83.9,6.6,0.4,4.9,0.0,,9.3,62.0,-4.7,-1.3,5.0,2015
35,2352700.0,태백 귀네미골,2015-02-04,-5.0,0.2,-9.4,77.0,6.1,0.8,5.3,0.0,,8.9,45.0,-4.6,-1.2,4.9,2015
36,2352700.0,태백 귀네미골,2015-02-05,-5.6,-3.3,-7.1,83.9,6.6,1.3,7.0,0.0,,5.6,542.0,-5.1,-1.3,4.8,2015
37,2352700.0,태백 귀네미골,2015-02-06,-4.7,0.3,-8.6,68.8,5.3,2.4,8.8,0.0,,13.4,9.0,-4.2,-1.5,4.7,2015
38,2352700.0,태백 귀네미골,2015-02-07,-3.6,0.7,-5.3,65.7,4.9,2.4,10.0,0.0,,10.5,0.0,-2.7,-1.5,4.7,2015
39,2352700.0,태백 귀네미골,2015-02-08,-11.6,-4.6,-17.1,49.2,6.1,3.4,14.0,0.0,,14.5,0.0,-10.1,-2.1,4.3,2015
40,2352700.0,태백 귀네미골,2015-02-09,-13.2,-7.9,-19.3,58.7,6.0,4.2,19.1,0.0,,13.6,0.0,-11.8,-4.2,3.7,2015
41,2352700.0,태백 귀네미골,2015-02-10,-5.2,-1.5,-8.8,73.1,5.8,4.1,14.3,0.0,,9.8,0.0,-4.8,-3.3,4.4,2015
42,2352700.0,태백 귀네미골,2015-02-11,-2.1,1.5,-3.9,64.9,5.5,2.5,11.3,0.0,,13.8,0.0,-1.1,-2.2,4.3,2015
43,2352700.0,태백 귀네미골,2015-02-12,-6.5,-3.2,-10.3,47.7,6.2,3.2,12.6,0.0,,14.7,0.0,-5.5,-1.9,4.1,2015
44,2352700.0,태백 귀네미골,2015-02-13,-8.4,-3.6,-12.6,47.1,6.4,3.3,12.3,0.0,,14.9,0.0,-6.8,-2.8,4.0,2015
45,2352700.0,태백 귀네미골,2015-02-14,-4.2,-0.1,-8.6,74.7,5.6,4.2,15.0,0.0,,13.1,0.0,-3.3,-2.6,4.6,2015
46,2352700.0,태백 귀네미골,2015-02-15,0.0,4.9,-2.5,85.9,5.7,1.5,12.6,0.0,,8.9,261.0,0.4,-1.6,4.5,2015
47,2352700.0,태백 귀네미골,2015-02-16,-1.6,-1.0,-2.2,99.8,5.0,0.4,2.9,0.0,,1.3,722.0,-0.6,-1.0,5.3,2015
48,2352700.0,태백 귀네미골,2015-02-17,-2.8,-1.0,-4.5,92.7,6.4,1.3,8.6,0.0,,2.0,1438.0,-1.3,-0.8,7.4,2015
49,2352700.0,태백 귀네미골,2015-02-18,-4.0,-1.8,-6.8,91.6,7.0,0.8,5.4,0.0,,1.6,1439.0,-1.3,-0.7,9.3,2015
50,2352700.0,태백 귀네미골,2015-02-19,-4.9,-2.8,-8.4,93.9,7.0,0.5,5.2,0.0,,1.1,1439.0,-1.3,-0.6,10.2,2015
51,2352700.0,태백 귀네미골,2015-02-20,-2.7,5.3,-10.5,71.9,7.3,0.4,2.8,10.2,,13.5,372.0,-1.5,-0.6,10.9,2015
52,2352700.0,태백 귀네미골,2015-02-21,2.0,5.8,-1.1,79.2,6.3,0.7,6.4,3.5,,3.6,617.0,0.0,-0.4,16.3,2015
53,2352700.0,태백 귀네미골,2015-02-22,2.8,6.6,-6.0,79.1,5.2,2.5,14.9,0.0,,13.4,0.0,2.5,-0.3,23.8,2015
54,2352700.0,태백 귀네미골,2015-02-23,-4.1,0.9,-7.4,66.5,5.9,2.8,11.6,0.0,,14.7,0.0,-2.6,-0.2,17.3,2015
55,2352700.0,태백 귀네미골,2015-02-24,-2.9,2.8,-7.0,64.6,6.0,1.7,9.7,0.0,,16.7,0.0,-1.3,-0.3,17.1,2015
56,2352700.0,태백 귀네미골,2015-02-25,0.4,6.1,-5.6,59.0,5.1,1.1,7.9,0.0,,14.7,0.0,1.5,-0.3,17.7,2015
57,2352700.0,태백 귀네미골,2015-02-26,-2.0,0.6,-8.6,62.6,5.0,2.9,14.1,0.0,,16.4,60.0,-0.6,-0.2,17.9,2015
58,2352700.0,태백 귀네미골,2015-02-27,-7.8,-2.1,-12.0,59.2,6.1,2.0,13.5,0.0,,16.8,0.0,-5.7,-0.4,16.0,2015
