no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,026002D003,태백시 매봉산,2020-01-01,-9.1,-5.5,-12.8,73.5,271.7,5.4,21.4,0.0,,12.5,0,-7.9,-0.7,7.2,2020,1,1
2,026002D003,태백시 매봉산,2020-01-02,-6.6,-2.2,-10.0,74.2,266.4,4.5,18.0,0.0,,12.6,0,-5.4,-1.0,4.6,2020,1,2
3,026002D003,태백시 매봉산,2020-01-03,-4.8,-1.6,-7.7,50.8,265.3,4.8,15.0,0.0,,11.7,0,-3.9,-1.0,4.4,2020,1,3
4,026002D003,태백시 매봉산,2020-01-04,-5.0,-1.9,-7.1,49.2,266.0,4.4,16.8,0.0,,11.5,0,-4.2,-1.1,4.1,2020,1,4
5,026002D003,태백시 매봉산,2020-01-05,-2.1,3.0,-5.9,50.6,198.3,1.0,6.2,0.0,,11.5,0,-2.2,-1.1,4.1,2020,1,5
6,026002D003,태백시 매봉산,2020-01-06,0.2,2.4,-2.9,55.9,256.5,1.7,8.9,1.5,,2.6,653,-0.4,-0.7,4.9,2020,1,6
7,026002D003,태백시 매봉산,2020-01-07,4.5,10.0,1.5,92.7,163.8,1.9,14.3,46.5,,1.2,1439,4.0,-0.4,21.0,2020,1,7
8,026002D003,태백시 매봉산,2020-01-08,-0.6,8.0,-3.8,90.9,264.1,4.8,19.5,7.5,,5.4,473,-0.4,-0.2,32.7,2020,1,8
9,026002D003,태백시 매봉산,2020-01-09,-6.5,-3.7,-8.1,81.4,268.5,5.0,16.8,0.0,,14.1,0,-4.9,-0.2,24.9,2020,1,9
10,026002D003,태백시 매봉산,2020-01-10,-2.8,2.7,-6.6,42.2,273.2,2.9,11.8,1.0,,11.8,92,-2.4,-0.2,23.7,2020,1,10
11,026002D003,태백시 매봉산,2020-01-11,-4.8,-1.8,-7.3,52.9,272.5,3.2,9.8,0.0,,12.4,0,-3.7,-0.2,23.7,2020,1,11
12,026002D003,태백시 매봉산,2020-01-12,-6.6,-4.1,-9.6,62.4,269.1,3.7,11.0,0.0,,12.3,0,-5.2,-0.2,21.2,2020,1,12
13,026002D003,태백시 매봉산,2020-01-13,-9.0,-5.9,-11.2,63.9,270.1,4.5,13.3,0.0,,13.0,0,-7.6,-0.6,11.4,2020,1,13
14,026002D003,태백시 매봉산,2020-01-14,-8.0,-4.3,-11.5,42.4,266.0,3.0,10.3,0.0,,11.9,0,-6.6,-1.3,5.0,2020,1,14
15,026002D003,태백시 매봉산,2020-01-15,-8.0,-4.5,-10.7,50.2,271.8,3.4,9.9,0.0,,13.1,0,-6.5,-1.7,4.0,2020,1,15
16,026002D003,태백시 매봉산,2020-01-16,-4.8,0.1,-9.0,24.7,270.8,2.0,6.9,0.0,,11.1,0,-4.4,-1.9,3.8,2020,1,16
17,026002D003,태백시 매봉산,2020-01-17,-3.5,-1.0,-6.2,63.9,259.8,1.1,3.9,0.0,,5.4,203,-4.1,-1.7,3.9,2020,1,17
18,026002D003,태백시 매봉산,2020-01-18,-3.2,-0.7,-6.3,71.1,272.5,1.8,9.3,0.5,,6.8,288,-2.6,-1.0,4.8,2020,1,18
19,026002D003,태백시 매봉산,2020-01-19,-5.8,-4.1,-7.5,66.3,269.2,4.3,15.3,0.0,,6.5,0,-5.6,-1.5,4.2,2020,1,19
20,026002D003,태백시 매봉산,2020-01-20,-6.4,-3.5,-8.4,66.8,268.1,4.7,16.6,0.0,,12.8,0,-5.5,-1.6,3.9,2020,1,20
21,026002D003,태백시 매봉산,2020-01-21,-3.7,1.6,-10.5,32.4,263.4,2.3,11.0,0.0,,13.6,0,-2.6,-1.9,3.8,2020,1,21
22,026002D003,태백시 매봉산,2020-01-22,-1.2,0.6,-3.1,47.6,263.3,1.1,8.8,0.0,,4.4,18,-1.2,-1.2,4.4,2020,1,22
23,026002D003,태백시 매봉산,2020-01-23,1.0,5.9,-1.7,66.6,264.9,0.9,6.7,0.5,,8.8,312,1.2,-0.7,5.5,2020,1,23
24,026002D003,태백시 매봉산,2020-01-24,-1.1,0.4,-2.6,71.4,156.0,1.3,5.6,0.0,,7.0,473,-1.2,-0.6,6.4,2020,1,24
25,026002D003,태백시 매봉산,2020-01-25,-1.3,0.7,-2.5,89.0,176.8,0.9,5.2,1.5,,5.4,927,-0.9,-0.5,7.2,2020,1,25
26,026002D003,태백시 매봉산,2020-01-26,-2.2,-1.0,-3.5,91.8,119.2,1.5,9.0,0.0,,2.6,729,-2.0,-0.4,8.2,2020,1,26
27,026002D003,태백시 매봉산,2020-01-27,-2.8,-1.6,-3.7,92.6,116.1,2.7,9.4,0.0,,0.9,829,-2.5,-0.4,9.1,2020,1,27
28,026002D003,태백시 매봉산,2020-01-28,-1.8,-0.2,-3.7,93.0,143.5,1.8,8.0,0.0,,3.6,1260,-0.9,-0.4,9.3,2020,1,28
29,026002D003,태백시 매봉산,2020-01-29,-2.9,-0.5,-4.8,92.2,210.5,0.8,6.1,0.0,,3.9,402,-0.7,-0.3,9.6,2020,1,29
30,026002D003,태백시 매봉산,2020-01-30,-4.4,-2.1,-6.0,91.0,159.3,0.9,4.8,0.0,,2.8,0,-0.7,-0.3,10.2,2020,1,30
31,026002D003,태백시 매봉산,2020-01-31,-5.0,-2.6,-8.2,86.6,267.4,1.3,7.5,0.0,,8.8,87,-0.7,-0.3,10.5,2020,1,31
