no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,235802A001,태백시 황지동,2022-07-01,24.7,30.2,18.8,71.4,201.1,1.9,9.8,0.0,619,27.6,209,25.0,23.4,15.4,2022,7,1
183,235802A001,태백시 황지동,2022-07-02,23.5,31.7,16.8,79.7,89.5,0.8,4.8,0.0,603,29.0,0,24.9,24.3,14.3,2022,7,2
184,235802A001,태백시 황지동,2022-07-03,24.5,31.9,19.1,75.1,203.9,1.0,5.3,0.0,633,28.0,0,25.8,25.2,13.5,2022,7,3
185,235802A001,태백시 황지동,2022-07-04,22.9,28.3,18.8,85.1,35.4,0.9,10.0,0.0,257,13.7,134,23.6,24.7,12.9,2022,7,4
186,235802A001,태백시 황지동,2022-07-05,22.2,28.0,18.0,85.6,41.3,1.2,5.2,0.0,421,24.4,0,24.1,24.5,12.7,2022,7,5
187,235802A001,태백시 황지동,2022-07-06,22.4,25.6,20.0,92.5,36.2,0.9,4.0,1.0,105,12.2,576,23.8,24.6,12.5,2022,7,6
188,235802A001,태백시 황지동,2022-07-07,25.2,29.7,21.0,78.2,203.9,1.9,7.0,0.0,342,19.7,521,25.8,24.9,12.4,2022,7,7
189,235802A001,태백시 황지동,2022-07-08,24.5,27.9,19.9,76.4,205.9,2.4,9.7,2.5,296,19.3,365,24.9,24.8,12.2,2022,7,8
190,235802A001,태백시 황지동,2022-07-09,23.0,27.1,20.7,85.4,47.3,1.1,6.5,0.0,121,14.4,44,24.1,24.5,12.2,2022,7,9
191,235802A001,태백시 황지동,2022-07-10,21.2,24.0,19.5,97.2,39.7,1.1,5.6,1.5,50,10.9,767,22.7,24.3,12.1,2022,7,10
192,235802A001,태백시 황지동,2022-07-11,21.0,26.2,17.9,94.1,216.8,1.3,8.7,37.5,128,13.5,1007,22.0,23.3,16.0,2022,7,11
193,235802A001,태백시 황지동,2022-07-12,18.5,22.0,16.8,96.3,35.9,1.2,5.0,1.0,4,10.5,575,20.2,22.8,15.3,2022,7,12
194,235802A001,태백시 황지동,2022-07-13,20.0,22.8,17.9,97.0,223.1,1.3,8.3,33.5,29,7.2,554,20.8,22.3,16.0,2022,7,13
195,235802A001,태백시 황지동,2022-07-14,22.5,26.2,18.1,87.2,194.7,1.4,9.0,2.5,192,14.6,727,22.7,22.8,16.2,2022,7,14
196,235802A001,태백시 황지동,2022-07-15,22.0,28.0,17.4,76.5,196.5,1.6,7.5,1.0,541,27.0,106,23.0,23.3,15.2,2022,7,15
197,235802A001,태백시 황지동,2022-07-16,20.6,26.4,16.9,83.8,183.2,1.3,10.9,0.0,289,19.4,559,22.0,23.5,14.7,2022,7,16
198,235802A001,태백시 황지동,2022-07-17,21.4,25.5,16.7,79.0,204.9,1.6,6.3,0.0,339,19.8,0,22.4,23.3,14.3,2022,7,17
199,235802A001,태백시 황지동,2022-07-18,20.7,24.1,17.5,85.6,217.4,1.3,6.2,1.0,47,10.8,245,21.1,22.6,13.9,2022,7,18
200,235802A001,태백시 황지동,2022-07-19,22.6,28.7,17.3,78.6,185.4,1.3,6.6,0.0,432,23.2,0,23.9,23.5,13.7,2022,7,19
201,235802A001,태백시 황지동,2022-07-20,23.4,27.9,20.4,72.4,194.5,1.4,6.5,0.0,429,20.7,16,24.2,24.0,13.3,2022,7,20
202,235802A001,태백시 황지동,2022-07-21,19.0,20.5,18.3,99.0,42.6,1.0,10.3,33.5,0,5.6,1099,20.1,23.0,16.3,2022,7,21
203,235802A001,태백시 황지동,2022-07-22,18.3,19.6,16.5,99.7,37.9,0.9,4.9,24.0,1,5.9,1132,19.4,21.9,16.9,2022,7,22
204,235802A001,태백시 황지동,2022-07-23,19.3,24.1,15.9,93.4,326.8,1.1,4.1,4.5,170,14.4,742,20.7,22.0,15.8,2022,7,23
205,235802A001,태백시 황지동,2022-07-24,20.8,26.4,18.0,92.1,226.7,1.2,5.4,9.5,135,14.5,522,21.8,22.6,16.4,2022,7,24
206,235802A001,태백시 황지동,2022-07-25,22.2,26.7,18.3,90.0,38.9,1.1,7.4,0.0,431,21.6,0,23.9,23.6,15.3,2022,7,25
207,235802A001,태백시 황지동,2022-07-26,21.5,26.9,16.5,89.9,28.3,1.2,5.1,0.0,460,23.6,0,23.8,24.7,14.8,2022,7,26
208,235802A001,태백시 황지동,2022-07-27,19.8,25.6,14.0,89.0,33.3,1.1,10.4,0.0,390,21.1,0,21.9,23.8,14.3,2022,7,27
209,235802A001,태백시 황지동,2022-07-28,20.7,24.1,17.4,95.1,51.2,0.8,4.3,2.5,148,9.1,332,21.9,23.5,13.9,2022,7,28
210,235802A001,태백시 황지동,2022-07-29,23.3,30.0,19.1,92.0,47.2,1.0,5.2,0.0,365,21.0,559,24.9,24.6,13.9,2022,7,29
211,235802A001,태백시 황지동,2022-07-30,20.8,22.7,17.7,99.4,34.9,0.8,3.6,0.5,63,5.9,0,21.7,23.6,13.8,2022,7,30
212,235802A001,태백시 황지동,2022-07-31,22.4,24.3,21.1,95.7,213.1,1.2,9.0,8.0,0,4.2,935,22.4,23.3,14.9,2022,7,31
