stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
235802A001,태백시 황지동,2024-09-01,21.6,27.4,16.5,77.9,201.9,1.4,6.1,0.0,641,24.8,0,21.4,23.1,15.2,2024,9,1
235802A001,태백시 황지동,2024-09-02,18.7,23.0,15.3,93.4,24.1,1.4,12.0,11.5,7,8.3,274,19.2,22.4,15.0,2024,9,2
235802A001,태백시 황지동,2024-09-03,18.0,21.7,14.0,86.4,21.6,1.7,5.9,0.0,380,19.8,570,18.6,22.0,16.8,2024,9,3
235802A001,태백시 황지동,2024-09-04,18.3,25.3,11.3,84.0,73.1,1.1,10.2,0.0,640,24.9,0,18.8,21.6,16.1,2024,9,4
235802A001,태백시 황지동,2024-09-05,21.8,27.4,14.8,79.1,198.6,2.0,8.5,0.5,484,20.4,0,21.1,22.1,15.6,2024,9,5
235802A001,태백시 황지동,2024-09-06,18.7,21.1,16.9,97.0,11.4,1.2,5.8,10.0,0,2.6,534,18.9,22.1,16.9,2024,9,6
235802A001,태백시 황지동,2024-09-07,20.7,26.4,16.9,93.3,230.7,1.2,8.6,0.5,267,16.4,439,21.1,22.1,17.7,2024,9,7
235802A001,태백시 황지동,2024-09-08,20.9,24.4,18.3,94.6,30.2,1.2,5.1,0.5,278,14.1,96,21.5,22.7,16.7,2024,9,8
235802A001,태백시 황지동,2024-09-09,21.5,25.6,18.2,94.1,233.3,1.1,8.9,2.0,214,11.8,1076,21.6,22.8,16.3,2024,9,9
235802A001,태백시 황지동,2024-09-10,22.8,30.3,17.2,85.1,203.4,1.3,4.4,0.0,526,20.7,615,22.4,23.1,16.2,2024,9,10
235802A001,태백시 황지동,2024-09-11,21.9,27.4,16.8,92.0,41.7,1.0,6.3,0.5,330,13.3,248,21.9,23.1,15.8,2024,9,11
235802A001,태백시 황지동,2024-09-12,20.9,21.8,20.2,99.9,36.2,0.7,2.6,42.5,0,2.5,1280,21.3,23.0,18.8,2024,9,12
235802A001,태백시 황지동,2024-09-13,23.3,28.7,19.6,87.1,207.5,1.1,6.2,0.0,411,16.2,560,22.6,23.2,17.3,2024,9,13
235802A001,태백시 황지동,2024-09-14,22.3,25.3,19.9,90.4,61.3,1.3,7.1,0.5,18,7.7,95,22.1,23.4,16.6,2024,9,14
235802A001,태백시 황지동,2024-09-15,19.3,20.3,17.9,99.9,8.1,1.9,6.6,13.0,0,5.1,1233,19.9,22.9,17.8,2024,9,15
235802A001,태백시 황지동,2024-09-16,19.7,22.4,17.8,99.7,13.7,1.1,4.3,1.5,0,6.8,652,20.3,22.2,18.0,2024,9,16
235802A001,태백시 황지동,2024-09-17,23.3,28.7,20.4,92.0,81.5,0.9,4.2,1.5,208,13.1,222,22.8,22.9,17.2,2024,9,17
235802A001,태백시 황지동,2024-09-18,22.6,29.3,20.4,96.3,218.1,1.4,9.9,26.5,114,8.6,598,22.5,23.4,17.8,2024,9,18
235802A001,태백시 황지동,2024-09-19,23.3,28.7,19.6,87.6,204.0,0.9,5.0,0.0,107,11.4,639,22.4,23.4,17.4,2024,9,19
235802A001,태백시 황지동,2024-09-20,21.5,26.5,14.3,90.9,187.2,1.6,11.5,54.0,10,4.9,368,20.9,23.3,17.8,2024,9,20
235802A001,태백시 황지동,2024-09-21,15.7,16.5,14.3,99.9,3.2,2.7,8.5,95.5,0,1.4,673,15.9,20.2,20.4,2024,9,21
235802A001,태백시 황지동,2024-09-22,14.1,16.2,11.6,99.9,1.5,2.7,8.0,26.5,0,5.8,1142,14.8,19.3,19.6,2024,9,22
235802A001,태백시 황지동,2024-09-23,12.1,15.8,7.1,86.0,27.2,1.8,6.9,0.5,293,16.1,501,12.8,18.3,18.0,2024,9,23
235802A001,태백시 황지동,2024-09-24,12.3,19.2,6.2,91.4,54.4,1.0,4.9,0.0,483,18.7,0,13.9,17.6,17.1,2024,9,24
235802A001,태백시 황지동,2024-09-25,16.6,22.2,11.5,91.2,197.7,1.1,3.7,0.0,267,12.5,0,16.9,18.4,16.7,2024,9,25
235802A001,태백시 황지동,2024-09-26,17.9,23.6,14.6,91.6,57.5,1.0,7.6,0.0,222,11.1,0,18.0,19.3,16.4,2024,9,26
235802A001,태백시 황지동,2024-09-26,17.9,23.6,14.6,91.6,57.8,1.0,7.6,0.0,222,11.1,0,18.0,19.3,16.4,2024,9,26
235802A001,태백시 황지동,2024-09-27,17.0,21.4,14.5,93.3,30.9,1.2,5.1,6.0,186,12.9,106,17.8,19.6,16.1,2024,9,27
235802A001,태백시 황지동,2024-09-28,15.6,18.0,13.4,91.2,17.9,1.8,6.8,41.0,178,12.1,467,16.1,19.2,19.1,2024,9,28
235802A001,태백시 황지동,2024-09-28,15.6,18.0,13.4,91.2,17.9,1.8,6.8,41.0,178,12.1,467,16.1,19.2,19.1,2024,9,28
