no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,235802A001,태백시 황지동,2015-01-01,-10.3,-4.9,-13.6,44.6,,0.0,0.0,0.0,449,10.4,0,,-1.1,16.6,2015
2,235802A001,태백시 황지동,2015-01-02,-9.3,-4.3,-13.0,52.4,,0.0,0.0,0.0,435,10.6,0,,-1.5,16.2,2015
3,235802A001,태백시 황지동,2015-01-03,-5.4,4.4,-13.4,44.2,,0.0,0.0,0.0,450,10.5,0,,-1.6,16.2,2015
4,235802A001,태백시 황지동,2015-01-04,-1.0,4.7,-6.6,73.9,,0.0,0.0,0.0,78,2.7,0,,-1.3,16.6,2015
5,235802A001,태백시 황지동,2015-01-05,-0.2,10.2,-9.7,61.0,,0.0,0.0,1.0,252,6.4,193,,-1.3,16.6,2015
6,235802A001,태백시 황지동,2015-01-06,-0.5,3.8,-7.7,63.5,,0.0,0.0,8.0,436,10.3,357,,-0.8,18.1,2015
7,235802A001,태백시 황지동,2015-01-07,-7.6,0.2,-12.7,53.9,,0.0,0.0,0.0,452,10.9,0,,-1.0,17.9,2015
8,235802A001,태백시 황지동,2015-01-08,-7.4,3.1,-14.7,58.0,,0.0,0.0,0.0,452,11.0,7,,-1.6,16.3,2015
9,235802A001,태백시 황지동,2015-01-09,-4.6,1.1,-10.3,49.8,,0.0,0.0,0.0,454,10.9,0,,-1.7,16.2,2015
10,235802A001,태백시 황지동,2015-01-10,-3.1,2.1,-9.1,53.0,,0.0,0.0,0.0,455,11.0,0,,-1.7,16.2,2015
11,235802A001,태백시 황지동,2015-01-11,-2.4,0.2,-8.9,66.1,,0.0,0.0,1.5,223,6.5,137,,-1.5,16.4,2015
12,235802A001,태백시 황지동,2015-01-12,-6.3,3.3,-13.1,72.9,,0.0,0.0,0.0,456,11.1,9,,-1.5,16.3,2015
13,235802A001,태백시 황지동,2015-01-13,-4.4,8.4,-13.3,65.6,,0.0,0.0,0.0,392,9.8,13,,-1.8,16.2,2015
14,235802A001,태백시 황지동,2015-01-14,-0.4,7.0,-6.2,58.6,,0.0,0.0,0.0,0,3.5,0,,-1.4,16.5,2015
15,235802A001,태백시 황지동,2015-01-15,0.3,1.6,-3.0,94.2,,0.0,0.0,1.0,0,1.0,753,,-1.0,17.2,2015
16,235802A001,태백시 황지동,2015-01-16,-2.2,0.9,-6.1,80.3,,0.0,0.0,0.0,167,5.7,0,,-1.0,17.5,2015
17,235802A001,태백시 황지동,2015-01-17,-5.2,-0.4,-10.0,51.6,,0.0,0.0,0.0,463,11.6,0,,-1.1,17.1,2015
18,235802A001,태백시 황지동,2015-01-18,-3.1,6.1,-10.0,48.6,,0.0,0.0,0.0,372,10.3,0,,-1.5,16.4,2015
19,235802A001,태백시 황지동,2015-01-19,-2.3,2.1,-9.9,69.5,,0.0,0.0,4.0,285,8.5,0,,-1.2,16.9,2015
20,235802A001,태백시 황지동,2015-01-20,-4.7,4.7,-13.8,72.8,,0.0,0.0,0.5,471,11.3,14,,-1.2,16.9,2015
21,235802A001,태백시 황지동,2015-01-21,-0.4,4.3,-5.7,82.8,,0.0,0.0,0.0,53,4.4,0,,-1.1,17.2,2015
22,235802A001,태백시 황지동,2015-01-22,-0.9,1.2,-3.1,92.1,,0.0,0.0,2.0,0,2.4,419,,-0.9,17.9,2015
23,235802A001,태백시 황지동,2015-01-23,-5.1,4.0,-14.3,78.6,,0.0,0.0,8.0,476,12.1,128,,-0.9,18.5,2015
24,235802A001,태백시 황지동,2015-01-24,-4.0,4.6,-10.3,75.9,,0.0,0.0,0.0,480,11.9,13,,-0.9,18.5,2015
25,235802A001,태백시 황지동,2015-01-25,-1.2,4.5,-9.5,84.4,,0.0,0.0,3.0,46,5.8,314,,-1.0,18.3,2015
26,235802A001,태백시 황지동,2015-01-26,3.2,9.5,-1.6,93.4,,0.0,0.0,3.0,77,5.1,760,,-0.8,18.7,2015
27,235802A001,태백시 황지동,2015-01-27,-1.9,2.8,-7.9,81.5,,0.0,0.0,0.0,271,7.8,118,,-0.8,19.5,2015
28,235802A001,태백시 황지동,2015-01-28,-6.0,-0.3,-10.7,83.6,,0.0,0.0,0.5,155,5.5,117,,-0.9,19.0,2015
29,235802A001,태백시 황지동,2015-01-29,-4.2,1.5,-10.6,87.8,,0.0,0.0,0.0,42,4.1,122,,-1.2,17.2,2015
30,235802A001,태백시 황지동,2015-01-30,-3.9,-0.2,-10.8,67.1,,0.0,0.0,1.0,381,10.6,0,,-1.0,17.5,2015
31,235802A001,태백시 황지동,2015-01-31,-7.3,1.4,-13.9,69.2,,0.0,0.0,0.0,505,13.2,0,,-1.3,16.5,2015
32,235802A001,태백시 황지동,2015-02-01,-6.0,5.2,-13.9,64.9,,0.0,0.0,0.0,508,13.7,3,,-1.8,16.2,2015
33,235802A001,태백시 황지동,2015-02-02,-5.0,4.4,-12.2,76.1,,0.0,0.0,0.0,423,10.3,2,,-2.0,16.2,2015
34,235802A001,태백시 황지동,2015-02-03,-3.6,5.4,-11.4,77.8,,0.0,0.0,0.0,433,11.8,52,,-1.9,16.3,2015
35,235802A001,태백시 황지동,2015-02-04,-3.1,4.1,-9.2,70.4,,0.0,0.0,0.0,385,10.8,36,,-1.6,16.4,2015
36,235802A001,태백시 황지동,2015-02-05,-2.9,0.8,-6.5,71.0,,0.0,0.0,0.0,203,7.4,5,,-1.5,16.6,2015
37,235802A001,태백시 황지동,2015-02-06,-3.0,6.2,-9.8,65.4,,0.0,0.0,0.0,517,14.0,15,,-1.6,16.4,2015
38,235802A001,태백시 황지동,2015-02-07,-1.4,5.5,-6.0,62.3,,0.0,0.0,0.0,402,10.5,0,,-1.5,16.5,2015
39,235802A001,태백시 황지동,2015-02-08,-8.6,-1.5,-15.7,43.0,,0.0,0.0,0.0,522,15.4,0,,-1.6,16.5,2015
40,235802A001,태백시 황지동,2015-02-09,-9.6,-4.4,-17.2,50.9,,0.0,0.0,0.0,511,15.1,0,,-2.6,15.7,2015
41,235802A001,태백시 황지동,2015-02-10,-2.0,1.4,-5.7,63.8,,0.0,0.0,0.0,295,8.0,2,,-2.1,15.9,2015
42,235802A001,태백시 황지동,2015-02-11,0.7,4.9,-1.2,58.3,,0.0,0.0,0.0,450,12.9,0,,-1.6,16.3,2015
43,235802A001,태백시 황지동,2015-02-12,-3.4,-0.2,-8.3,40.0,,0.0,0.0,0.0,527,15.5,0,,-1.5,16.5,2015
44,235802A001,태백시 황지동,2015-02-13,-5.1,0.3,-9.8,39.9,,0.0,0.0,0.0,529,15.8,0,,-1.9,16.0,2015
45,235802A001,태백시 황지동,2015-02-14,-1.2,3.8,-9.3,63.5,,0.0,0.0,0.0,412,13.6,23,,-1.9,16.1,2015
46,235802A001,태백시 황지동,2015-02-15,2.7,9.5,-3.2,72.3,,0.0,0.0,0.0,410,9.9,324,,-1.3,16.7,2015
47,235802A001,태백시 황지동,2015-02-16,0.8,1.8,0.1,95.2,,0.0,0.0,2.0,0,1.4,1430,,-1.0,17.6,2015
48,235802A001,태백시 황지동,2015-02-17,-0.2,1.7,-2.3,83.3,,0.0,0.0,4.0,118,6.7,758,,-0.9,18.4,2015
49,235802A001,태백시 황지동,2015-02-18,-1.2,2.4,-6.3,81.4,,0.0,0.0,2.0,109,6.5,158,,-0.8,19.0,2015
50,235802A001,태백시 황지동,2015-02-19,-3.6,2.4,-10.3,87.9,,0.0,0.0,1.0,271,8.8,315,,-0.8,19.5,2015
51,235802A001,태백시 황지동,2015-02-20,-2.7,8.6,-13.6,69.8,,0.0,0.0,0.5,541,16.7,37,,-0.8,19.8,2015
52,235802A001,태백시 황지동,2015-02-21,2.6,5.8,-1.3,82.8,,0.0,0.0,5.0,0,2.9,714,,-0.7,20.9,2015
53,235802A001,태백시 황지동,2015-02-22,5.1,8.9,-3.3,71.1,,0.0,0.0,0.0,422,14.8,384,,-0.6,29.4,2015
54,235802A001,태백시 황지동,2015-02-23,-0.6,6.0,-4.3,58.0,,0.0,0.0,0.0,462,15.0,0,,-0.7,30.0,2015
55,235802A001,태백시 황지동,2015-02-24,0.0,8.0,-5.0,57.2,,0.0,0.0,0.0,542,17.3,0,,-0.6,30.0,2015
56,235802A001,태백시 황지동,2015-02-25,2.4,9.5,-4.2,54.3,,0.0,0.0,0.0,529,15.1,0,,-0.6,30.3,2015
57,235802A001,태백시 황지동,2015-02-26,0.7,3.6,-6.1,56.9,,0.0,0.0,0.0,455,15.6,168,,-0.6,30.5,2015
58,235802A001,태백시 황지동,2015-02-27,-4.6,1.4,-8.6,49.5,,0.0,0.0,0.0,551,17.8,0,,-0.7,29.9,2015
59,235802A001,태백시 황지동,2015-02-28,-1.9,4.0,-9.3,63.5,,0.0,0.0,0.0,260,8.9,0,,-0.7,28.7,2015
60,235802A001,태백시 황지동,2015-03-01,-0.2,2.8,-2.5,69.3,,0.0,0.0,1.0,353,14.3,162,,-0.6,28.3,2015
61,235802A001,태백시 황지동,2015-03-02,0.0,6.4,-6.2,47.5,,0.0,0.0,0.0,567,18.7,0,,-0.6,28.2,2015
62,235802A001,태백시 황지동,2015-03-03,1.5,4.4,-1.6,60.9,,0.0,0.0,0.0,187,8.4,4,,-0.6,27.8,2015
63,235802A001,태백시 황지동,2015-03-04,-4.1,0.7,-8.2,45.5,,0.0,0.0,0.0,575,19.8,0,,-0.7,27.5,2015
64,235802A001,태백시 황지동,2015-03-05,-4.6,3.6,-12.3,59.4,,0.0,0.0,0.0,516,17.1,0,,-0.7,26.5,2015
65,235802A001,태백시 황지동,2015-03-06,-1.8,7.7,-10.0,69.7,,0.0,0.0,0.0,567,19.0,39,,-0.7,24.8,2015
66,235802A001,태백시 황지동,2015-03-07,0.8,11.6,-6.6,67.7,,0.0,0.0,0.0,579,19.2,58,,-0.7,24.1,2015
67,235802A001,태백시 황지동,2015-03-08,2.7,12.7,-7.0,59.1,,0.0,0.0,0.0,571,18.6,25,,-0.6,24.0,2015
68,235802A001,태백시 황지동,2015-03-09,1.9,9.0,-8.8,53.3,,0.0,0.0,0.0,442,15.0,0,,-0.6,25.2,2015
69,235802A001,태백시 황지동,2015-03-10,-7.3,-1.6,-11.5,40.6,,0.0,0.0,0.0,577,20.3,0,,-0.8,26.3,2015
