no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,357903A001,태안군 태안읍,2014-01-01,6.1,9.7,1.9,69.3,188.6,2.0,14.5,0.0,0.0,8.1,,4.9,3.5,,2014
2,357903A001,태안군 태안읍,2014-01-02,3.7,8.8,-0.4,62.4,143.7,0.6,6.1,0.0,0.0,9.2,,3.6,3.7,,2014
3,357903A001,태안군 태안읍,2014-01-03,3.6,9.8,-1.7,74.8,183.8,0.6,5.4,0.0,34.0,6.7,,2.9,3.5,,2014
4,357903A001,태안군 태안읍,2014-01-04,1.2,4.8,-1.5,60.7,257.9,0.9,8.3,0.0,0.0,9.2,,1.5,3.5,,2014
5,357903A001,태안군 태안읍,2014-01-05,0.9,6.3,-4.1,59.2,206.6,0.5,5.3,0.0,0.0,8.3,,0.8,2.9,,2014
6,357903A001,태안군 태안읍,2014-01-06,2.0,7.4,-3.5,68.4,95.8,0.8,5.0,0.0,0.0,7.4,,1.3,2.7,,2014
7,357903A001,태안군 태안읍,2014-01-07,3.4,7.8,-1.3,69.5,175.3,0.4,4.3,0.0,0.0,5.3,,2.2,2.8,,2014
8,357903A001,태안군 태안읍,2014-01-08,2.1,4.6,-2.9,69.8,266.2,1.7,10.6,0.0,0.0,6.0,,1.8,3.3,,2014
9,357903A001,태안군 태안읍,2014-01-09,-4.2,-1.8,-7.0,52.6,268.4,2.0,10.0,0.0,0.0,10.0,,-3.7,2.7,,2014
10,357903A001,태안군 태안읍,2014-01-10,-3.1,1.6,-6.9,85.0,91.4,0.9,5.3,1.5,822.0,5.1,,-3.8,2.0,,2014
11,357903A001,태안군 태안읍,2014-01-11,0.1,3.9,-4.1,79.6,127.0,0.6,5.8,0.0,888.0,6.6,,-0.6,1.8,,2014
12,357903A001,태안군 태안읍,2014-01-12,0.1,4.8,-4.6,69.0,254.4,1.2,8.9,0.0,0.0,6.7,,-0.8,2.0,,2014
13,357903A001,태안군 태안읍,2014-01-13,-3.9,0.2,-6.6,54.9,249.2,0.9,9.4,0.0,0.0,10.3,,-3.6,1.6,,2014
14,357903A001,태안군 태안읍,2014-01-14,-2.5,2.5,-7.9,64.7,86.3,0.7,6.3,0.0,0.0,8.9,,-2.6,1.2,,2014
15,357903A001,태안군 태안읍,2014-01-15,-1.1,4.2,-5.4,70.9,119.1,0.7,6.3,0.0,561.0,9.1,,-1.2,1.0,,2014
16,357903A001,태안군 태안읍,2014-01-16,1.0,5.9,-4.0,81.2,142.1,0.7,8.0,0.0,810.0,6.3,,0.0,1.1,,2014
17,357903A001,태안군 태안읍,2014-01-17,1.5,6.1,-3.1,81.4,199.8,0.3,3.9,0.0,869.0,6.0,,0.4,1.2,,2014
18,357903A001,태안군 태안읍,2014-01-18,0.9,3.6,-2.8,62.7,265.2,1.7,12.0,0.0,348.0,9.4,,1.0,1.6,,2014
19,357903A001,태안군 태안읍,2014-01-19,-1.4,2.6,-7.0,73.2,130.8,1.1,8.7,0.0,359.0,7.7,,-1.6,1.4,,2014
20,357903A001,태안군 태안읍,2014-01-20,2.1,5.9,-1.4,81.2,221.5,2.7,15.3,2.0,1011.0,6.0,,1.3,1.7,,2014
