no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,650821A001,통영시 광도면,2022-05-01,13.8,21.4,7.2,59.2,8.1,1.1,6.9,0.0,704.0,25.3,0,14.9,16.5,24.6,2022,5,1
122,650821A001,통영시 광도면,2022-05-02,14.5,20.2,6.9,56.1,178.9,1.5,6.3,0.0,685.0,24.0,0,15.7,16.5,22.2,2022,5,2
123,650821A001,통영시 광도면,2022-05-03,13.2,19.8,5.2,68.1,177.8,1.1,6.0,0.0,705.0,25.2,0,15.4,16.8,19.4,2022,5,3
124,650821A001,통영시 광도면,2022-05-04,13.9,21.3,5.6,70.8,184.1,1.0,6.8,0.0,707.0,25.9,0,16.0,16.9,16.2,2022,5,4
125,650821A001,통영시 광도면,2022-05-05,15.9,23.4,8.3,71.1,186.2,0.9,6.8,0.0,707.0,25.9,0,17.7,17.4,13.3,2022,5,5
126,650821A001,통영시 광도면,2022-05-06,18.1,26.4,10.4,73.5,176.6,0.9,5.6,0.0,707.0,25.5,0,19.7,17.9,11.0,2022,5,6
127,650821A001,통영시 광도면,2022-05-07,19.0,26.6,11.6,70.7,137.5,1.3,9.0,0.0,685.0,24.6,0,20.6,18.6,9.3,2022,5,7
128,650821A001,통영시 광도면,2022-05-08,16.9,20.9,14.7,52.8,7.4,2.4,9.1,0.0,626.0,23.0,0,18.3,18.7,8.1,2022,5,8
129,650821A001,통영시 광도면,2022-05-09,16.7,21.3,12.5,52.3,10.3,1.8,7.6,0.0,437.0,20.4,0,17.6,18.4,7.5,2022,5,9
130,650821A001,통영시 광도면,2022-05-10,16.2,20.4,9.3,54.4,6.1,1.8,7.6,0.0,342.0,18.5,0,16.6,18.1,7.0,2022,5,10
131,650821A001,통영시 광도면,2022-05-11,18.6,25.9,13.6,69.4,353.1,0.7,3.8,0.0,248.0,16.5,0,20.2,18.4,6.6,2022,5,11
132,650821A001,통영시 광도면,2022-05-12,19.8,24.3,16.9,78.9,15.1,1.2,7.5,0.0,71.0,14.8,0,20.6,19.0,6.4,2022,5,12
133,650821A001,통영시 광도면,2022-05-13,18.1,22.1,15.7,78.3,78.9,0.8,7.9,0.0,16.0,10.2,0,19.4,19.0,6.2,2022,5,13
134,650821A001,통영시 광도면,2022-05-14,18.1,24.0,10.0,49.9,235.5,1.1,6.6,1.5,597.0,25.3,0,20.2,19.2,6.2,2022,5,14
135,650821A001,통영시 광도면,2022-05-15,16.3,22.3,9.8,45.1,214.6,1.1,7.3,0.0,566.0,23.1,0,18.7,19.3,5.7,2022,5,15
136,650821A001,통영시 광도면,2022-05-16,15.8,23.6,8.7,58.0,184.4,1.2,8.3,0.0,656.0,27.5,0,19.0,19.2,5.4,2022,5,16
137,650821A001,통영시 광도면,2022-05-17,17.2,25.8,7.7,62.8,183.8,1.1,6.1,0.0,703.0,27.0,0,19.8,19.4,5.2,2022,5,17
138,650821A001,통영시 광도면,2022-05-18,18.1,25.7,9.3,64.8,201.2,1.1,5.8,0.0,711.0,26.4,0,20.7,19.8,5.0,2022,5,18
139,650821A001,통영시 광도면,2022-05-19,17.5,24.5,10.5,60.8,178.9,1.0,6.9,0.0,328.0,18.5,0,19.1,19.9,4.8,2022,5,19
140,650821A001,통영시 광도면,2022-05-20,18.6,25.0,13.1,68.9,193.5,0.7,5.8,0.0,251.0,16.0,0,20.2,19.8,4.7,2022,5,20
141,650821A001,통영시 광도면,2022-05-21,20.0,29.2,12.9,73.1,199.6,0.9,6.5,1.0,617.0,24.2,381,21.8,20.2,4.6,2022,5,21
142,650821A001,통영시 광도면,2022-05-22,21.7,30.8,12.6,62.4,232.1,1.2,8.9,0.0,722.0,27.0,0,23.4,20.7,4.5,2022,5,22
143,650821A001,통영시 광도면,2022-05-23,20.9,29.1,14.0,70.2,186.9,0.8,4.5,0.0,601.0,24.7,0,23.3,21.2,4.3,2022,5,23
144,650821A001,통영시 광도면,2022-05-24,21.7,31.6,13.7,66.5,176.4,0.6,4.0,0.0,702.0,25.8,0,23.6,21.6,4.2,2022,5,24
145,650821A001,통영시 광도면,2022-05-25,20.8,27.9,13.4,66.1,195.3,1.2,6.2,0.0,717.0,25.9,0,23.9,21.9,4.0,2022,5,25
146,650821A001,통영시 광도면,2022-05-26,21.0,28.0,15.0,62.8,206.8,1.1,7.1,0.0,553.0,25.6,0,23.6,22.2,3.9,2022,5,26
147,650821A001,통영시 광도면,2022-05-27,20.3,27.0,10.9,56.1,181.5,1.5,8.6,0.0,728.0,28.1,0,23.2,22.2,3.8,2022,5,27
148,650821A001,통영시 광도면,2022-05-28,20.7,29.1,13.5,61.4,186.2,1.1,6.6,0.0,588.0,21.7,0,22.5,22.2,3.7,2022,5,28
149,650821A001,통영시 광도면,2022-05-29,20.8,28.3,11.4,60.5,185.9,0.9,4.6,0.0,666.0,27.8,0,24.3,22.3,3.6,2022,5,29
150,650821A001,통영시 광도면,2022-05-30,21.5,27.7,17.2,68.4,167.3,1.0,5.6,0.0,430.0,21.2,374,24.6,22.8,3.4,2022,5,30
151,650821A001,통영시 광도면,2022-05-31,21.2,28.9,14.6,52.3,175.6,1.2,7.3,0.0,731.0,29.8,0,23.8,22.8,2.8,2022,5,31
