no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,413813A001,파주시 아동동,2014-07-01,24.7,31.1,18.4,76.5,101.8,0.8,4.1,0.0,,,,,,,2014,7,1
183,413813A001,파주시 아동동,2014-07-02,24.6,31.4,19.9,78.8,100.3,0.8,4.3,13.5,,,,,,,2014,7,2
184,413813A001,파주시 아동동,2014-07-03,21.1,22.7,20.4,94.3,89.4,0.5,3.8,1.5,,,,,,,2014,7,3
185,413813A001,파주시 아동동,2014-07-04,25.5,32.1,20.0,69.6,78.5,0.7,4.0,0.0,,,,,,,2014,7,4
186,413813A001,파주시 아동동,2014-07-05,24.2,29.0,18.9,81.2,103.8,0.7,3.4,0.0,,,,,,,2014,7,5
187,413813A001,파주시 아동동,2014-07-06,24.6,31.1,19.2,74.6,101.5,0.6,3.6,0.0,,,,,,,2014,7,6
188,413813A001,파주시 아동동,2014-07-07,24.8,32.8,17.3,74.6,109.5,0.8,4.4,0.0,,,,,,,2014,7,7
189,413813A001,파주시 아동동,2014-07-08,23.9,28.7,21.2,85.7,98.7,0.5,4.3,2.0,,,,,,,2014,7,8
190,413813A001,파주시 아동동,2014-07-09,25.6,33.2,22.0,88.2,97.4,0.5,5.4,4.5,,,,,,,2014,7,9
191,413813A001,파주시 아동동,2014-07-10,27.3,33.5,22.5,69.5,116.6,1.0,5.7,0.0,,,,,,,2014,7,10
192,413813A001,파주시 아동동,2014-07-11,25.0,32.7,18.5,72.9,109.4,1.0,5.4,0.0,,,,,,,2014,7,11
193,413813A001,파주시 아동동,2014-07-12,24.3,28.6,21.1,80.4,102.1,0.8,3.8,0.0,,,,,,,2014,7,12
194,413813A001,파주시 아동동,2014-07-13,23.9,29.1,20.4,83.1,106.7,0.7,4.8,0.0,,,,,,,2014,7,13
195,413813A001,파주시 아동동,2014-07-14,25.3,30.0,20.7,76.4,101.3,0.8,4.5,0.0,,,,,,,2014,7,14
196,413813A001,파주시 아동동,2014-07-15,25.5,31.4,21.1,76.4,104.4,0.8,4.9,0.0,,,,,,,2014,7,15
197,413813A001,파주시 아동동,2014-07-16,25.3,31.1,20.9,75.1,99.0,0.8,3.8,0.0,,,,,,,2014,7,16
198,413813A001,파주시 아동동,2014-07-17,25.3,29.8,22.3,77.2,106.1,0.8,4.0,0.0,,,,,,,2014,7,17
199,413813A001,파주시 아동동,2014-07-18,25.8,31.1,23.0,79.0,104.3,0.8,4.2,0.0,,,,,,,2014,7,18
200,413813A001,파주시 아동동,2014-07-19,26.2,31.0,23.0,81.0,97.9,0.7,3.8,0.0,,,,,,,2014,7,19
201,413813A001,파주시 아동동,2014-07-20,26.2,31.5,22.9,83.1,104.8,0.9,4.8,0.0,,,,,,,2014,7,20
202,413813A001,파주시 아동동,2014-07-21,25.8,31.2,21.1,80.4,102.5,0.7,4.9,0.0,,,,,,,2014,7,21
203,413813A001,파주시 아동동,2014-07-22,25.2,27.9,23.7,85.5,111.1,1.0,4.8,17.5,,,,,,,2014,7,22
204,413813A001,파주시 아동동,2014-07-23,23.7,26.1,20.2,91.1,110.9,0.8,3.4,30.0,,,,,,,2014,7,23
205,413813A001,파주시 아동동,2014-07-24,21.8,28.0,18.2,90.3,95.9,0.5,3.1,33.5,,,,,,,2014,7,24
206,413813A001,파주시 아동동,2014-07-25,26.3,33.6,21.2,84.6,104.1,1.1,6.3,54.5,,,,,,,2014,7,25
207,413813A001,파주시 아동동,2014-07-26,22.6,26.6,20.7,85.9,111.5,1.7,6.9,2.0,,,,,,,2014,7,26
208,413813A001,파주시 아동동,2014-07-27,24.1,30.1,20.2,78.7,97.4,0.6,4.0,0.0,,,,,,,2014,7,27
209,413813A001,파주시 아동동,2014-07-28,24.1,30.7,18.1,81.6,98.8,0.5,4.0,0.0,,,,,,,2014,7,28
210,413813A001,파주시 아동동,2014-07-29,25.3,31.5,21.5,74.9,98.0,0.7,4.2,0.0,,,,,,,2014,7,29
211,413813A001,파주시 아동동,2014-07-30,26.1,32.6,21.2,81.8,99.3,0.6,4.1,0.0,,,,,,,2014,7,30
212,413813A001,파주시 아동동,2014-07-31,27.6,33.5,23.4,80.4,95.6,0.7,4.9,0.0,,,,,,,2014,7,31
