no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,232803A001,평창군 여만리,2015-05-01,19.5,29.3,10.1,63.7,,,,0.0,706,23.3,299,20.3,16.3,20.1,2015,5,1
122,232803A001,평창군 여만리,2015-05-02,19.6,27.6,11.8,67.6,,,,0.0,513,19.1,338,20.3,17.1,19.8,2015,5,2
123,232803A001,평창군 여만리,2015-05-03,17.5,20.1,15.9,88.6,,,,1.5,0,6.5,735,18.0,17.3,19.6,2015,5,3
124,232803A001,평창군 여만리,2015-05-04,15.9,20.7,6.4,53.0,,,,0.0,631,23.0,418,16.8,17.0,19.5,2015,5,4
125,232803A001,평창군 여만리,2015-05-05,11.7,21.9,1.8,47.8,,,,0.0,721,25.5,0,12.7,15.2,19.2,2015,5,5
126,232803A001,평창군 여만리,2015-05-06,12.7,23.2,3.3,49.1,,,,0.0,408,17.0,0,13.0,14.7,18.9,2015,5,6
127,232803A001,평창군 여만리,2015-05-07,15.2,24.5,5.4,46.0,,,,0.0,687,22.1,0,15.7,15.2,18.6,2015,5,7
128,232803A001,평창군 여만리,2015-05-08,14.9,23.2,4.9,44.4,,,,0.0,517,19.3,0,15.4,15.3,18.2,2015,5,8
129,232803A001,평창군 여만리,2015-05-09,17.3,23.7,11.9,52.5,,,,0.0,545,18.7,0,18.2,16.2,17.9,2015,5,9
130,232803A001,평창군 여만리,2015-05-10,16.0,24.9,10.6,54.3,,,,0.0,526,20.5,0,17.2,16.7,17.4,2015,5,10
131,232803A001,평창군 여만리,2015-05-11,15.2,22.6,8.0,68.7,,,,14.0,333,14.2,92,15.7,16.1,17.3,2015,5,11
132,232803A001,평창군 여만리,2015-05-12,13.7,16.9,9.7,68.5,,,,15.0,236,13.7,433,14.1,15.9,19.7,2015,5,12
133,232803A001,평창군 여만리,2015-05-13,17.4,25.3,7.4,49.7,,,,0.0,723,24.4,68,17.4,15.8,19.7,2015,5,13
134,232803A001,평창군 여만리,2015-05-14,18.4,27.4,8.0,63.5,,,,0.0,684,22.7,0,19.2,16.7,19.3,2015,5,14
135,232803A001,평창군 여만리,2015-05-15,19.7,24.8,13.4,72.9,,,,0.0,243,14.2,0,20.0,18.3,19.0,2015,5,15
136,232803A001,평창군 여만리,2015-05-16,17.1,24.8,9.6,56.3,,,,0.0,681,25.2,0,18.1,18.0,18.6,2015,5,16
137,232803A001,평창군 여만리,2015-05-17,15.0,25.2,5.8,51.0,,,,0.0,679,21.9,0,15.5,16.9,18.2,2015,5,17
138,232803A001,평창군 여만리,2015-05-18,15.0,22.6,9.0,56.7,,,,0.0,142,12.9,0,15.1,16.5,17.8,2015,5,18
139,232803A001,평창군 여만리,2015-05-19,15.6,21.8,10.6,70.0,,,,0.5,298,15.8,227,16.6,17.1,17.6,2015,5,19
140,232803A001,평창군 여만리,2015-05-20,14.9,21.2,9.2,62.5,,,,0.0,523,21.7,375,16.5,17.3,17.2,2015,5,20
141,232803A001,평창군 여만리,2015-05-21,16.2,25.5,6.7,57.8,,,,0.0,649,24.9,0,17.4,17.2,16.8,2015,5,21
142,232803A001,평창군 여만리,2015-05-22,17.9,26.7,8.4,48.9,,,,0.0,711,25.1,0,18.6,17.7,16.2,2015,5,22
143,232803A001,평창군 여만리,2015-05-23,17.3,27.5,7.8,47.9,,,,0.0,702,25.9,0,18.0,17.6,15.4,2015,5,23
144,232803A001,평창군 여만리,2015-05-24,18.3,29.8,7.8,49.4,,,,0.0,719,25.9,0,18.8,17.9,14.5,2015,5,24
145,232803A001,평창군 여만리,2015-05-25,19.3,30.2,8.7,51.6,,,,0.0,713,26.0,0,19.9,18.4,13.6,2015,5,25
146,232803A001,평창군 여만리,2015-05-26,20.3,31.5,10.5,55.5,,,,0.0,715,26.1,0,21.0,19.0,12.8,2015,5,26
147,232803A001,평창군 여만리,2015-05-27,20.0,31.8,8.4,41.8,,,,0.0,716,27.0,0,20.6,19.2,12.3,2015,5,27
148,232803A001,평창군 여만리,2015-05-28,21.3,31.8,12.5,40.2,,,,0.0,695,25.6,0,22.3,19.9,11.9,2015,5,28
149,232803A001,평창군 여만리,2015-05-29,21.6,30.7,12.6,49.1,,,,0.0,604,22.6,0,22.8,20.5,11.7,2015,5,29
150,232803A001,평창군 여만리,2015-05-30,17.5,21.5,12.2,72.7,,,,0.5,142,7.4,427,17.9,19.8,11.6,2015,5,30
151,232803A001,평창군 여만리,2015-05-31,19.0,28.5,11.0,62.9,,,,0.0,552,21.6,0,20.3,19.1,11.6,2015,5,31
