no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,2328150.0,평창군 운교리,2012-08-01,25.7,32.0,20.4,74.1,176.9,1.5,6.5,0.0,,15.2,1398,27.4,27.5,,2012,8,1
214,2328150.0,평창군 운교리,2012-08-02,25.7,30.6,21.9,75.4,182.6,1.5,7.4,0.0,,11.9,831,27.0,27.8,,2012,8,2
215,2328150.0,평창군 운교리,2012-08-03,25.6,32.7,19.8,76.9,191.5,1.0,6.8,0.0,,16.4,1398,28.0,28.5,,2012,8,3
216,2328150.0,평창군 운교리,2012-08-04,25.9,34.6,19.0,75.5,183.7,0.9,4.6,0.0,,17.2,1398,28.6,29.4,,2012,8,4
217,2328150.0,평창군 운교리,2012-08-05,26.5,34.9,20.3,72.2,169.6,0.8,6.4,0.0,,15.5,1398,29.0,30.0,,2012,8,5
218,2328150.0,평창군 운교리,2012-08-06,25.7,33.2,20.0,72.4,180.7,1.6,7.6,0.0,,17.7,1435,28.4,30.2,,2012,8,6
219,2328150.0,평창군 운교리,2012-08-07,24.0,29.9,18.3,71.1,188.1,1.4,8.7,0.0,,17.7,1381,26.7,29.9,,2012,8,7
220,2328150.0,평창군 운교리,2012-08-08,23.6,32.1,15.0,69.8,144.4,0.9,4.9,0.0,,17.4,1398,26.7,29.2,,2012,8,8
221,2328150.0,평창군 운교리,2012-08-09,24.6,31.5,18.9,77.2,118.6,0.9,6.1,0.0,,14.2,1398,27.4,29.1,,2012,8,9
222,2328150.0,평창군 운교리,2012-08-10,22.2,25.4,19.4,90.7,226.6,0.5,4.6,0.4,,4.4,1394,23.3,27.1,,2012,8,10
223,2328150.0,평창군 운교리,2012-08-11,23.1,28.5,19.2,83.8,188.7,0.7,4.1,0.0,,10.0,1398,24.9,25.8,,2012,8,11
224,2328150.0,평창군 운교리,2012-08-12,22.2,27.6,19.7,91.8,175.2,0.9,4.6,14.5,,5.9,1398,23.5,25.5,,2012,8,12
225,2328150.0,평창군 운교리,2012-08-13,21.6,27.3,17.8,85.9,167.6,1.1,8.5,0.9,,9.1,1398,22.9,24.7,,2012,8,13
226,2328150.0,평창군 운교리,2012-08-14,22.3,28.5,15.7,76.3,145.1,1.0,6.1,0.0,,14.3,1398,23.5,24.6,,2012,8,14
227,2328150.0,평창군 운교리,2012-08-15,22.1,24.1,21.2,94.2,253.2,2.2,9.0,15.7,,0.9,1398,21.8,23.8,,2012,8,15
228,2328150.0,평창군 운교리,2012-08-16,21.6,25.2,19.6,94.3,216.5,0.5,5.6,6.1,,4.5,1398,22.1,23.3,,2012,8,16
229,2328150.0,평창군 운교리,2012-08-17,22.7,28.4,19.2,91.4,202.5,1.0,13.3,5.8,,11.3,1398,23.8,24.0,,2012,8,17
230,2328150.0,평창군 운교리,2012-08-18,23.7,27.6,21.0,93.3,234.9,1.0,5.6,0.8,,6.7,1398,24.4,24.6,,2012,8,18
231,2328150.0,평창군 운교리,2012-08-19,24.7,28.4,22.4,88.9,266.9,2.0,8.7,1.3,,8.4,1402,25.1,24.8,,2012,8,19
232,2328150.0,평창군 운교리,2012-08-20,23.3,25.3,22.1,94.3,250.0,1.8,6.9,4.1,,4.3,1398,23.5,24.4,,2012,8,20
233,2328150.0,평창군 운교리,2012-08-21,23.1,27.5,21.0,93.7,252.7,1.3,9.0,17.8,,9.3,1398,23.7,24.2,,2012,8,21
234,2328150.0,평창군 운교리,2012-08-22,21.3,22.6,19.2,95.6,227.1,1.5,5.8,5.7,,3.8,1398,21.8,23.8,,2012,8,22
235,2328150.0,평창군 운교리,2012-08-23,18.9,19.8,17.3,87.3,162.3,1.9,8.1,6.7,,2.7,1429,18.8,22.2,,2012,8,23
236,2328150.0,평창군 운교리,2012-08-24,19.8,23.1,17.6,84.5,192.4,1.1,6.3,0.0,,5.8,1392,20.3,21.6,,2012,8,24
237,2328150.0,평창군 운교리,2012-08-25,21.8,27.5,18.5,91.0,181.6,0.9,5.0,2.8,,8.3,1398,22.4,22.3,,2012,8,25
238,2328150.0,평창군 운교리,2012-08-26,23.8,31.4,20.0,85.9,172.0,0.9,8.8,1.2,,14.9,1398,25.1,24.1,,2012,8,26
239,2328150.0,평창군 운교리,2012-08-27,23.0,27.6,17.8,81.8,163.2,1.6,6.7,0.0,,8.1,1398,23.1,24.0,,2012,8,27
240,2328150.0,평창군 운교리,2012-08-28,24.3,27.2,20.5,77.8,260.0,4.0,21.5,5.8,,2.9,1391,22.3,23.2,,2012,8,28
241,2328150.0,평창군 운교리,2012-08-29,22.5,25.7,19.8,79.2,240.7,2.7,14.2,1.3,,6.8,1398,21.8,22.4,,2012,8,29
242,2328150.0,평창군 운교리,2012-08-30,18.6,20.5,15.9,92.4,149.8,2.0,14.4,28.1,,1.2,1398,18.6,21.5,,2012,8,30
243,2328150.0,평창군 운교리,2012-08-31,18.1,21.7,15.5,84.1,159.1,1.1,6.2,0.0,,7.3,1398,18.6,20.6,,2012,8,31
