no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,2328150.0,평창군 운교리,2015-01-01,-12.2,-8.8,-17.3,56.1,129.2,1.6,11.8,0.0,,6.9,0,-11.4,-0.1,,2015
2,2328150.0,평창군 운교리,2015-01-02,-11.9,-5.6,-17.7,66.7,129.2,1.7,12.5,0.0,,6.9,0,-11.6,-0.2,,2015
3,2328150.0,평창군 운교리,2015-01-03,-10.5,-2.2,-19.6,69.6,163.7,1.0,5.8,0.0,,7.3,0,-9.7,-0.3,,2015
4,2328150.0,평창군 운교리,2015-01-04,-3.0,2.3,-7.4,84.9,164.0,1.0,7.7,0.0,,2.6,252,-3.4,-0.2,,2015
5,2328150.0,평창군 운교리,2015-01-05,-2.6,5.9,-10.7,76.4,193.3,1.7,5.9,0.4,,5.4,259,-2.4,-0.2,,2015
6,2328150.0,평창군 운교리,2015-01-06,-3.1,1.3,-12.5,77.2,109.7,1.5,9.9,1.4,,5.2,651,-2.8,-0.1,11.4,2015
7,2328150.0,평창군 운교리,2015-01-07,-11.7,-4.3,-17.6,72.4,140.4,0.8,3.6,0.0,,7.5,3,-10.2,-0.2,13.8,2015
8,2328150.0,평창군 운교리,2015-01-08,-12.1,-2.8,-20.0,71.4,154.7,1.4,5.6,0.0,,7.4,0,-10.9,-0.5,9.6,2015
9,2328150.0,평창군 운교리,2015-01-09,-9.2,-0.9,-17.0,72.5,136.3,0.8,6.9,0.0,,7.5,3,-8.2,-0.8,6.6,2015
10,2328150.0,평창군 운교리,2015-01-10,-6.6,0.0,-14.7,73.9,154.0,1.0,7.7,0.0,,7.7,52,-5.9,-0.8,6.0,2015
11,2328150.0,평창군 운교리,2015-01-11,-2.1,-0.4,-8.4,72.3,128.5,1.8,10.6,0.0,,4.3,536,-2.3,-0.5,6.6,2015
12,2328150.0,평창군 운교리,2015-01-12,-8.3,0.8,-16.4,75.2,156.1,1.1,5.3,0.0,,7.7,7,-8.0,-0.5,7.0,2015
13,2328150.0,평창군 운교리,2015-01-13,-6.7,4.3,-15.3,70.8,154.4,1.3,5.6,0.0,,6.6,0,-6.2,-0.7,6.3,2015
14,2328150.0,평창군 운교리,2015-01-14,-2.1,3.3,-7.5,67.7,151.3,1.0,5.2,0.0,,2.7,0,-2.5,-0.6,6.4,2015
15,2328150.0,평창군 운교리,2015-01-15,1.4,5.8,-5.2,80.0,154.9,1.3,7.6,0.0,,4.3,73,1.1,-0.4,7.4,2015
