no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,2329410.0,평창군 진부면,2016-08-01,24.0,30.1,19.7,87.7,232.9,0.9,5.6,0.3,,19.6,758,25.2,25.7,15.8,2016,8,1
214,2329410.0,평창군 진부면,2016-08-02,22.8,29.1,20.6,94.1,97.7,0.5,5.3,1.8,,11.7,938,23.9,25.5,15.4,2016,8,2
215,2329410.0,평창군 진부면,2016-08-03,23.7,29.7,19.6,86.5,114.8,1.0,6.1,0.0,,21.9,215,25.2,25.5,15.4,2016,8,3
216,2329410.0,평창군 진부면,2016-08-04,23.6,30.4,17.8,81.3,110.4,1.3,7.1,0.0,,27.6,96,25.4,25.7,14.7,2016,8,4
217,2329410.0,평창군 진부면,2016-08-05,23.0,33.4,13.6,71.0,122.5,0.9,7.0,0.0,,27.2,498,24.2,25.3,13.7,2016,8,5
218,2329410.0,평창군 진부면,2016-08-06,23.8,34.6,13.7,74.7,144.9,0.6,5.4,0.0,,26.0,530,25.2,25.2,12.7,2016,8,6
219,2329410.0,평창군 진부면,2016-08-07,24.7,33.4,19.5,86.4,188.6,0.7,6.3,0.1,,20.8,474,26.2,25.9,11.8,2016,8,7
220,2329410.0,평창군 진부면,2016-08-08,24.0,31.2,20.0,88.5,100.3,1.2,6.6,0.4,,19.6,114,25.6,26.1,11.3,2016,8,8
221,2329410.0,평창군 진부면,2016-08-09,23.6,28.6,20.4,82.9,120.3,1.2,8.0,0.0,,20.8,182,25.2,25.9,10.7,2016,8,9
222,2329410.0,평창군 진부면,2016-08-10,25.0,31.4,19.9,83.3,275.7,0.9,5.2,0.0,,21.9,295,26.3,25.9,10.1,2016,8,10
223,2329410.0,평창군 진부면,2016-08-11,25.5,33.4,18.6,80.7,268.2,0.7,5.4,0.2,,24.1,390,26.8,26.0,9.4,2016,8,11
224,2329410.0,평창군 진부면,2016-08-12,25.8,34.0,18.6,80.7,273.4,0.8,6.4,0.0,,25.7,594,28.0,26.2,8.8,2016,8,12
225,2329410.0,평창군 진부면,2016-08-13,26.5,33.0,20.7,80.7,277.9,1.1,6.1,0.0,,25.1,500,29.0,26.5,8.1,2016,8,13
226,2329410.0,평창군 진부면,2016-08-14,25.0,30.9,20.7,90.1,273.0,0.8,5.6,1.8,,15.4,780,27.0,26.4,7.5,2016,8,14
227,2329410.0,평창군 진부면,2016-08-15,24.7,31.2,21.1,85.7,114.3,0.9,6.8,0.0,,19.4,437,26.7,26.3,7.3,2016,8,15
228,2329410.0,평창군 진부면,2016-08-16,24.4,30.8,20.9,83.3,117.4,1.1,6.1,6.5,,22.5,551,26.7,26.1,7.0,2016,8,16
229,2329410.0,평창군 진부면,2016-08-17,22.6,29.4,19.3,92.4,109.6,0.8,4.7,5.8,,17.9,827,24.5,25.8,7.1,2016,8,17
230,2329410.0,평창군 진부면,2016-08-18,23.7,30.9,19.1,87.1,102.3,0.8,5.2,0.0,,16.5,425,25.5,25.6,8.3,2016,8,18
231,2329410.0,평창군 진부면,2016-08-19,23.9,31.1,20.4,87.3,108.8,0.8,5.8,0.0,,13.2,322,25.4,25.6,8.7,2016,8,19
232,2329410.0,평창군 진부면,2016-08-20,23.8,31.1,19.1,79.3,111.6,1.4,6.6,0.0,,22.9,213,25.5,25.4,8.4,2016,8,20
233,2329410.0,평창군 진부면,2016-08-21,22.1,31.4,17.8,86.2,101.6,0.9,4.7,1.2,,14.8,533,23.8,25.1,8.1,2016,8,21
234,2329410.0,평창군 진부면,2016-08-22,22.2,29.4,16.8,85.1,112.0,1.0,7.1,0.0,,17.6,585,23.9,24.8,7.8,2016,8,22
235,2329410.0,평창군 진부면,2016-08-23,22.4,29.1,16.4,83.0,111.9,1.2,5.8,0.0,,21.7,463,24.5,24.6,7.4,2016,8,23
236,2329410.0,평창군 진부면,2016-08-24,22.8,28.3,18.1,79.4,133.3,0.5,2.8,0.0,,13.0,134,24.4,24.6,7.0,2016,8,24
237,2329410.0,평창군 진부면,2016-08-25,22.5,29.8,15.4,81.1,278.9,0.9,7.0,4.5,,19.1,681,24.7,24.1,6.8,2016,8,25
238,2329410.0,평창군 진부면,2016-08-26,16.1,20.9,10.4,86.9,116.8,1.7,8.4,25.9,,15.0,891,17.3,22.9,18.2,2016,8,26
239,2329410.0,평창군 진부면,2016-08-27,13.5,20.9,8.0,88.9,108.2,0.9,8.0,0.0,,17.9,535,14.6,21.3,19.5,2016,8,27
240,2329410.0,평창군 진부면,2016-08-28,15.3,16.6,12.9,93.5,104.1,1.2,6.7,19.6,,3.6,1032,15.9,20.9,21.6,2016,8,28
241,2329410.0,평창군 진부면,2016-08-29,14.1,16.0,12.1,93.9,118.7,0.8,7.3,16.6,,4.1,1355,14.9,19.7,26.9,2016,8,29
242,2329410.0,평창군 진부면,2016-08-30,14.4,16.5,12.1,94.1,277.9,1.5,7.5,3.6,,4.9,1161,15.4,19.2,26.4,2016,8,30
243,2329410.0,평창군 진부면,2016-08-31,14.7,17.0,13.1,90.7,282.7,4.1,13.7,2.4,,4.4,1277,14.6,18.6,25.7,2016,8,31
