no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,487915A001,포천시 신북면,2016-12-01,4.0,7.6,-3.4,58.9,102.4,1.5,7.4,0.0,558.0,,,4.0,,,2016,12,1
336,487915A001,포천시 신북면,2016-12-02,-1.7,6.1,-7.8,69.5,102.6,0.5,4.3,0.0,523.0,,,-1.7,,,2016,12,2
337,487915A001,포천시 신북면,2016-12-03,1.7,9.8,-4.8,80.3,194.2,0.4,2.7,0.0,484.0,,,1.7,,,2016,12,3
338,487915A001,포천시 신북면,2016-12-04,2.2,8.8,-2.8,87.4,231.0,0.5,3.2,0.0,254.0,,,2.2,,,2016,12,4
339,487915A001,포천시 신북면,2016-12-05,5.4,9.9,0.7,82.7,168.0,1.0,5.0,0.5,241.0,,,5.4,,,2016,12,5
340,487915A001,포천시 신북면,2016-12-06,-2.2,2.9,-6.8,53.5,105.1,0.9,4.6,0.0,534.0,,,-2.2,,,2016,12,6
341,487915A001,포천시 신북면,2016-12-07,-0.5,6.9,-6.3,74.2,232.6,0.6,3.0,0.0,375.0,,,-0.5,,,2016,12,7
342,487915A001,포천시 신북면,2016-12-08,-1.0,5.4,-7.3,90.1,259.2,0.7,4.2,0.5,290.0,,,-1.0,,,2016,12,8
343,487915A001,포천시 신북면,2016-12-09,0.6,3.9,-5.3,79.8,93.6,1.0,5.1,7.5,443.0,,,0.6,,,2016,12,9
344,487915A001,포천시 신북면,2016-12-10,-4.1,2.0,-8.7,75.2,99.4,0.6,3.5,0.0,507.0,,,-4.1,,,2016,12,10
345,487915A001,포천시 신북면,2016-12-11,-4.5,4.7,-10.6,74.9,131.6,0.6,2.9,0.0,494.0,,,-4.5,,,2016,12,11
346,487915A001,포천시 신북면,2016-12-12,-1.9,6.1,-8.4,73.9,120.8,0.8,3.6,0.0,387.0,,,-1.9,,,2016,12,12
347,487915A001,포천시 신북면,2016-12-13,1.7,8.4,-3.0,74.9,102.6,0.8,3.6,0.0,406.0,,,1.7,,,2016,12,13
348,487915A001,포천시 신북면,2016-12-14,-2.1,-1.1,-4.0,92.2,115.5,0.8,2.5,3.0,6.0,,,-2.1,,,2016,12,14
349,487915A001,포천시 신북면,2016-12-15,-6.8,-2.7,-11.7,67.5,104.6,0.7,4.1,0.0,522.0,,,-6.8,,,2016,12,15
350,487915A001,포천시 신북면,2016-12-16,-8.5,-1.2,-15.9,69.9,241.4,0.4,2.9,0.0,489.0,,,-8.5,,,2016,12,16
351,487915A001,포천시 신북면,2016-12-17,1.0,6.8,-4.3,80.0,261.4,0.8,3.9,0.0,410.0,,,1.0,,,2016,12,17
352,487915A001,포천시 신북면,2016-12-18,3.6,7.1,-0.4,88.3,267.9,0.7,3.6,0.0,21.0,,,3.6,,,2016,12,18
353,487915A001,포천시 신북면,2016-12-19,5.2,12.6,0.0,88.9,120.3,0.5,3.3,0.0,327.0,,,5.2,,,2016,12,19
354,487915A001,포천시 신북면,2016-12-20,3.6,12.1,-1.1,92.9,107.9,0.7,3.2,0.0,435.0,,,3.6,,,2016,12,20
355,487915A001,포천시 신북면,2016-12-21,4.9,12.2,-1.1,92.1,122.0,0.8,2.7,19.5,314.0,,,4.9,,,2016,12,21
356,487915A001,포천시 신북면,2016-12-22,4.9,7.9,1.8,99.3,133.3,1.2,4.4,22.5,6.0,,,4.9,,,2016,12,22
357,487915A001,포천시 신북면,2016-12-23,-2.2,1.9,-4.0,88.8,132.8,1.4,5.5,0.0,29.0,,,-2.2,,,2016,12,23
358,487915A001,포천시 신북면,2016-12-24,-2.9,-1.1,-5.0,85.7,99.0,0.5,2.6,0.0,23.0,,,-2.9,,,2016,12,24
359,487915A001,포천시 신북면,2016-12-25,-1.4,5.0,-7.1,91.5,112.6,0.8,3.7,0.0,443.0,,,-1.4,,,2016,12,25
360,487915A001,포천시 신북면,2016-12-26,0.8,3.5,-1.9,93.3,118.1,0.5,2.9,0.0,21.0,,,0.8,,,2016,12,26
361,487915A001,포천시 신북면,2016-12-27,-2.2,0.4,-8.8,73.9,92.7,1.3,5.6,0.5,512.0,,,-2.2,,,2016,12,27
362,487915A001,포천시 신북면,2016-12-28,-5.9,1.7,-11.7,72.5,158.5,0.6,3.4,0.0,518.0,,,-5.9,,,2016,12,28
363,487915A001,포천시 신북면,2016-12-29,-5.2,-1.4,-9.0,66.4,89.1,0.9,4.9,0.0,539.0,,,-5.2,,,2016,12,29
364,487915A001,포천시 신북면,2016-12-30,-6.0,0.2,-13.5,73.2,240.8,0.5,3.0,0.0,352.0,,,-6.0,,,2016,12,30
365,487915A001,포천시 신북면,2016-12-31,-1.5,4.4,-6.0,87.1,256.9,0.5,2.3,0.0,339.0,,,-1.5,,,2016,12,31
