stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
487915A001,포천시 신북면,2024-01-01,1.6,7.2,-2.8,87.9,198.5,0.3,4.2,1.0,145,,,,0.9,
487915A001,포천시 신북면,2024-01-02,2.2,5.1,0.1,83.2,181.4,0.2,2.4,0.0,17,,,,1.4,
487915A001,포천시 신북면,2024-01-03,1.0,3.7,-2.7,83.2,18.0,0.2,3.7,0.0,39,,,,0.3,
487915A001,포천시 신북면,2024-01-04,-0.5,3.9,-6.4,79.2,183.8,0.5,3.7,0.0,6,,,,-1.1,
487915A001,포천시 신북면,2024-01-05,4.7,9.8,-1.5,73.2,190.5,0.7,5.8,0.0,284,,,,3.8,
487915A001,포천시 신북면,2024-01-06,-1.1,3.9,-6.2,76.2,345.8,0.5,5.1,0.0,415,,,,-1.7,
487915A001,포천시 신북면,2024-01-07,-4.1,-0.9,-8.7,48.8,357.1,1.0,6.5,0.0,445,,,,-4.7,
487915A001,포천시 신북면,2024-01-08,-6.3,-0.4,-12.7,56.6,204.4,0.3,3.8,0.0,425,,,,-6.6,
487915A001,포천시 신북면,2024-01-09,-1.6,0.3,-3.6,86.7,169.1,0.3,2.7,0.0,0,,,,-2.2,
487915A001,포천시 신북면,2024-01-10,-2.4,3.2,-5.5,93.0,8.8,0.4,2.5,2.0,265,,,,-2.9,
487915A001,포천시 신북면,2024-01-11,0.3,3.9,-5.6,83.2,189.0,0.6,4.8,0.0,30,,,,-0.3,
487915A001,포천시 신북면,2024-01-12,-0.5,4.6,-4.8,69.7,1.2,0.5,5.1,0.0,452,,,,-1.3,
487915A001,포천시 신북면,2024-01-13,-3.0,5.3,-8.9,58.5,354.4,0.2,3.7,0.0,439,,,,-3.7,
487915A001,포천시 신북면,2024-01-14,-2.7,1.7,-7.4,84.0,32.9,0.8,4.8,0.5,0,,,,-3.2,
487915A001,포천시 신북면,2024-01-15,-5.3,-0.2,-11.2,55.2,15.4,0.6,3.7,1.5,459,,,,-6.0,
487915A001,포천시 신북면,2024-01-16,-5.8,3.6,-12.6,66.8,352.0,0.3,3.0,1.5,444,,,,-6.4,
487915A001,포천시 신북면,2024-01-17,-2.4,0.7,-8.5,87.6,12.4,0.4,3.2,0.5,13,,,,-2.8,
487915A001,포천시 신북면,2024-01-18,2.8,9.0,0.5,89.5,15.0,0.5,2.9,5.5,381,,,,2.0,
487915A001,포천시 신북면,2024-01-19,3.5,7.6,0.6,70.8,350.1,0.6,5.3,0.0,300,,,,2.5,
487915A001,포천시 신북면,2024-01-20,2.1,4.6,0.7,70.8,12.2,1.0,5.1,0.0,0,,,,1.3,
487915A001,포천시 신북면,2024-01-21,1.6,4.0,-1.7,76.3,3.5,0.7,4.2,0.0,0,,,,1.1,
487915A001,포천시 신북면,2024-01-22,-8.0,-1.7,-12.4,61.9,286.2,1.0,5.0,0.0,107,,,,-8.1,
