no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,011104F031,포천시 영북면,2023-03-01,3.7,8.9,-0.2,57.1,237.1,1.1,8.9,0.0,,10.2,0,,,,2023,3,1
61,011104F031,포천시 영북면,2023-03-02,1.0,5.9,-3.9,31.8,221.8,1.3,6.4,0.0,,17.2,0,,,,2023,3,2
62,011104F031,포천시 영북면,2023-03-03,0.8,8.9,-6.7,65.7,203.0,1.0,6.2,0.0,,12.7,0,,,,2023,3,3
63,011104F031,포천시 영북면,2023-03-04,4.3,14.1,-2.7,72.5,211.6,0.5,3.4,0.0,,14.1,304,,,,2023,3,4
64,011104F031,포천시 영북면,2023-03-05,4.2,14.5,-4.4,63.1,194.2,1.0,6.1,0.0,,15.4,105,,,,2023,3,5
65,011104F031,포천시 영북면,2023-03-06,4.1,15.4,-5.4,50.7,203.0,0.9,7.2,0.0,,16.1,92,,,,2023,3,6
66,011104F031,포천시 영북면,2023-03-07,7.0,17.3,-2.2,67.1,183.8,1.1,6.2,0.0,,13.4,47,,,,2023,3,7
67,011104F031,포천시 영북면,2023-03-08,7.6,14.3,1.0,81.9,174.6,1.2,8.1,0.5,,5.7,668,,,,2023,3,8
68,011104F031,포천시 영북면,2023-03-09,8.0,12.1,1.4,91.6,208.9,0.9,5.6,2.0,,4.8,614,,,,2023,3,9
69,011104F031,포천시 영북면,2023-03-10,8.7,20.5,0.9,72.8,169.2,1.0,6.5,0.0,,14.6,535,,,,2023,3,10
70,011104F031,포천시 영북면,2023-03-11,11.2,21.7,1.7,56.6,196.3,1.2,8.7,0.0,,14.5,0,,,,2023,3,11
71,011104F031,포천시 영북면,2023-03-12,4.0,8.1,-1.4,72.1,234.8,1.3,7.9,10.5,,2.7,419,,,,2023,3,12
72,011104F031,포천시 영북면,2023-03-13,0.8,6.3,-3.9,37.8,204.9,1.7,6.7,0.0,,18.7,0,,,,2023,3,13
73,011104F031,포천시 영북면,2023-03-14,5.9,14.5,-1.2,49.7,195.9,1.5,9.0,0.0,,18.4,0,,,,2023,3,14
74,011104F031,포천시 영북면,2023-03-15,5.9,12.1,-1.7,72.5,194.6,1.8,7.1,0.0,,2.1,0,,,,2023,3,15
75,011104F031,포천시 영북면,2023-03-16,1.9,8.9,-4.7,45.4,211.1,0.9,7.5,0.0,,17.1,0,,,,2023,3,16
76,011104F031,포천시 영북면,2023-03-17,3.5,12.8,-5.2,45.1,13.0,0.5,3.4,0.0,,15.3,0,,,,2023,3,17
77,011104F031,포천시 영북면,2023-03-18,5.1,14.2,-3.9,49.7,231.6,0.7,7.4,0.0,,18.7,0,,,,2023,3,18
78,011104F031,포천시 영북면,2023-03-19,5.4,15.1,-4.3,56.7,194.6,1.1,6.0,0.0,,19.7,12,,,,2023,3,19
79,011104F031,포천시 영북면,2023-03-20,6.3,16.1,-3.4,55.0,204.5,0.9,5.5,0.0,,18.3,32,,,,2023,3,20
80,011104F031,포천시 영북면,2023-03-21,8.9,22.0,-2.2,47.9,246.4,0.5,4.6,0.0,,19.7,0,,,,2023,3,21
81,011104F031,포천시 영북면,2023-03-22,12.4,24.0,0.4,54.0,279.5,0.9,5.1,0.0,,14.2,0,,,,2023,3,22
82,011104F031,포천시 영북면,2023-03-23,15.3,23.5,7.6,62.3,10.2,1.5,8.2,0.0,,15.0,0,,,,2023,3,23
83,011104F031,포천시 영북면,2023-03-24,9.2,18.0,2.0,62.6,352.2,1.4,7.1,0.0,,16.8,0,,,,2023,3,24
84,011104F031,포천시 영북면,2023-03-25,9.9,17.4,2.5,64.8,214.5,1.0,5.1,0.0,,15.4,0,,,,2023,3,25
85,011104F031,포천시 영북면,2023-03-26,8.0,13.9,0.3,37.2,233.0,1.3,9.7,0.0,,21.8,0,,,,2023,3,26
86,011104F031,포천시 영북면,2023-03-27,4.4,13.4,-4.7,45.0,195.4,1.2,7.4,0.0,,21.1,0,,,,2023,3,27
87,011104F031,포천시 영북면,2023-03-28,5.8,14.8,-3.6,54.2,215.7,0.9,6.4,0.0,,17.2,0,,,,2023,3,28
88,011104F031,포천시 영북면,2023-03-29,8.2,18.7,-2.4,51.3,204.1,1.1,6.9,0.0,,19.7,25,,,,2023,3,29
89,011104F031,포천시 영북면,2023-03-30,10.6,20.8,-1.3,43.1,199.4,1.5,6.9,0.0,,22.2,0,,,,2023,3,30
90,011104F031,포천시 영북면,2023-03-31,12.2,23.6,0.6,48.9,192.3,0.8,8.4,0.0,,20.5,0,,,,2023,3,31
