no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,011104F031,포천시 영북면,2023-01-01,-3.2,2.5,-10.0,59.8,191.9,1.0,6.4,0.0,,9.4,16,,,,2023
2,011104F031,포천시 영북면,2023-01-02,-9.5,-1.7,-16.0,62.3,185.6,0.4,4.7,0.0,,10.1,0,,,,2023
3,011104F031,포천시 영북면,2023-01-03,-10.9,-1.4,-18.5,65.0,188.3,0.4,4.2,0.0,,10.2,0,,,,2023
4,011104F031,포천시 영북면,2023-01-04,-9.7,1.3,-17.7,64.5,188.6,0.4,4.2,0.5,,9.8,0,,,,2023
5,011104F031,포천시 영북면,2023-01-05,-8.1,3.0,-16.1,66.2,193.5,0.3,3.3,0.0,,9.7,0,,,,2023
6,011104F031,포천시 영북면,2023-01-06,-4.1,3.4,-12.5,75.0,176.3,0.5,4.9,0.0,,6.4,0,,,,2023
7,011104F031,포천시 영북면,2023-01-07,-1.0,1.6,-7.8,92.7,188.6,0.5,4.1,1.0,,2.2,728,,,,2023
8,011104F031,포천시 영북면,2023-01-08,-4.6,2.8,-10.6,89.4,174.2,0.1,3.5,1.5,,8.5,122,,,,2023
9,011104F031,포천시 영북면,2023-01-09,-0.4,5.4,-7.7,77.7,185.4,0.5,4.8,4.0,,9.5,0,,,,2023
10,011104F031,포천시 영북면,2023-01-10,-5.0,6.9,-13.0,79.1,332.0,0.2,2.3,1.5,,10.0,31,,,,2023
11,011104F031,포천시 영북면,2023-01-11,-4.0,7.1,-11.6,75.1,214.1,0.3,4.0,0.5,,9.9,48,,,,2023
12,011104F031,포천시 영북면,2023-01-12,-1.9,9.6,-9.3,72.4,341.7,0.2,2.7,0.0,,9.7,8,,,,2023
13,011104F031,포천시 영북면,2023-01-13,2.4,5.3,-2.3,98.0,42.4,0.2,3.2,30.0,,1.4,945,,,,2023
14,011104F031,포천시 영북면,2023-01-14,3.1,5.1,0.4,96.5,25.5,0.5,3.6,2.0,,1.5,1178,,,,2023
15,011104F031,포천시 영북면,2023-01-15,-1.0,0.5,-4.1,96.6,211.8,0.7,4.1,1.0,,0.9,910,,,,2023
16,011104F031,포천시 영북면,2023-01-16,-6.4,-3.4,-12.1,79.0,205.1,1.1,4.5,0.0,,8.1,56,,,,2023
17,011104F031,포천시 영북면,2023-01-17,-8.3,-3.5,-12.9,83.0,185.0,0.4,3.4,0.0,,4.5,0,,,,2023
18,011104F031,포천시 영북면,2023-01-18,-6.1,0.1,-10.7,79.4,190.1,0.4,4.2,1.5,,10.9,68,,,,2023
19,011104F031,포천시 영북면,2023-01-19,-5.1,1.5,-13.1,79.3,186.3,0.9,7.6,0.5,,7.4,207,,,,2023
20,011104F031,포천시 영북면,2023-01-20,-5.4,1.5,-15.6,59.4,217.0,1.7,7.6,0.0,,11.7,233,,,,2023
21,011104F031,포천시 영북면,2023-01-21,-11.2,-0.9,-20.0,69.9,184.4,0.3,3.6,0.0,,11.0,82,,,,2023
22,011104F031,포천시 영북면,2023-01-22,-4.2,0.7,-10.2,83.0,300.6,0.1,2.4,1.0,,5.2,0,,,,2023
23,011104F031,포천시 영북면,2023-01-23,-1.8,3.2,-9.2,70.5,226.6,1.2,6.7,1.0,,9.5,75,,,,2023
24,011104F031,포천시 영북면,2023-01-24,-15.9,-9.2,-20.5,50.0,237.9,1.8,6.9,0.0,,11.6,0,,,,2023
25,011104F031,포천시 영북면,2023-01-25,-15.8,-8.5,-22.5,57.5,184.9,0.8,5.3,0.0,,12.0,0,,,,2023
26,011104F031,포천시 영북면,2023-01-26,-8.8,-4.3,-13.9,79.4,332.8,0.5,3.0,0.0,,4.4,0,,,,2023
27,011104F031,포천시 영북면,2023-01-27,-10.5,-4.8,-15.6,64.4,223.8,1.0,7.8,0.0,,10.8,135,,,,2023
28,011104F031,포천시 영북면,2023-01-28,-10.1,-2.4,-17.4,62.2,195.6,1.1,6.8,0.0,,11.2,0,,,,2023
29,011104F031,포천시 영북면,2023-01-29,-6.7,1.9,-16.2,73.0,186.8,1.0,8.4,0.0,,7.5,53,,,,2023
30,011104F031,포천시 영북면,2023-01-30,-4.9,2.9,-13.0,64.3,201.6,0.8,5.8,0.0,,12.0,83,,,,2023
31,011104F031,포천시 영북면,2023-01-31,-1.4,4.9,-10.2,73.8,188.4,1.2,6.1,0.0,,2.2,0,,,,2023
32,011104F031,포천시 영북면,2023-02-01,-0.8,4.4,-7.0,71.8,225.5,0.9,7.2,0.0,,11.0,171,,,,2023
33,011104F031,포천시 영북면,2023-02-02,-6.2,0.3,-11.6,67.5,190.3,0.4,3.7,0.0,,9.9,31,,,,2023
34,011104F031,포천시 영북면,2023-02-03,-4.1,2.5,-9.4,57.7,202.1,0.8,4.2,0.0,,12.4,0,,,,2023
35,011104F031,포천시 영북면,2023-02-04,-4.8,3.7,-12.2,65.4,195.8,0.7,5.4,0.0,,11.9,0,,,,2023
36,011104F031,포천시 영북면,2023-02-05,-3.3,5.4,-10.9,75.6,200.2,0.7,6.6,0.0,,11.0,28,,,,2023
37,011104F031,포천시 영북면,2023-02-06,-1.6,6.1,-7.2,82.7,332.5,0.2,3.0,0.0,,8.9,351,,,,2023
38,011104F031,포천시 영북면,2023-02-07,-0.9,7.8,-7.0,79.4,357.9,0.3,3.3,0.0,,10.0,388,,,,2023
39,011104F031,포천시 영북면,2023-02-08,-1.4,7.0,-7.0,69.9,206.0,0.5,5.0,0.0,,12.7,246,,,,2023
40,011104F031,포천시 영북면,2023-02-09,-0.5,7.6,-8.8,63.6,14.3,0.7,3.9,0.0,,11.2,50,,,,2023
41,011104F031,포천시 영북면,2023-02-10,1.0,5.7,-3.2,87.4,22.6,0.2,2.7,1.0,,5.3,697,,,,2023
42,011104F031,포천시 영북면,2023-02-11,-1.2,6.5,-6.6,84.2,248.6,0.3,4.0,0.0,,8.3,55,,,,2023
43,011104F031,포천시 영북면,2023-02-12,0.0,5.9,-6.3,80.7,32.1,0.5,3.6,0.0,,5.7,77,,,,2023
44,011104F031,포천시 영북면,2023-02-13,3.1,6.4,-1.5,75.5,3.5,1.2,7.4,0.0,,6.2,0,,,,2023
45,011104F031,포천시 영북면,2023-02-14,-1.4,4.2,-5.5,70.2,346.2,1.1,7.6,0.0,,14.3,10,,,,2023
46,011104F031,포천시 영북면,2023-02-15,-0.3,6.0,-4.2,57.6,16.8,0.8,4.0,0.0,,13.8,0,,,,2023
47,011104F031,포천시 영북면,2023-02-16,-1.1,3.7,-4.7,76.1,204.1,0.9,6.2,0.0,,6.2,0,,,,2023
48,011104F031,포천시 영북면,2023-02-17,-1.0,7.1,-7.2,74.8,206.1,0.4,4.0,0.0,,11.7,75,,,,2023
49,011104F031,포천시 영북면,2023-02-18,0.9,4.8,-3.6,76.8,30.8,0.1,2.6,0.0,,2.4,0,,,,2023
50,011104F031,포천시 영북면,2023-02-19,2.2,5.4,-2.9,55.9,205.0,1.6,7.8,0.0,,13.1,393,,,,2023
51,011104F031,포천시 영북면,2023-02-20,-2.6,1.9,-7.1,47.1,221.6,1.4,8.1,0.0,,16.1,0,,,,2023
52,011104F031,포천시 영북면,2023-02-21,-4.7,3.7,-11.7,57.5,306.1,0.4,5.0,0.0,,16.5,7,,,,2023
53,011104F031,포천시 영북면,2023-02-22,-2.7,6.2,-11.1,58.9,196.3,0.8,5.7,0.0,,15.2,19,,,,2023
54,011104F031,포천시 영북면,2023-02-23,1.2,8.3,-6.0,62.1,191.8,1.2,5.5,0.0,,14.2,5,,,,2023
55,011104F031,포천시 영북면,2023-02-24,1.5,7.5,-4.7,58.8,222.8,1.0,7.4,0.0,,15.5,62,,,,2023
56,011104F031,포천시 영북면,2023-02-25,-2.4,4.9,-8.7,56.5,233.8,0.6,6.0,0.0,,16.5,18,,,,2023
57,011104F031,포천시 영북면,2023-02-26,-1.3,8.1,-9.6,54.9,174.8,0.7,6.2,0.0,,17.0,11,,,,2023
58,011104F031,포천시 영북면,2023-02-27,0.9,11.4,-8.0,57.9,201.8,0.9,5.8,0.0,,17.2,33,,,,2023
59,011104F031,포천시 영북면,2023-02-28,1.2,7.4,-6.7,69.4,192.8,1.4,8.6,0.0,,11.2,37,,,,2023
60,011104F031,포천시 영북면,2023-03-01,3.7,8.9,-0.2,57.1,237.1,1.1,8.9,0.0,,10.2,0,,,,2023
61,011104F031,포천시 영북면,2023-03-02,1.0,5.9,-3.9,31.8,221.8,1.3,6.4,0.0,,17.2,0,,,,2023
62,011104F031,포천시 영북면,2023-03-03,0.8,8.9,-6.7,65.7,203.0,1.0,6.2,0.0,,12.7,0,,,,2023
63,011104F031,포천시 영북면,2023-03-04,4.3,14.1,-2.7,72.5,211.6,0.5,3.4,0.0,,14.1,304,,,,2023
64,011104F031,포천시 영북면,2023-03-05,4.2,14.5,-4.4,63.1,194.2,1.0,6.1,0.0,,15.4,105,,,,2023
65,011104F031,포천시 영북면,2023-03-06,4.1,15.4,-5.4,50.7,203.0,0.9,7.2,0.0,,16.1,92,,,,2023
66,011104F031,포천시 영북면,2023-03-07,7.0,17.3,-2.2,67.1,183.8,1.1,6.2,0.0,,13.4,47,,,,2023
67,011104F031,포천시 영북면,2023-03-08,7.6,14.3,1.0,81.9,174.6,1.2,8.1,0.5,,5.7,668,,,,2023
68,011104F031,포천시 영북면,2023-03-09,8.0,12.1,1.4,91.6,208.9,0.9,5.6,2.0,,4.8,614,,,,2023
69,011104F031,포천시 영북면,2023-03-10,8.7,20.5,0.9,72.8,169.2,1.0,6.5,0.0,,14.6,535,,,,2023
70,011104F031,포천시 영북면,2023-03-11,11.2,21.7,1.7,56.6,196.3,1.2,8.7,0.0,,14.5,0,,,,2023
71,011104F031,포천시 영북면,2023-03-12,4.0,8.1,-1.4,72.1,234.8,1.3,7.9,10.5,,2.7,419,,,,2023
72,011104F031,포천시 영북면,2023-03-13,0.8,6.3,-3.9,37.8,204.9,1.7,6.7,0.0,,18.7,0,,,,2023
73,011104F031,포천시 영북면,2023-03-14,5.9,14.5,-1.2,49.7,195.9,1.5,9.0,0.0,,18.4,0,,,,2023
74,011104F031,포천시 영북면,2023-03-15,5.9,12.1,-1.7,72.5,194.6,1.8,7.1,0.0,,2.1,0,,,,2023
75,011104F031,포천시 영북면,2023-03-16,1.9,8.9,-4.7,45.4,211.1,0.9,7.5,0.0,,17.1,0,,,,2023
76,011104F031,포천시 영북면,2023-03-17,3.5,12.8,-5.2,45.1,13.0,0.5,3.4,0.0,,15.3,0,,,,2023
77,011104F031,포천시 영북면,2023-03-18,5.1,14.2,-3.9,49.7,231.6,0.7,7.4,0.0,,18.7,0,,,,2023
78,011104F031,포천시 영북면,2023-03-19,5.4,15.1,-4.3,56.7,194.6,1.1,6.0,0.0,,19.7,12,,,,2023
79,011104F031,포천시 영북면,2023-03-20,6.3,16.1,-3.4,55.0,204.5,0.9,5.5,0.0,,18.3,32,,,,2023
80,011104F031,포천시 영북면,2023-03-21,8.9,22.0,-2.2,47.9,246.4,0.5,4.6,0.0,,19.7,0,,,,2023
81,011104F031,포천시 영북면,2023-03-22,12.4,24.0,0.4,54.0,279.5,0.9,5.1,0.0,,14.2,0,,,,2023
82,011104F031,포천시 영북면,2023-03-23,15.3,23.5,7.6,62.3,10.2,1.5,8.2,0.0,,15.0,0,,,,2023
83,011104F031,포천시 영북면,2023-03-24,9.2,18.0,2.0,62.6,352.2,1.4,7.1,0.0,,16.8,0,,,,2023
84,011104F031,포천시 영북면,2023-03-25,9.9,17.4,2.5,64.8,214.5,1.0,5.1,0.0,,15.4,0,,,,2023
85,011104F031,포천시 영북면,2023-03-26,8.0,13.9,0.3,37.2,233.0,1.3,9.7,0.0,,21.8,0,,,,2023
86,011104F031,포천시 영북면,2023-03-27,4.4,13.4,-4.7,45.0,195.4,1.2,7.4,0.0,,21.1,0,,,,2023
87,011104F031,포천시 영북면,2023-03-28,5.8,14.8,-3.6,54.2,215.7,0.9,6.4,0.0,,17.2,0,,,,2023
