no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,791945A001,포항시 북구,2015-03-01,3.9,8.5,1.0,69.4,114.4,1.8,12.5,1.5,,15.5,527,4.5,5.2,23.9,2015,3,1
61,791945A001,포항시 북구,2015-03-02,4.5,13.2,-0.1,48.8,117.8,2.0,11.5,0.0,,18.2,0,6.1,5.1,24.1,2015,3,2
62,791945A001,포항시 북구,2015-03-03,3.7,6.9,-0.1,76.6,78.2,1.4,8.1,0.5,,5.4,379,3.5,4.9,24.1,2015,3,3
63,791945A001,포항시 북구,2015-03-04,2.2,7.0,-2.3,37.2,113.9,2.8,14.9,0.0,,19.1,7,3.7,4.7,23.9,2015,3,4
64,791945A001,포항시 북구,2015-03-05,1.2,6.5,-5.4,53.1,185.6,1.7,9.1,0.0,,17.2,0,3.3,4.5,23.8,2015,3,5
65,791945A001,포항시 북구,2015-03-06,3.0,9.4,-1.0,73.1,179.7,1.4,6.2,0.0,,15.2,26,4.3,5.4,23.7,2015,3,6
66,791945A001,포항시 북구,2015-03-07,4.3,12.1,-1.5,74.6,166.5,1.7,6.1,0.0,,16.2,0,6.2,5.9,23.6,2015,3,7
67,791945A001,포항시 북구,2015-03-08,4.6,11.9,-1.9,77.2,167.9,1.5,6.5,0.0,,15.9,501,6.4,6.4,23.4,2015,3,8
68,791945A001,포항시 북구,2015-03-09,7.3,16.4,-2.7,47.0,116.0,2.3,14.9,0.0,,16.6,0,7.7,7.3,23.3,2015,3,9
69,791945A001,포항시 북구,2015-03-10,-1.2,4.5,-5.8,29.9,124.7,3.0,15.9,0.0,,20.1,0,0.3,5.2,23.0,2015,3,10
70,791945A001,포항시 북구,2015-03-11,3.5,10.4,-3.6,37.8,94.3,2.8,16.9,0.0,,17.7,0,4.3,4.9,23.0,2015,3,11
71,791945A001,포항시 북구,2015-03-12,4.2,11.5,-4.7,30.3,99.0,1.9,11.1,0.0,,20.0,0,5.1,5.5,22.9,2015,3,12
72,791945A001,포항시 북구,2015-03-13,6.2,13.0,-1.5,48.6,80.8,1.8,10.8,0.0,,16.0,0,6.3,5.9,22.7,2015,3,13
73,791945A001,포항시 북구,2015-03-14,5.4,11.6,-1.9,50.7,176.2,1.5,6.3,0.0,,19.2,0,6.9,6.8,22.6,2015,3,14
74,791945A001,포항시 북구,2015-03-15,8.7,19.5,-2.7,48.9,76.9,1.5,8.9,0.0,,18.2,0,9.4,7.7,22.4,2015,3,15
75,791945A001,포항시 북구,2015-03-16,9.9,18.4,3.3,49.7,151.6,1.3,5.5,0.0,,17.8,0,10.9,8.5,22.3,2015,3,16
76,791945A001,포항시 북구,2015-03-17,14.7,25.7,5.9,43.1,86.2,1.3,9.5,0.0,,15.8,0,14.9,9.7,22.2,2015,3,17
77,791945A001,포항시 북구,2015-03-18,9.0,11.6,7.6,85.4,210.7,3.2,13.8,36.0,,1.1,1048,8.4,9.1,25.1,2015,3,18
78,791945A001,포항시 북구,2015-03-19,9.5,13.2,5.8,84.1,227.2,1.8,9.2,0.0,,15.7,572,10.1,9.7,27.1,2015,3,19
79,791945A001,포항시 북구,2015-03-20,10.1,14.6,5.4,86.9,232.4,1.4,7.5,0.0,,16.0,818,10.8,10.3,26.0,2015,3,20
80,791945A001,포항시 북구,2015-03-21,13.9,22.6,6.4,51.8,115.0,1.2,8.5,0.0,,19.8,192,14.6,11.4,25.4,2015,3,21
81,791945A001,포항시 북구,2015-03-22,13.3,19.7,6.9,26.3,113.2,2.5,12.3,0.0,,20.5,0,13.7,10.6,24.7,2015,3,22
82,791945A001,포항시 북구,2015-03-23,7.5,13.1,2.7,31.6,123.6,2.5,12.3,0.0,,22.2,0,8.7,9.2,24.3,2015,3,23
83,791945A001,포항시 북구,2015-03-24,5.0,10.8,-0.2,58.4,201.9,1.6,5.7,0.0,,21.8,0,7.0,9.3,23.9,2015,3,24
84,791945A001,포항시 북구,2015-03-25,6.6,16.2,-0.9,64.8,160.8,1.5,8.3,0.0,,21.1,0,8.1,9.3,23.7,2015,3,25
85,791945A001,포항시 북구,2015-03-26,9.9,19.3,1.1,49.7,135.6,1.4,7.7,0.0,,21.9,31,10.8,10.1,23.5,2015,3,26
86,791945A001,포항시 북구,2015-03-27,14.0,21.8,4.6,30.6,88.1,2.0,9.1,0.0,,18.9,0,14.3,11.0,23.3,2015,3,27
87,791945A001,포항시 북구,2015-03-28,15.7,23.9,5.4,30.3,74.3,2.0,9.8,0.0,,22.0,0,16.3,12.2,23.0,2015,3,28
88,791945A001,포항시 북구,2015-03-29,13.4,21.3,7.1,55.0,139.8,2.0,10.0,0.0,,19.5,0,14.2,13.0,22.7,2015,3,29
89,791945A001,포항시 북구,2015-03-30,15.2,25.2,5.2,62.4,90.2,1.8,8.8,0.0,,20.9,44,16.0,13.3,22.4,2015,3,30
90,791945A001,포항시 북구,2015-03-31,16.0,20.1,12.0,74.3,92.1,1.5,6.7,0.5,,8.1,193,16.2,13.9,22.1,2015,3,31
