no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,791945A001,포항시 북구,2014-01-01,6.7,10.8,0.5,38.1,82.2,2.3,11.4,0.0,,10.4,0,6.0,3.1,,2014
2,791945A001,포항시 북구,2014-01-02,4.2,11.1,-2.3,44.0,76.7,1.4,6.8,0.0,,10.5,0,3.4,3.3,,2014
3,791945A001,포항시 북구,2014-01-03,3.2,13.0,-4.0,45.0,95.8,1.2,6.2,0.0,,7.5,0,2.5,2.7,,2014
4,791945A001,포항시 북구,2014-01-04,3.6,10.4,-1.1,71.6,188.4,2.0,9.5,2.0,,8.4,466,3.8,3.4,,2014
5,791945A001,포항시 북구,2014-01-05,4.1,9.7,-0.3,70.6,125.8,1.0,7.9,1.0,,6.6,600,4.0,4.4,,2014
6,791945A001,포항시 북구,2014-01-06,2.2,9.0,-3.7,60.8,126.3,1.4,7.6,0.0,,10.5,0,2.0,2.9,,2014
7,791945A001,포항시 북구,2014-01-07,3.3,10.5,-5.0,55.7,91.9,1.3,7.3,0.0,,8.7,0,2.8,2.5,,2014
8,791945A001,포항시 북구,2014-01-08,4.0,6.5,-0.2,65.6,108.9,1.5,12.7,0.0,,1.9,178,3.2,3.1,,2014
9,791945A001,포항시 북구,2014-01-09,-1.9,2.0,-5.8,27.7,104.7,3.9,13.5,0.0,,12.3,0,-2.0,1.9,,2014
10,791945A001,포항시 북구,2014-01-10,-1.5,3.6,-6.0,37.9,104.3,2.8,12.9,0.0,,11.5,0,-1.6,0.5,,2014
11,791945A001,포항시 북구,2014-01-11,1.2,5.9,-1.6,44.9,99.8,2.3,10.5,0.0,,10.8,0,0.9,0.6,,2014
12,791945A001,포항시 북구,2014-01-12,2.2,7.1,-3.4,47.2,101.2,1.8,9.9,0.0,,8.1,0,1.7,1.2,,2014
13,791945A001,포항시 북구,2014-01-13,-1.4,5.3,-8.2,32.0,117.9,1.6,7.2,0.0,,12.3,0,-1.7,0.9,,2014
14,791945A001,포항시 북구,2014-01-14,-0.8,7.1,-8.6,30.0,120.0,1.0,6.4,0.0,,12.5,0,-1.4,0.3,,2014
