no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
128,667831A001,하동군 적량면,2018-05-08,16.0,18.4,12.8,48.5,50.7,3.6,9.8,0.0,,,0.0,,,,2018,5,8
129,667831A001,하동군 적량면,2018-05-09,13.7,19.3,7.0,58.1,128.2,1.8,7.2,0.0,,,0.0,,,,2018,5,9
130,667831A001,하동군 적량면,2018-05-10,16.0,22.2,10.5,63.0,154.4,1.3,11.3,0.0,,,0.0,,,,2018,5,10
131,667831A001,하동군 적량면,2018-05-11,15.3,22.3,8.0,63.0,149.0,1.3,9.0,0.0,,,0.0,,,,2018,5,11
132,667831A001,하동군 적량면,2018-05-12,16.4,20.6,12.7,82.0,162.5,0.6,8.1,19.0,,,0.0,,,,2018,5,12
133,667831A001,하동군 적량면,2018-05-13,19.5,26.1,12.7,71.8,273.1,1.5,9.0,7.5,,,0.0,,,,2018,5,13
134,667831A001,하동군 적량면,2018-05-14,18.2,26.0,9.5,68.4,144.6,1.1,7.9,0.0,,,0.0,,,,2018,5,14
135,667831A001,하동군 적량면,2018-05-15,19.8,27.4,13.0,76.4,164.1,1.0,5.9,0.5,,,0.0,,,,2018,5,15
136,667831A001,하동군 적량면,2018-05-16,20.5,21.3,19.9,99.8,152.0,0.4,4.1,4.5,,,0.0,,,,2018,5,16
137,667831A001,하동군 적량면,2018-05-17,20.9,22.6,20.1,99.4,157.0,0.6,5.9,4.0,,,0.0,,,,2018,5,17
138,667831A001,하동군 적량면,2018-05-18,21.4,26.8,15.4,88.7,181.6,0.7,5.6,2.0,,,0.0,,,,2018,5,18
139,667831A001,하동군 적량면,2018-05-19,16.1,18.9,13.9,61.5,41.0,2.5,11.0,0.0,,,0.0,,,,2018,5,19
140,667831A001,하동군 적량면,2018-05-20,17.1,21.9,13.6,31.8,40.5,3.1,10.3,0.0,,,0.0,,,,2018,5,20
141,667831A001,하동군 적량면,2018-05-21,16.9,22.2,13.2,58.6,16.4,1.9,7.2,0.0,,,0.0,,,,2018,5,21
142,667831A001,하동군 적량면,2018-05-22,17.7,24.3,10.7,72.0,154.1,1.0,7.1,9.0,,,0.0,,,,2018,5,22
143,667831A001,하동군 적량면,2018-05-23,19.4,26.7,12.4,65.7,289.4,1.2,7.2,23.5,,,0.0,,,,2018,5,23
144,667831A001,하동군 적량면,2018-05-24,18.2,27.8,8.8,56.5,283.3,1.3,9.3,0.0,,,0.0,,,,2018,5,24
145,667831A001,하동군 적량면,2018-05-25,18.2,27.6,9.5,56.0,143.5,0.9,6.0,0.0,,,0.0,,,,2018,5,25
146,667831A001,하동군 적량면,2018-05-26,19.1,27.1,10.3,60.1,155.8,0.9,7.9,0.0,,,0.0,,,,2018,5,26
147,667831A001,하동군 적량면,2018-05-27,19.4,25.5,12.9,70.2,144.4,0.9,5.9,0.0,,,0.0,,,,2018,5,27
148,667831A001,하동군 적량면,2018-05-28,19.0,21.7,17.6,91.6,139.3,0.5,5.5,5.5,,,0.0,,,,2018,5,28
149,667831A001,하동군 적량면,2018-05-29,21.1,26.5,17.5,80.7,144.9,0.9,6.6,1.0,,,0.0,,,,2018,5,29
150,667831A001,하동군 적량면,2018-05-30,21.5,26.0,17.8,80.4,155.3,0.9,6.8,1.5,,,0.0,,,,2018,5,30
151,667831A001,하동군 적량면,2018-05-31,19.4,25.4,14.2,63.3,143.2,0.8,6.6,0.0,,,0.0,,,,2018,5,31
