no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,052304A001,하동군 화개면,2022-01-01,-1.5,7.7,-7.4,43.7,290.1,1.7,6.4,0.0,458,11.9,0,-1.1,0.5,,2022,1,1
2,052304A001,하동군 화개면,2022-01-02,0.3,8.4,-7.4,59.9,292.3,2.5,9.8,0.0,301,8.0,42,0.2,0.3,,2022,1,2
3,052304A001,하동군 화개면,2022-01-03,1.0,8.3,-5.4,54.0,289.5,2.5,9.2,0.0,459,11.9,474,1.2,0.5,,2022,1,3
4,052304A001,하동군 화개면,2022-01-04,3.9,8.7,-2.1,44.3,289.7,2.6,8.3,0.0,448,11.0,0,3.9,1.4,,2022,1,4
5,052304A001,하동군 화개면,2022-01-05,2.7,7.4,-1.6,54.2,32.6,1.2,5.6,0.0,11,3.9,154,2.6,2.1,,2022,1,5
6,052304A001,하동군 화개면,2022-01-06,3.9,8.5,-4.3,36.3,290.9,2.7,8.6,0.0,461,11.9,0,3.9,2.9,,2022,1,6
7,052304A001,하동군 화개면,2022-01-07,-0.7,9.9,-8.1,53.3,285.4,1.7,6.1,0.0,462,12.1,318,-0.7,1.2,,2022,1,7
8,052304A001,하동군 화개면,2022-01-08,0.9,9.4,-7.4,48.7,296.7,2.3,8.2,0.0,464,12.1,20,0.8,0.7,,2022,1,8
9,052304A001,하동군 화개면,2022-01-09,1.4,9.8,-5.1,69.6,285.3,1.1,6.0,0.0,413,9.6,702,1.2,1.6,,2022,1,9
10,052304A001,하동군 화개면,2022-01-10,2.7,11.3,-5.1,64.5,288.6,1.8,6.9,0.0,423,10.1,687,2.5,1.8,,2022,1,10
11,052304A001,하동군 화개면,2022-01-11,0.4,4.5,-3.6,44.4,286.1,6.3,14.9,0.0,454,12.3,0,0.8,2.1,,2022,1,11
12,052304A001,하동군 화개면,2022-01-12,-2.0,2.9,-9.7,44.1,281.8,2.9,9.6,0.0,469,12.7,4,-1.5,0.4,,2022,1,12
13,052304A001,하동군 화개면,2022-01-13,-1.4,1.3,-5.7,41.3,286.0,5.0,15.3,0.0,348,10.7,0,-1.1,0.3,,2022,1,13
14,052304A001,하동군 화개면,2022-01-14,-1.3,5.6,-5.5,41.4,294.6,2.4,9.8,0.0,473,13.0,0,-1.0,0.1,,2022,1,14
15,052304A001,하동군 화개면,2022-01-15,1.2,9.8,-5.0,48.0,285.7,2.4,10.2,0.0,389,9.6,34,1.1,0.3,,2022,1,15
16,052304A001,하동군 화개면,2022-01-16,2.7,6.0,-1.4,53.8,287.2,4.6,23.8,0.0,301,10.1,200,2.7,1.6,,2022,1,16
17,052304A001,하동군 화개면,2022-01-17,1.3,4.6,-2.1,48.2,292.1,4.8,15.5,0.0,387,11.7,0,1.7,1.3,,2022,1,17
18,052304A001,하동군 화개면,2022-01-18,-1.8,5.3,-7.3,38.8,297.9,2.0,11.5,0.0,480,13.4,0,-1.4,1.0,,2022,1,18
19,052304A001,하동군 화개면,2022-01-19,-0.5,7.7,-9.1,49.8,285.8,3.2,14.8,0.0,481,12.2,67,-0.1,0.2,,2022,1,19
20,052304A001,하동군 화개면,2022-01-20,-1.4,6.3,-6.3,52.7,290.1,2.5,12.7,0.0,483,13.1,112,-1.0,0.7,,2022,1,20
21,052304A001,하동군 화개면,2022-01-21,-1.3,8.9,-8.5,63.6,262.5,1.0,3.6,0.0,487,12.4,801,-0.9,0.4,,2022,1,21
22,052304A001,하동군 화개면,2022-01-22,3.7,11.2,-4.5,61.8,120.2,1.0,4.7,0.0,130,6.6,729,3.4,2.0,,2022,1,22
23,052304A001,하동군 화개면,2022-01-23,6.0,13.5,0.8,66.0,296.9,1.0,3.8,0.0,201,7.5,734,5.7,4.2,,2022,1,23
24,052304A001,하동군 화개면,2022-01-24,4.2,8.8,-2.6,65.9,116.1,2.1,8.3,0.0,47,6.5,611,4.1,3.7,,2022,1,24
25,052304A001,하동군 화개면,2022-01-25,5.8,8.1,2.8,62.8,290.0,2.1,8.3,0.0,1,3.3,17,5.7,4.7,,2022,1,25
26,052304A001,하동군 화개면,2022-01-26,4.3,9.3,-0.8,55.0,299.5,2.0,20.6,0.0,495,12.6,0,4.5,4.3,,2022,1,26
27,052304A001,하동군 화개면,2022-01-27,4.0,10.2,-1.6,49.9,291.0,2.7,8.0,0.0,491,12.1,44,4.3,4.1,,2022,1,27
28,052304A001,하동군 화개면,2022-01-28,2.4,8.0,-0.9,43.3,298.4,3.2,8.6,0.0,459,13.3,0,3.0,3.5,,2022,1,28
29,052304A001,하동군 화개면,2022-01-29,1.8,7.4,-0.6,38.3,300.7,2.9,7.9,0.0,424,12.4,0,2.4,3.3,,2022,1,29
30,052304A001,하동군 화개면,2022-01-30,1.9,8.3,-1.7,33.0,290.8,3.0,9.5,0.0,508,13.5,0,2.5,3.0,,2022,1,30
31,052304A001,하동군 화개면,2022-01-31,1.8,8.5,-3.6,37.2,295.3,2.6,8.7,0.0,511,15.0,0,2.1,2.4,,2022,1,31
