no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,525811A001,함평군 학교면,2013-10-01,21.1,28.3,16.5,68.3,,,,9.0,328,12.7,761.0,,23.1,,2013,10,1
275,525811A001,함평군 학교면,2013-10-02,19.5,24.8,15.4,71.0,,,,4.0,292,11.0,580.0,,23.2,,2013,10,2
276,525811A001,함평군 학교면,2013-10-03,15.5,24.2,8.2,59.3,,,,0.0,637,19.9,210.0,,22.3,,2013,10,3
277,525811A001,함평군 학교면,2013-10-04,15.4,26.2,7.0,50.7,,,,0.0,638,19.9,376.0,,21.2,,2013,10,4
278,525811A001,함평군 학교면,2013-10-05,18.0,26.2,9.6,57.0,,,,0.0,520,15.3,434.0,,20.9,,2013,10,5
279,525811A001,함평군 학교면,2013-10-06,21.7,26.1,17.6,73.4,,,,0.0,51,6.8,84.0,,21.2,,2013,10,6
280,525811A001,함평군 학교면,2013-10-07,23.4,29.1,17.9,72.8,,,,0.0,262,10.1,0.0,,21.8,,2013,10,7
281,525811A001,함평군 학교면,2013-10-08,21.5,24.4,19.6,84.6,,,,8.0,0,5.6,571.0,,22.4,,2013,10,8
282,525811A001,함평군 학교면,2013-10-09,21.0,25.5,18.6,73.0,,,,0.0,226,10.7,0.0,,22.3,,2013,10,9
283,525811A001,함평군 학교면,2013-10-10,20.3,22.6,18.2,90.1,,,,7.5,0,3.2,772.0,,22.3,,2013,10,10
284,525811A001,함평군 학교면,2013-10-11,17.8,22.7,10.1,64.7,,,,0.0,390,14.0,642.0,,22.1,,2013,10,11
285,525811A001,함평군 학교면,2013-10-12,14.1,23.8,7.8,53.7,,,,0.0,623,17.8,461.0,,21.1,,2013,10,12
286,525811A001,함평군 학교면,2013-10-13,14.4,26.3,6.5,57.4,,,,0.0,620,17.4,277.0,,20.2,,2013,10,13
287,525811A001,함평군 학교면,2013-10-14,17.3,24.9,10.3,67.1,,,,0.0,613,16.4,281.0,,19.9,,2013,10,14
288,525811A001,함평군 학교면,2013-10-15,15.5,19.0,11.7,72.3,,,,0.0,332,10.9,319.0,,20.0,,2013,10,15
289,525811A001,함평군 학교면,2013-10-16,11.5,17.5,5.8,61.8,,,,0.0,615,18.0,9.0,,19.5,,2013,10,16
290,525811A001,함평군 학교면,2013-10-17,11.0,19.6,4.9,66.4,,,,0.0,369,13.4,456.0,,18.6,,2013,10,17
291,525811A001,함평군 학교면,2013-10-18,13.9,22.3,7.8,66.4,,,,0.0,550,16.2,0.0,,18.4,,2013,10,18
292,525811A001,함평군 학교면,2013-10-19,14.6,22.7,8.5,68.6,,,,0.0,411,13.0,0.0,,18.3,,2013,10,19
293,525811A001,함평군 학교면,2013-10-20,14.1,21.1,8.5,64.6,,,,0.0,598,15.7,435.0,,18.4,,2013,10,20
294,525811A001,함평군 학교면,2013-10-21,13.2,21.9,6.1,63.6,,,,0.0,585,14.6,681.0,,18.1,,2013,10,21
295,525811A001,함평군 학교면,2013-10-22,14.6,23.3,7.6,56.2,,,,0.0,561,15.2,615.0,,18.0,,2013,10,22
296,525811A001,함평군 학교면,2013-10-23,15.5,24.0,9.3,58.3,,,,0.0,595,14.8,471.0,,18.1,,2013,10,23
297,525811A001,함평군 학교면,2013-10-24,13.7,20.8,7.0,62.3,,,,0.0,506,12.9,470.0,,17.9,,2013,10,24
298,525811A001,함평군 학교면,2013-10-25,11.5,15.6,6.1,56.8,,,,0.0,581,15.8,0.0,,17.5,,2013,10,25
299,525811A001,함평군 학교면,2013-10-26,11.1,15.6,3.7,61.6,,,,0.0,495,13.5,191.0,,17.1,,2013,10,26
300,525811A001,함평군 학교면,2013-10-27,9.2,18.1,2.1,59.9,,,,0.0,585,14.2,694.0,,16.6,,2013,10,27
301,525811A001,함평군 학교면,2013-10-28,8.9,18.1,2.8,59.6,,,,0.0,459,11.1,846.0,,16.1,,2013,10,28
302,525811A001,함평군 학교면,2013-10-29,10.6,20.4,3.2,60.7,,,,0.0,569,12.8,723.0,,15.7,,2013,10,29
303,525811A001,함평군 학교면,2013-10-30,11.5,17.4,5.7,62.8,,,,0.0,564,13.8,489.0,,15.8,,2013,10,30
304,525811A001,함평군 학교면,2013-10-31,12.0,20.5,5.5,68.0,,,,0.0,424,11.4,364.0,,15.8,,2013,10,31
