no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,536806A001,해남군 삼산면,2014-10-01,19.4,24.0,14.9,83.4,113.7,1.5,6.2,0.0,629,19.8,505.0,,21.4,,2014,10,1
275,536806A001,해남군 삼산면,2014-10-02,19.4,25.6,13.8,82.1,169.4,1.1,5.5,0.0,450,14.8,338.0,,20.6,,2014,10,2
276,536806A001,해남군 삼산면,2014-10-03,17.4,20.5,11.0,71.5,48.4,2.3,11.3,0.0,367,13.6,38.0,,19.6,,2014,10,3
277,536806A001,해남군 삼산면,2014-10-04,16.1,23.5,8.6,77.1,97.4,1.7,8.3,0.0,604,20.2,476.0,,18.2,,2014,10,4
278,536806A001,해남군 삼산면,2014-10-05,17.0,22.5,9.9,66.4,43.0,2.0,10.6,0.0,638,19.7,49.0,,18.3,,2014,10,5
279,536806A001,해남군 삼산면,2014-10-06,15.6,21.5,9.3,72.0,42.5,1.8,9.9,0.0,627,19.6,211.0,,17.9,,2014,10,6
280,536806A001,해남군 삼산면,2014-10-07,15.1,23.6,7.8,75.4,137.0,0.9,5.1,0.0,641,19.4,673.0,,17.7,,2014,10,7
281,536806A001,해남군 삼산면,2014-10-08,15.3,23.9,8.1,81.2,108.6,0.9,5.4,0.0,553,18.0,703.0,,17.8,,2014,10,8
282,536806A001,해남군 삼산면,2014-10-09,16.9,24.4,10.4,76.3,75.3,1.4,5.8,0.0,595,18.7,639.0,,18.3,,2014,10,9
283,536806A001,해남군 삼산면,2014-10-10,17.9,25.5,8.7,76.2,94.9,1.9,7.3,0.0,628,19.4,490.0,,18.4,,2014,10,10
284,536806A001,해남군 삼산면,2014-10-11,19.9,25.5,13.8,59.7,86.5,3.9,11.1,0.0,638,19.3,0.0,,18.8,,2014,10,11
285,536806A001,해남군 삼산면,2014-10-12,17.3,21.4,13.1,77.7,74.6,1.2,6.4,1.5,0,3.3,620.0,,17.7,,2014,10,12
286,536806A001,해남군 삼산면,2014-10-13,17.5,22.1,11.6,82.5,41.0,1.9,9.2,2.5,125,6.0,518.0,,17.9,,2014,10,13
287,536806A001,해남군 삼산면,2014-10-14,14.6,21.3,7.9,74.9,55.6,1.2,9.0,0.0,601,17.3,420.0,,17.4,,2014,10,14
288,536806A001,해남군 삼산면,2014-10-15,12.1,20.2,4.9,76.3,78.2,1.1,5.7,0.0,641,18.8,570.0,,15.8,,2014,10,15
289,536806A001,해남군 삼산면,2014-10-16,12.7,21.1,6.2,73.3,70.4,1.8,11.6,0.0,502,15.4,344.0,,15.2,,2014,10,16
290,536806A001,해남군 삼산면,2014-10-17,12.2,22.2,3.8,70.0,120.1,0.9,5.0,0.0,624,18.8,434.0,,15.0,,2014,10,17
291,536806A001,해남군 삼산면,2014-10-18,12.5,23.2,3.5,70.0,113.1,1.1,4.5,0.0,633,18.4,484.0,,14.9,,2014,10,18
292,536806A001,해남군 삼산면,2014-10-19,15.5,22.9,5.4,75.9,108.6,2.6,8.2,0.0,527,17.7,51.0,,15.3,,2014,10,19
293,536806A001,해남군 삼산면,2014-10-20,21.2,22.7,19.0,84.8,220.4,2.0,9.8,0.5,0,3.3,107.0,,18.1,,2014,10,20
294,536806A001,해남군 삼산면,2014-10-21,21.3,25.4,17.3,87.8,168.9,1.5,9.6,9.0,126,7.9,444.0,,19.7,,2014,10,21
295,536806A001,해남군 삼산면,2014-10-22,15.9,19.2,12.9,86.3,52.3,1.8,7.1,23.5,171,7.0,639.0,,18.1,,2014,10,22
296,536806A001,해남군 삼산면,2014-10-23,14.5,20.3,10.7,78.3,88.1,1.2,4.1,0.0,493,17.1,0.0,,17.0,,2014,10,23
297,536806A001,해남군 삼산면,2014-10-24,14.3,21.4,8.5,85.3,103.2,1.1,3.9,0.0,594,16.6,256.0,,16.6,,2014,10,24
298,536806A001,해남군 삼산면,2014-10-25,14.5,22.9,7.9,86.8,112.1,1.2,3.9,0.0,571,16.5,570.0,,16.4,,2014,10,25
299,536806A001,해남군 삼산면,2014-10-26,15.6,22.3,9.0,85.4,151.4,1.0,5.7,0.0,480,14.5,537.0,,16.5,,2014,10,26
300,536806A001,해남군 삼산면,2014-10-27,13.5,17.6,5.5,63.9,27.0,2.4,10.9,0.0,603,17.5,129.0,,15.8,,2014,10,27
301,536806A001,해남군 삼산면,2014-10-28,10.1,19.6,2.1,75.5,119.6,0.9,3.6,0.0,587,16.8,515.0,,13.9,,2014,10,28
302,536806A001,해남군 삼산면,2014-10-29,12.6,19.4,6.2,81.8,108.0,1.0,3.9,0.0,125,9.0,146.0,,13.9,,2014,10,29
303,536806A001,해남군 삼산면,2014-10-30,14.8,20.0,7.7,83.5,100.1,2.2,7.6,0.0,129,9.0,470.0,,14.7,,2014,10,30
304,536806A001,해남군 삼산면,2014-10-31,15.1,16.9,13.7,90.9,92.8,3.5,11.0,22.0,0,1.6,1363.0,,15.2,,2014,10,31
