no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,536824B002,해남군 옥천면,2023-11-01,16.3,23.4,8.7,83.0,180.8,0.5,4.5,0.0,438.0,12.6,,,17.3,,2023,11,1
306,536824B002,해남군 옥천면,2023-11-02,18.4,25.4,10.8,73.6,159.6,0.5,8.9,0.0,551.0,14.6,,,18.3,,2023,11,2
307,536824B002,해남군 옥천면,2023-11-03,16.4,25.7,9.8,83.4,180.8,0.2,3.4,0.0,380.0,11.3,,,18.1,,2023,11,3
308,536824B002,해남군 옥천면,2023-11-04,18.4,24.2,13.2,85.7,123.1,0.5,11.7,2.0,148.0,8.3,,,18.6,,2023,11,4
309,536824B002,해남군 옥천면,2023-11-05,19.5,20.9,18.0,88.6,133.3,1.5,7.0,15.0,1.0,2.1,,,19.1,,2023,11,5
310,536824B002,해남군 옥천면,2023-11-06,16.5,21.5,11.9,69.9,274.0,2.0,8.2,24.5,117.0,6.3,,,18.8,,2023,11,6
311,536824B002,해남군 옥천면,2023-11-07,10.5,13.9,3.2,63.6,287.4,1.4,6.9,0.0,246.0,8.7,,,15.9,,2023,11,7
312,536824B002,해남군 옥천면,2023-11-08,8.1,16.7,0.1,78.4,118.1,0.4,4.4,0.0,518.0,14.8,,,14.4,,2023,11,8
313,536824B002,해남군 옥천면,2023-11-09,13.5,19.8,5.9,83.7,121.0,0.6,6.1,14.0,259.0,9.5,,,15.2,,2023,11,9
314,536824B002,해남군 옥천면,2023-11-10,8.7,14.4,3.8,60.3,298.3,2.2,8.2,2.0,186.0,9.2,,,14.9,,2023,11,10
315,536824B002,해남군 옥천면,2023-11-11,5.1,9.0,0.1,57.1,304.5,1.3,6.0,0.0,450.0,13.0,,,12.3,,2023,11,11
316,536824B002,해남군 옥천면,2023-11-12,5.7,8.9,3.0,59.6,298.8,1.5,7.8,0.0,353.0,11.6,,,11.8,,2023,11,12
317,536824B002,해남군 옥천면,2023-11-13,5.1,9.1,1.2,64.2,299.6,1.4,7.1,0.0,466.0,12.7,,,11.0,,2023,11,13
318,536824B002,해남군 옥천면,2023-11-14,6.9,11.3,2.6,70.1,292.0,0.5,4.3,0.0,204.0,7.3,,,10.9,,2023,11,14
319,536824B002,해남군 옥천면,2023-11-15,5.5,13.7,-1.7,79.3,296.3,0.4,5.5,0.0,522.0,13.0,,,11.0,,2023,11,15
320,536824B002,해남군 옥천면,2023-11-16,5.6,8.9,1.7,92.1,289.2,0.3,6.2,18.0,0.0,1.7,,,10.4,,2023,11,16
321,536824B002,해남군 옥천면,2023-11-17,5.1,7.8,1.6,82.2,283.5,1.3,8.7,21.0,170.0,5.6,,,10.2,,2023,11,17
322,536824B002,해남군 옥천면,2023-11-18,4.6,7.3,0.5,66.4,283.4,1.9,8.6,4.0,98.0,6.5,,,8.6,,2023,11,18
323,536824B002,해남군 옥천면,2023-11-19,9.4,14.5,1.1,70.7,280.7,0.9,7.3,0.0,344.0,11.3,,,10.0,,2023,11,19
324,536824B002,해남군 옥천면,2023-11-20,6.8,13.4,-0.4,72.8,293.7,0.6,4.3,0.0,542.0,13.3,,,10.4,,2023,11,20
325,536824B002,해남군 옥천면,2023-11-21,5.2,15.8,-2.1,84.2,178.6,0.2,2.5,0.0,540.0,13.0,,,9.6,,2023,11,21
326,536824B002,해남군 옥천면,2023-11-22,8.3,17.9,-0.4,85.0,156.3,0.2,3.4,0.0,442.0,10.8,,,10.0,,2023,11,22
327,536824B002,해남군 옥천면,2023-11-23,13.9,18.4,7.2,75.4,267.8,1.1,7.8,0.0,268.0,8.6,,,12.1,,2023,11,23
328,536824B002,해남군 옥천면,2023-11-24,4.5,7.3,1.6,55.9,297.2,2.3,8.3,0.0,181.0,8.3,,,10.4,,2023,11,24
329,536824B002,해남군 옥천면,2023-11-25,0.8,5.6,-4.5,54.7,312.1,0.8,5.1,0.0,531.0,13.1,,,8.6,,2023,11,25
330,536824B002,해남군 옥천면,2023-11-26,1.5,10.5,-5.0,66.4,338.1,0.2,2.6,0.0,311.0,8.8,,,7.6,,2023,11,26
331,536824B002,해남군 옥천면,2023-11-27,7.9,13.5,1.7,76.4,288.4,0.6,5.7,0.0,4.0,3.0,,,8.9,,2023,11,27
332,536824B002,해남군 옥천면,2023-11-28,5.3,8.8,-1.3,70.2,290.7,1.0,6.7,0.0,364.0,10.2,,,9.2,,2023,11,28
333,536824B002,해남군 옥천면,2023-11-29,4.1,9.8,-2.3,73.6,293.9,0.7,6.4,0.0,220.0,7.3,,,8.5,,2023,11,29
334,536824B002,해남군 옥천면,2023-11-30,1.5,4.3,-0.5,61.6,297.5,1.5,7.9,0.0,183.0,8.4,,,8.2,,2023,11,30
