no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
91,350808A001,홍성군 홍성읍,2016-04-01,11.2,23.3,0.1,55.3,262.8,1.3,7.2,0.0,658.0,28.2,7,10.5,,14.5,2016,4,1
92,350808A001,홍성군 홍성읍,2016-04-02,11.9,21.5,1.5,67.2,249.2,1.7,8.4,0.0,634.0,25.5,261,11.8,,13.4,2016,4,2
93,350808A001,홍성군 홍성읍,2016-04-03,11.7,14.9,8.0,79.6,57.6,2.1,8.6,0.0,0.0,0.7,352,11.1,,12.7,2016,4,3
94,350808A001,홍성군 홍성읍,2016-04-04,12.4,20.5,4.0,66.2,282.4,1.8,8.9,0.0,619.0,25.8,83,12.2,,12.0,2016,4,4
95,350808A001,홍성군 홍성읍,2016-04-05,8.5,18.4,-1.2,60.2,262.8,1.4,6.2,0.0,642.0,33.8,443,8.4,,10.7,2016,4,5
96,350808A001,홍성군 홍성읍,2016-04-06,11.6,23.3,1.5,59.8,89.2,2.1,9.1,3.0,365.0,8.8,265,11.0,,9.8,2016,4,6
97,350808A001,홍성군 홍성읍,2016-04-07,13.1,19.3,9.6,83.5,63.8,3.0,13.2,7.5,398.0,13.5,577,12.7,,11.1,2016,4,7
98,350808A001,홍성군 홍성읍,2016-04-08,10.8,19.0,7.9,88.2,253.1,1.7,6.5,0.0,482.0,20.7,179,11.9,,12.5,2016,4,8
99,350808A001,홍성군 홍성읍,2016-04-09,11.9,19.1,7.9,85.1,244.4,1.4,5.5,0.0,70.0,2.6,341,12.1,,12.8,2016,4,9
100,350808A001,홍성군 홍성읍,2016-04-10,13.2,20.8,7.5,86.2,257.7,1.4,6.9,0.0,356.0,11.0,177,13.6,,12.6,2016,4,10
101,350808A001,홍성군 홍성읍,2016-04-11,11.7,21.0,3.3,71.9,44.9,1.7,6.5,0.0,674.0,29.8,313,11.2,,11.9,2016,4,11
102,350808A001,홍성군 홍성읍,2016-04-12,12.9,20.5,6.4,70.4,74.9,1.6,6.7,0.0,592.0,14.8,142,12.4,,11.2,2016,4,12
103,350808A001,홍성군 홍성읍,2016-04-13,15.3,23.2,10.2,87.7,357.6,1.4,6.2,4.0,373.0,14.3,817,14.7,,10.8,2016,4,13
104,350808A001,홍성군 홍성읍,2016-04-14,10.9,18.2,7.6,92.7,261.3,1.5,5.0,0.0,278.0,13.3,829,11.6,,10.7,2016,4,14
105,350808A001,홍성군 홍성읍,2016-04-15,12.2,22.9,4.4,75.2,235.3,1.7,8.4,0.0,547.0,27.1,541,12.2,,10.5,2016,4,15
106,350808A001,홍성군 홍성읍,2016-04-16,14.2,20.3,7.2,80.5,113.1,3.4,16.6,17.5,84.0,2.8,529,12.9,,13.5,2016,4,16
107,350808A001,홍성군 홍성읍,2016-04-17,11.2,14.5,8.9,82.3,244.4,4.3,16.6,4.0,405.0,19.3,319,11.0,,32.4,2016,4,17
108,350808A001,홍성군 홍성읍,2016-04-18,10.7,16.0,5.0,83.6,217.5,2.8,12.5,0.0,509.0,21.4,298,10.9,,28.6,2016,4,18
109,350808A001,홍성군 홍성읍,2016-04-19,11.2,18.8,7.2,79.7,248.3,1.4,7.2,0.0,671.0,31.8,152,11.5,,27.4,2016,4,19
110,350808A001,홍성군 홍성읍,2016-04-20,11.8,17.6,5.6,81.2,87.0,1.6,6.7,2.0,39.0,1.8,882,10.9,,26.5,2016,4,20
111,350808A001,홍성군 홍성읍,2016-04-21,14.0,19.0,11.5,91.9,53.6,2.6,10.1,28.0,20.0,1.5,691,13.4,,34.6,2016,4,21
112,350808A001,홍성군 홍성읍,2016-04-22,13.8,21.1,11.1,92.0,220.4,2.5,10.1,0.0,351.0,12.3,308,14.0,,30.3,2016,4,22
113,350808A001,홍성군 홍성읍,2016-04-23,13.1,21.1,6.9,77.9,358.1,1.1,5.3,0.0,209.0,6.0,502,12.5,,28.9,2016,4,23
114,350808A001,홍성군 홍성읍,2016-04-24,12.7,23.4,3.9,68.6,64.1,1.3,6.7,0.0,659.0,27.6,396,12.3,,27.7,2016,4,24
115,350808A001,홍성군 홍성읍,2016-04-25,15.0,25.4,5.4,66.6,276.0,1.0,6.7,0.0,714.0,30.2,305,14.2,,26.4,2016,4,25
116,350808A001,홍성군 홍성읍,2016-04-26,16.9,28.0,6.9,68.1,147.9,1.3,6.2,0.0,534.0,20.7,51,16.6,,24.5,2016,4,26
117,350808A001,홍성군 홍성읍,2016-04-27,14.7,16.8,12.6,79.0,61.7,3.1,9.8,4.0,0.0,0.6,672,13.6,,22.2,2016,4,27
118,350808A001,홍성군 홍성읍,2016-04-28,14.3,20.1,8.5,73.5,278.2,1.7,8.4,0.0,488.0,14.2,152,14.2,,20.7,2016,4,28
119,350808A001,홍성군 홍성읍,2016-04-29,12.7,19.2,6.8,81.4,218.0,2.0,7.7,0.0,713.0,31.7,609,13.4,,19.2,2016,4,29
120,350808A001,홍성군 홍성읍,2016-04-30,14.3,20.1,6.9,66.5,206.0,3.4,12.7,0.0,649.0,22.6,448,14.3,,17.5,2016,4,30
