no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,018544F032,화성시 마도면,2022-08-01,28.0,32.1,25.2,85.8,135.5,0.8,5.4,38.5,,13.8,680,,,,2022,8,1
214,018544F032,화성시 마도면,2022-08-02,26.7,29.6,25.6,93.5,179.9,0.8,6.7,33.0,,5.9,783,,,,2022,8,2
215,018544F032,화성시 마도면,2022-08-03,27.4,30.8,25.5,91.5,242.0,1.2,6.3,30.5,,15.1,569,,,,2022,8,3
216,018544F032,화성시 마도면,2022-08-04,28.1,32.6,24.9,85.6,265.9,0.7,4.8,0.0,,20.7,754,,,,2022,8,4
217,018544F032,화성시 마도면,2022-08-05,28.2,32.1,1.5,88.0,260.7,0.8,5.8,0.5,,17.2,505,,,,2022,8,5
218,018544F032,화성시 마도면,2022-08-06,29.1,33.8,26.2,86.9,230.3,0.5,5.6,0.0,,16.3,716,,,,2022,8,6
219,018544F032,화성시 마도면,2022-08-07,29.0,32.8,26.6,86.1,191.4,0.9,7.6,0.0,,11.7,498,,,,2022,8,7
220,018544F032,화성시 마도면,2022-08-08,27.5,29.9,24.8,92.7,198.0,1.0,7.9,71.5,,2.8,711,,,,2022,8,8
221,018544F032,화성시 마도면,2022-08-09,25.9,27.7,22.6,98.1,226.2,1.1,9.2,188.5,,3.3,1156,,,,2022,8,9
222,018544F032,화성시 마도면,2022-08-10,23.1,24.7,21.6,97.9,274.8,0.2,5.2,14.0,,5.5,1180,,,,2022,8,10
223,018544F032,화성시 마도면,2022-08-11,24.0,25.4,23.0,98.7,263.5,0.3,4.3,81.5,,4.9,969,,,,2022,8,11
224,018544F032,화성시 마도면,2022-08-12,25.5,31.1,21.2,84.8,241.0,0.5,4.4,0.0,,20.4,833,,,,2022,8,12
225,018544F032,화성시 마도면,2022-08-13,24.3,26.2,21.6,96.4,146.3,0.2,2.4,9.0,,3.6,1136,,,,2022,8,13
226,018544F032,화성시 마도면,2022-08-14,27.0,32.7,23.3,92.6,182.5,0.3,4.3,4.5,,12.0,920,,,,2022,8,14
227,018544F032,화성시 마도면,2022-08-15,28.1,31.1,26.0,87.2,201.4,1.7,9.8,0.5,,10.9,271,,,,2022,8,15
228,018544F032,화성시 마도면,2022-08-16,25.9,29.4,21.3,80.9,249.6,1.0,5.7,0.0,,21.1,454,,,,2022,8,16
229,018544F032,화성시 마도면,2022-08-17,24.3,29.8,20.2,84.0,259.7,0.6,5.7,0.0,,19.3,687,,,,2022,8,17
230,018544F032,화성시 마도면,2022-08-18,24.2,30.4,19.9,84.0,229.0,0.5,5.5,0.0,,15.8,665,,,,2022,8,18
231,018544F032,화성시 마도면,2022-08-19,25.4,28.7,20.6,90.5,193.0,1.0,7.8,3.5,,5.9,813,,,,2022,8,19
232,018544F032,화성시 마도면,2022-08-20,26.9,30.1,23.2,85.3,269.6,1.0,5.8,0.0,,19.4,302,,,,2022,8,20
233,018544F032,화성시 마도면,2022-08-21,26.7,32.9,23.0,84.6,242.0,0.4,4.8,0.0,,18.9,588,,,,2022,8,21
234,018544F032,화성시 마도면,2022-08-22,26.5,31.5,22.9,82.7,213.5,0.6,6.7,0.5,,14.5,708,,,,2022,8,22
235,018544F032,화성시 마도면,2022-08-23,24.6,29.2,20.9,84.1,289.9,0.6,4.7,7.0,,13.7,588,,,,2022,8,23
236,018544F032,화성시 마도면,2022-08-24,23.5,27.4,19.6,78.1,136.0,0.5,3.9,0.0,,11.6,24,,,,2022,8,24
237,018544F032,화성시 마도면,2022-08-25,21.5,25.6,19.1,84.9,272.8,0.2,3.3,0.0,,5.3,614,,,,2022,8,25
238,018544F032,화성시 마도면,2022-08-26,22.9,28.6,17.9,80.1,254.2,0.7,6.0,0.0,,17.3,256,,,,2022,8,26
239,018544F032,화성시 마도면,2022-08-27,21.3,25.1,15.5,65.7,291.1,1.0,6.8,1.5,,20.1,166,,,,2022,8,27
240,018544F032,화성시 마도면,2022-08-28,21.2,29.2,13.8,72.0,173.9,0.4,4.3,0.0,,18.9,554,,,,2022,8,28
241,018544F032,화성시 마도면,2022-08-29,20.4,21.8,18.3,81.7,137.1,0.5,3.1,1.5,,5.0,610,,,,2022,8,29
242,018544F032,화성시 마도면,2022-08-30,19.2,20.3,18.0,97.6,121.5,0.3,2.5,54.0,,2.5,1099,,,,2022,8,30
243,018544F032,화성시 마도면,2022-08-31,21.3,24.7,18.6,90.8,55.7,0.2,3.3,0.0,,8.2,386,,,,2022,8,31
