no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,445891A001,화성시 장안면,2012-07-01,22.9,27.6,19.9,88.4,247.8,0.6,2.9,0.0,88.0,10.7,592,21.7,20.2,,2012,7,1
183,445891A001,화성시 장안면,2012-07-02,24.7,30.5,21.3,78.8,199.3,0.5,3.9,0.0,280.0,18.0,0,23.6,20.1,,2012,7,2
184,445891A001,화성시 장안면,2012-07-03,24.7,29.5,20.0,83.7,194.6,0.6,3.7,0.0,130.0,11.6,45,23.6,20.2,,2012,7,3
185,445891A001,화성시 장안면,2012-07-04,25.8,29.0,24.0,87.0,229.5,0.6,4.6,0.0,38.0,10.9,199,24.6,20.3,,2012,7,4
186,445891A001,화성시 장안면,2012-07-05,24.4,26.2,22.8,95.4,162.2,0.6,4.2,39.5,0.0,4.6,901,23.2,20.5,,2012,7,5
187,445891A001,화성시 장안면,2012-07-06,22.2,24.1,20.4,99.1,128.8,0.7,6.4,255.0,0.0,1.8,1408,21.2,20.2,,2012,7,6
188,445891A001,화성시 장안면,2012-07-07,25.1,31.8,18.9,74.0,155.0,0.4,3.1,0.0,722.0,26.1,618,24.2,19.9,,2012,7,7
189,445891A001,화성시 장안면,2012-07-08,25.4,30.6,20.3,77.1,228.0,0.6,3.5,0.0,759.0,26.1,0,24.5,20.3,,2012,7,8
190,445891A001,화성시 장안면,2012-07-09,26.1,32.5,20.6,75.6,229.2,0.4,3.0,0.0,410.0,19.1,0,25.1,20.7,,2012,7,9
191,445891A001,화성시 장안면,2012-07-10,26.0,30.7,22.0,81.0,137.8,0.7,3.9,6.0,4.0,9.5,439,25.0,20.8,,2012,7,10
192,445891A001,화성시 장안면,2012-07-11,24.0,28.8,21.8,93.4,195.7,0.7,3.5,9.0,15.0,6.5,1032,23.0,20.7,,2012,7,11
193,445891A001,화성시 장안면,2012-07-12,25.9,30.7,21.7,81.1,191.2,0.6,3.5,0.0,110.0,15.1,0,24.9,20.6,,2012,7,12
194,445891A001,화성시 장안면,2012-07-13,27.1,31.5,23.2,84.9,153.9,0.6,5.1,49.0,255.0,14.8,617,26.1,21.0,,2012,7,13
195,445891A001,화성시 장안면,2012-07-14,25.0,28.9,22.6,94.6,112.1,0.7,3.6,66.5,7.0,5.8,1245,24.0,21.3,,2012,7,14
196,445891A001,화성시 장안면,2012-07-15,21.6,22.6,20.4,98.3,97.2,1.0,5.5,111.0,0.0,2.4,1390,20.5,20.8,,2012,7,15
197,445891A001,화성시 장안면,2012-07-16,23.2,26.9,19.8,86.3,196.0,0.4,2.1,0.0,30.0,10.3,848,22.2,20.3,,2012,7,16
198,445891A001,화성시 장안면,2012-07-17,25.6,29.6,22.3,85.3,119.6,0.5,3.5,0.5,3.0,10.1,402,24.7,20.3,,2012,7,17
199,445891A001,화성시 장안면,2012-07-18,27.3,30.9,24.2,85.3,111.0,0.8,3.9,1.5,3.0,7.5,849,26.3,20.5,,2012,7,18
200,445891A001,화성시 장안면,2012-07-19,25.0,26.5,23.7,93.2,183.2,1.2,5.8,51.0,25.0,8.5,788,24.0,20.9,,2012,7,19
201,445891A001,화성시 장안면,2012-07-20,26.9,31.7,23.4,80.7,241.3,0.5,3.2,1.0,397.0,19.2,382,25.9,21.0,,2012,7,20
202,445891A001,화성시 장안면,2012-07-21,28.1,33.4,23.9,78.0,236.8,0.4,4.2,0.0,514.0,19.9,0,27.1,21.3,,2012,7,21
203,445891A001,화성시 장안면,2012-07-22,28.3,32.8,25.1,82.1,187.1,0.7,4.0,1.0,272.0,14.5,206,27.3,21.6,,2012,7,22
204,445891A001,화성시 장안면,2012-07-23,28.6,33.2,26.1,82.2,189.5,0.7,3.9,0.0,95.0,12.2,0,27.6,21.8,,2012,7,23
205,445891A001,화성시 장안면,2012-07-24,29.2,34.4,25.8,79.4,202.7,0.6,4.1,0.0,578.0,22.9,0,28.2,22.0,,2012,7,24
206,445891A001,화성시 장안면,2012-07-25,28.1,33.4,24.2,80.6,240.9,0.5,3.4,0.0,497.0,21.7,19,27.2,22.4,,2012,7,25
207,445891A001,화성시 장안면,2012-07-26,28.3,33.0,23.8,77.2,236.3,0.5,3.0,0.0,662.0,22.1,0,27.3,22.5,,2012,7,26
208,445891A001,화성시 장안면,2012-07-27,28.3,33.6,24.1,79.2,229.8,0.6,3.6,0.0,562.0,20.6,0,27.4,22.6,,2012,7,27
209,445891A001,화성시 장안면,2012-07-28,28.9,34.1,24.8,79.3,207.8,0.5,3.5,0.0,578.0,21.8,193,27.9,22.8,,2012,7,28
210,445891A001,화성시 장안면,2012-07-29,29.7,34.7,25.6,78.2,197.3,0.7,4.0,0.0,420.0,18.1,0,28.7,22.9,,2012,7,29
211,445891A001,화성시 장안면,2012-07-30,29.5,33.8,25.9,80.1,209.5,0.8,4.4,0.0,310.0,16.5,26,28.5,23.1,,2012,7,30
212,445891A001,화성시 장안면,2012-07-31,29.8,33.9,27.1,79.9,218.2,0.6,2.8,0.0,319.0,16.0,126,28.8,23.1,,2012,7,31
