stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
445891A001,화성시 장안면,2024-07-01,25.3,30.3,21.0,74.7,196.3,0.9,5.3,0.0,658,28.9,0,26.6,25.1,15.7,2024,7,1
445891A001,화성시 장안면,2024-07-02,23.2,25.6,21.2,89.7,26.0,1.9,8.6,48.5,0,9.0,0,22.8,24.2,19.3,2024,7,2
445891A001,화성시 장안면,2024-07-03,25.5,27.6,24.2,79.3,147.9,2.0,7.5,0.5,24,15.1,0,25.4,23.9,23.4,2024,7,3
445891A001,화성시 장안면,2024-07-04,26.9,31.6,22.9,75.7,97.6,1.5,8.3,10.5,400,26.0,0,27.6,25.0,20.0,2024,7,4
445891A001,화성시 장안면,2024-07-05,24.2,27.3,21.8,80.5,178.0,2.5,9.8,0.5,295,26.4,0,24.9,25.2,22.9,2024,7,5
445891A001,화성시 장안면,2024-07-06,26.1,30.8,22.1,83.1,105.0,2.1,10.5,19.5,79,19.6,0,26.2,25.1,22.5,2024,7,6
445891A001,화성시 장안면,2024-07-07,24.0,25.9,22.1,90.7,130.6,0.6,4.8,4.0,0,10.9,0,24.0,24.6,23.4,2024,7,7
445891A001,화성시 장안면,2024-07-08,24.1,25.7,22.3,93.5,103.9,1.1,5.9,49.0,0,10.4,0,23.9,24.3,23.4,2024,7,8
445891A001,화성시 장안면,2024-07-09,23.7,25.0,22.3,92.9,57.3,0.9,7.1,21.5,0,11.0,0,23.6,23.9,23.5,2024,7,9
445891A001,화성시 장안면,2024-07-10,25.8,30.6,22.5,77.6,158.9,2.3,10.9,5.5,591,30.3,0,26.7,25.1,23.3,2024,7,10
445891A001,화성시 장안면,2024-07-11,23.9,28.1,21.9,84.3,195.7,1.4,12.1,0.0,159,21.4,0,24.7,25.4,18.2,2024,7,11
445891A001,화성시 장안면,2024-07-12,24.8,30.1,20.7,80.7,205.1,0.7,4.5,0.0,180,22.8,0,25.8,25.4,12.7,2024,7,12
445891A001,화성시 장안면,2024-07-13,26.1,32.8,21.7,79.5,112.2,1.1,6.4,5.5,559,27.6,0,27.2,26.1,12.5,2024,7,13
445891A001,화성시 장안면,2024-07-14,26.8,31.3,22.9,77.0,35.8,2.0,7.3,0.0,601,27.2,0,27.7,26.4,14.3,2024,7,14
445891A001,화성시 장안면,2024-07-15,27.1,32.0,23.5,74.1,46.4,1.5,17.5,0.0,376,22.9,0,28.1,26.6,10.1,2024,7,15
445891A001,화성시 장안면,2024-07-16,25.6,29.5,23.7,87.2,55.8,1.6,6.4,50.5,199,14.7,0,26.0,26.2,14.1,2024,7,16
445891A001,화성시 장안면,2024-07-17,27.3,30.7,23.6,80.0,90.6,2.7,8.3,1.5,198,18.7,0,27.5,25.9,23.8,2024,7,17
445891A001,화성시 장안면,2024-07-18,24.9,27.6,22.8,91.4,120.9,1.7,12.4,221.5,0,9.8,0,24.6,25.1,24.0,2024,7,18
445891A001,화성시 장안면,2024-07-19,26.6,31.1,23.7,83.3,124.9,0.9,5.6,0.0,304,24.8,0,27.1,25.8,24.0,2024,7,19
445891A001,화성시 장안면,2024-07-20,26.4,30.8,23.3,85.6,79.8,2.1,10.8,16.0,124,21.0,0,26.6,26.2,22.2,2024,7,20
445891A001,화성시 장안면,2024-07-21,27.7,31.7,25.3,77.5,127.8,1.7,11.3,0.5,159,20.3,0,28.0,26.2,23.0,2024,7,21
445891A001,화성시 장안면,2024-07-22,28.5,30.3,26.0,78.6,93.6,2.3,11.9,4.0,41,16.8,0,28.5,26.6,23.0,2024,7,22
445891A001,화성시 장안면,2024-07-23,26.5,28.8,24.9,87.4,116.5,1.4,11.4,53.5,4,12.2,0,26.1,26.1,23.1,2024,7,23
445891A001,화성시 장안면,2024-07-24,27.9,32.5,24.7,84.5,163.0,0.9,6.4,4.5,262,21.7,0,28.2,26.8,23.1,2024,7,24
445891A001,화성시 장안면,2024-07-25,29.2,34.7,24.8,77.8,85.9,0.9,5.9,0.0,559,26.5,0,30.1,28.0,21.2,2024,7,25
445891A001,화성시 장안면,2024-07-26,29.2,33.8,25.7,78.6,60.8,1.8,8.5,0.0,378,22.1,0,29.6,28.3,15.4,2024,7,26
