no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,519822A001,화순군 한천면,2014-09-01,21.2,28.7,16.7,86.1,123.4,0.5,4.7,0.0,,19.3,0,22.7,24.2,,2014,9,1
245,519822A001,화순군 한천면,2014-09-02,20.6,24.3,16.9,91.1,96.1,0.9,8.0,0.5,,6.1,0,20.6,24.0,,2014,9,2
246,519822A001,화순군 한천면,2014-09-03,22.7,25.3,20.1,96.7,202.9,1.2,6.2,18.0,,4.2,0,22.2,23.6,,2014,9,3
247,519822A001,화순군 한천면,2014-09-04,22.3,28.3,17.2,88.6,270.9,0.6,4.2,0.0,,15.8,0,23.2,23.8,,2014,9,4
248,519822A001,화순군 한천면,2014-09-05,22.2,30.1,16.8,85.6,55.1,0.3,2.9,0.0,,18.2,0,23.6,24.1,,2014,9,5
249,519822A001,화순군 한천면,2014-09-06,21.7,30.1,16.7,88.6,45.4,0.3,3.7,0.0,,14.2,0,22.8,24.1,,2014,9,6
250,519822A001,화순군 한천면,2014-09-07,22.8,31.5,16.3,86.8,94.0,0.4,3.9,0.0,,19.1,0,24.3,24.0,,2014,9,7
251,519822A001,화순군 한천면,2014-09-08,23.5,30.0,17.3,88.2,259.3,0.6,5.4,0.0,,16.2,0,24.4,24.7,,2014,9,8
252,519822A001,화순군 한천면,2014-09-09,21.7,29.1,16.9,88.1,284.6,0.5,4.3,0.0,,15.4,0,22.7,24.5,,2014,9,9
253,519822A001,화순군 한천면,2014-09-10,20.1,28.0,13.9,79.0,49.1,0.6,5.2,0.0,,20.2,0,22.0,24.2,,2014,9,10
254,519822A001,화순군 한천면,2014-09-11,20.1,29.1,12.8,86.9,177.9,0.4,3.5,0.0,,16.0,0,21.1,23.4,,2014,9,11
255,519822A001,화순군 한천면,2014-09-12,20.0,24.9,17.1,93.7,140.1,0.3,4.2,0.0,,5.8,0,20.1,23.4,,2014,9,12
256,519822A001,화순군 한천면,2014-09-13,20.9,27.9,15.6,81.4,118.8,0.7,7.2,0.0,,19.7,0,22.7,23.1,,2014,9,13
257,519822A001,화순군 한천면,2014-09-14,19.0,27.2,14.4,87.1,87.1,0.5,6.1,0.0,,15.1,0,20.2,22.9,,2014,9,14
258,519822A001,화순군 한천면,2014-09-15,20.0,28.0,13.9,86.8,47.8,0.5,4.3,0.0,,14.0,0,21.0,22.6,,2014,9,15
259,519822A001,화순군 한천면,2014-09-16,21.0,28.3,15.3,84.0,228.9,0.6,3.9,0.0,,14.6,0,21.9,22.8,,2014,9,16
260,519822A001,화순군 한천면,2014-09-17,20.1,26.6,15.7,87.7,336.4,0.5,4.8,0.0,,10.2,0,20.8,22.9,,2014,9,17
261,519822A001,화순군 한천면,2014-09-18,19.5,26.3,15.3,86.1,113.1,0.5,5.8,0.0,,12.9,0,20.4,22.6,,2014,9,18
262,519822A001,화순군 한천면,2014-09-19,17.6,23.5,12.7,88.8,78.5,0.5,5.3,0.0,,9.1,0,17.9,22.1,,2014,9,19
263,519822A001,화순군 한천면,2014-09-20,17.9,26.4,12.5,85.7,121.3,0.6,5.8,0.0,,14.1,0,19.2,21.5,,2014,9,20
264,519822A001,화순군 한천면,2014-09-21,18.3,27.6,12.1,81.4,79.7,0.5,4.4,0.0,,17.9,0,19.6,21.4,,2014,9,21
265,519822A001,화순군 한천면,2014-09-22,18.3,28.4,11.3,82.9,138.6,0.7,5.7,0.0,,18.5,0,19.8,21.3,,2014,9,22
266,519822A001,화순군 한천면,2014-09-23,19.5,25.4,14.0,86.2,89.4,0.7,5.3,11.5,,7.5,0,19.6,21.3,,2014,9,23
267,519822A001,화순군 한천면,2014-09-24,20.8,24.8,18.6,98.5,2.2,0.8,6.2,154.0,,3.5,0,20.7,21.3,,2014,9,24
268,519822A001,화순군 한천면,2014-09-25,19.9,27.5,14.1,88.4,0.6,0.3,4.2,0.0,,15.1,0,20.7,21.4,,2014,9,25
269,519822A001,화순군 한천면,2014-09-26,20.0,25.9,15.1,89.9,140.5,0.4,4.9,0.0,,11.0,0,20.6,21.6,,2014,9,26
270,519822A001,화순군 한천면,2014-09-27,20.7,27.5,15.8,88.3,288.3,0.4,5.0,0.0,,14.5,0,21.7,22.0,,2014,9,27
271,519822A001,화순군 한천면,2014-09-28,20.3,29.5,15.6,87.0,81.1,0.2,3.7,0.0,,16.2,0,21.6,22.1,,2014,9,28
272,519822A001,화순군 한천면,2014-09-29,19.4,23.9,17.1,96.5,89.3,0.2,2.8,4.5,,4.1,0,19.5,22.0,,2014,9,29
273,519822A001,화순군 한천면,2014-09-30,19.8,25.4,15.9,90.3,90.0,0.4,3.9,0.5,,9.9,0,20.2,21.7,,2014,9,30
