no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,209802A001,화천군 화천읍,2020-06-01,19.9,25.1,13.3,58.6,85.2,2.3,10.2,0.0,670.0,21.7,0,21.3,20.4,,2020,6,1
153,209802A001,화천군 화천읍,2020-06-02,15.1,20.1,11.5,76.1,236.9,0.9,10.9,0.0,72.0,7.5,88,16.0,18.9,,2020,6,2
154,209802A001,화천군 화천읍,2020-06-03,20.6,27.6,14.3,70.9,1.9,1.1,7.1,0.5,726.0,21.2,0,22.6,19.6,,2020,6,3
155,209802A001,화천군 화천읍,2020-06-04,21.0,28.5,14.8,73.3,119.7,1.4,8.6,0.0,431.0,14.7,0,22.5,20.8,,2020,6,4
156,209802A001,화천군 화천읍,2020-06-05,21.2,28.4,15.1,70.8,46.1,0.9,5.8,0.0,680.0,19.7,0,23.1,21.3,,2020,6,5
157,209802A001,화천군 화천읍,2020-06-06,21.6,29.5,13.9,68.8,327.4,0.8,4.5,0.0,672.0,20.1,23,23.2,21.8,,2020,6,6
158,209802A001,화천군 화천읍,2020-06-07,22.2,28.6,16.1,70.8,348.3,1.1,5.4,0.0,711.0,21.1,0,24.1,22.5,,2020,6,7
159,209802A001,화천군 화천읍,2020-06-08,23.2,31.1,16.4,74.0,271.7,0.9,10.8,0.0,710.0,20.4,0,25.2,23.1,,2020,6,8
160,209802A001,화천군 화천읍,2020-06-09,24.4,32.0,17.4,72.2,253.7,0.8,4.9,0.0,642.0,20.3,0,26.4,23.9,,2020,6,9
161,209802A001,화천군 화천읍,2020-06-10,24.0,30.7,18.0,74.0,255.5,0.8,7.6,0.5,411.0,16.5,77,25.6,24.1,,2020,6,10
162,209802A001,화천군 화천읍,2020-06-11,25.2,32.1,20.5,69.3,114.4,0.8,5.4,0.5,607.0,21.7,504,26.8,24.5,,2020,6,11
163,209802A001,화천군 화천읍,2020-06-12,22.0,27.1,16.9,73.8,247.8,0.9,3.5,0.0,264.0,12.2,0,23.3,24.1,,2020,6,12
164,209802A001,화천군 화천읍,2020-06-13,23.3,32.6,14.9,62.7,230.0,0.9,5.4,0.0,715.0,23.0,0,25.1,23.6,,2020,6,13
165,209802A001,화천군 화천읍,2020-06-14,23.4,28.5,18.7,70.9,82.5,1.4,9.1,2.0,322.0,16.5,203,24.6,24.2,,2020,6,14
166,209802A001,화천군 화천읍,2020-06-15,21.7,29.2,15.4,64.8,92.7,1.7,11.2,0.0,652.0,21.8,0,23.2,23.6,,2020,6,15
167,209802A001,화천군 화천읍,2020-06-16,21.0,28.8,12.6,67.8,348.5,1.0,5.0,0.0,691.0,22.9,0,22.9,23.3,,2020,6,16
168,209802A001,화천군 화천읍,2020-06-17,22.6,29.5,15.3,70.1,23.9,1.1,6.4,0.0,688.0,21.8,0,24.7,24.1,,2020,6,17
169,209802A001,화천군 화천읍,2020-06-18,21.4,26.2,16.6,70.2,106.8,0.7,6.1,0.0,15.0,10.5,0,22.7,23.8,,2020,6,18
170,209802A001,화천군 화천읍,2020-06-19,21.6,26.9,17.7,72.0,256.9,0.9,6.8,0.0,326.0,15.2,0,23.4,23.5,,2020,6,19
171,209802A001,화천군 화천읍,2020-06-20,21.3,30.0,15.2,80.4,223.9,0.8,9.3,11.0,589.0,19.2,399,23.1,23.5,,2020,6,20
172,209802A001,화천군 화천읍,2020-06-21,23.2,31.5,16.4,73.0,225.0,0.6,3.9,0.0,655.0,20.8,180,24.5,24.0,,2020,6,21
173,209802A001,화천군 화천읍,2020-06-22,24.2,34.2,15.7,66.5,332.8,0.5,9.5,0.0,715.0,22.3,0,25.3,24.6,,2020,6,22
174,209802A001,화천군 화천읍,2020-06-23,24.0,32.3,16.9,70.2,260.5,0.4,5.5,0.0,355.0,15.0,0,24.9,24.8,,2020,6,23
175,209802A001,화천군 화천읍,2020-06-24,20.3,22.6,18.6,88.7,114.3,0.8,9.4,43.0,0.0,2.8,351,20.7,23.7,,2020,6,24
176,209802A001,화천군 화천읍,2020-06-25,20.3,23.4,18.3,91.3,51.5,0.5,3.1,3.0,0.0,5.8,982,21.2,22.3,,2020,6,25
177,209802A001,화천군 화천읍,2020-06-26,21.5,25.1,19.5,80.6,34.8,1.4,7.0,0.0,146.0,11.4,721,22.4,22.7,,2020,6,26
178,209802A001,화천군 화천읍,2020-06-27,22.2,27.8,18.0,78.1,89.2,0.8,8.4,2.5,250.0,13.9,192,23.6,23.4,,2020,6,27
179,209802A001,화천군 화천읍,2020-06-28,22.4,29.5,17.4,78.3,78.4,0.8,4.9,0.0,512.0,19.8,603,24.0,23.9,,2020,6,28
180,209802A001,화천군 화천읍,2020-06-29,22.4,26.6,18.0,79.8,255.4,1.1,11.2,0.5,78.0,8.6,35,23.2,24.1,,2020,6,29
181,209802A001,화천군 화천읍,2020-06-30,19.8,22.6,16.5,77.6,194.1,1.7,11.8,14.0,0.0,4.6,502,19.7,22.1,,2020,6,30
