no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,225874A001,횡성군 공근면,2018-10-01,12.1,20.0,6.3,74.5,254.3,0.8,6.7,0.0,334.0,12.1,0,11.9,19.0,22.6,2018,10,1
275,225874A001,횡성군 공근면,2018-10-02,12.3,20.4,6.4,81.7,205.2,0.6,4.0,0.0,269.0,12.5,0,12.2,18.4,22.1,2018,10,2
276,225874A001,횡성군 공근면,2018-10-03,12.9,23.3,6.6,81.0,187.9,0.6,3.6,0.0,504.0,16.7,141,13.1,18.2,21.6,2018,10,3
277,225874A001,횡성군 공근면,2018-10-04,16.1,25.3,7.3,75.1,63.8,1.1,6.2,0.0,473.0,16.9,6,16.0,18.2,21.1,2018,10,4
278,225874A001,횡성군 공근면,2018-10-05,15.7,17.8,13.7,94.1,75.7,0.8,3.8,34.5,0.0,3.6,1188,15.0,18.5,26.1,2018,10,5
279,225874A001,횡성군 공근면,2018-10-06,17.4,22.0,14.1,88.0,59.1,1.5,7.8,48.0,56.0,5.3,1430,16.3,18.3,35.8,2018,10,6
280,225874A001,횡성군 공근면,2018-10-07,15.6,22.3,8.7,82.9,224.8,0.7,5.2,0.0,403.0,14.5,578,15.4,18.4,30.9,2018,10,7
281,225874A001,횡성군 공근면,2018-10-08,11.0,19.9,5.3,77.1,203.0,0.6,4.5,0.0,436.0,14.8,0,11.0,18.1,28.9,2018,10,8
282,225874A001,횡성군 공근면,2018-10-09,12.3,20.8,5.9,79.0,217.2,0.4,3.1,0.0,221.0,10.7,0,12.2,17.5,28.1,2018,10,9
283,225874A001,횡성군 공근면,2018-10-10,11.9,16.5,4.9,76.5,255.8,1.0,7.7,2.0,360.0,13.4,533,11.5,17.4,27.9,2018,10,10
284,225874A001,횡성군 공근면,2018-10-11,7.0,15.0,1.7,76.2,277.5,0.8,6.2,0.0,366.0,14.4,0,7.0,16.7,27.2,2018,10,11
285,225874A001,횡성군 공근면,2018-10-12,7.2,16.7,0.6,78.9,211.1,0.5,4.1,0.0,514.0,16.0,0,7.4,15.9,26.7,2018,10,12
286,225874A001,횡성군 공근면,2018-10-13,9.0,19.8,1.6,78.1,221.8,0.6,5.5,0.0,505.0,15.6,0,9.0,15.4,26.2,2018,10,13
287,225874A001,횡성군 공근면,2018-10-14,9.7,19.4,2.6,79.1,225.5,0.5,3.8,0.0,440.0,13.2,18,9.6,15.2,25.8,2018,10,14
288,225874A001,횡성군 공근면,2018-10-15,10.6,19.7,4.0,83.4,199.2,0.4,4.0,0.0,380.0,11.8,0,10.3,15.1,25.4,2018,10,15
289,225874A001,횡성군 공근면,2018-10-16,10.8,19.4,6.4,84.2,207.8,0.4,2.4,0.0,316.0,10.6,88,10.5,15.2,25.1,2018,10,16
290,225874A001,횡성군 공근면,2018-10-17,9.6,19.2,3.8,81.4,234.5,0.5,4.4,0.0,379.0,11.7,55,9.3,15.1,24.8,2018,10,17
291,225874A001,횡성군 공근면,2018-10-18,8.4,16.1,2.2,88.1,46.8,0.6,6.0,4.0,55.0,6.1,583,7.9,14.6,24.8,2018,10,18
292,225874A001,횡성군 공근면,2018-10-19,9.4,19.0,3.6,81.0,210.3,0.5,3.7,0.0,446.0,14.0,805,9.2,14.4,25.6,2018,10,19
293,225874A001,횡성군 공근면,2018-10-20,8.7,21.0,1.3,79.1,191.2,0.5,3.8,0.0,447.0,13.6,0,8.5,14.2,25.4,2018,10,20
294,225874A001,횡성군 공근면,2018-10-21,8.5,20.6,1.0,77.8,198.6,0.5,4.3,0.0,437.0,13.4,0,8.2,13.9,25.1,2018,10,21
295,225874A001,횡성군 공근면,2018-10-22,10.3,19.9,3.0,75.4,211.2,0.5,4.3,0.0,338.0,11.6,0,10.0,13.7,24.8,2018,10,22
296,225874A001,횡성군 공근면,2018-10-23,8.3,13.6,3.8,91.0,36.2,0.5,5.6,2.0,70.0,5.9,746,7.6,13.7,24.7,2018,10,23
297,225874A001,횡성군 공근면,2018-10-24,10.5,17.6,5.0,84.3,225.7,0.5,3.7,0.0,364.0,12.1,693,10.4,13.6,25.0,2018,10,24
298,225874A001,횡성군 공근면,2018-10-25,9.7,21.2,3.7,81.8,165.6,0.5,3.0,0.0,368.0,12.1,158,9.5,13.7,24.8,2018,10,25
299,225874A001,횡성군 공근면,2018-10-26,9.5,12.7,6.0,94.0,129.5,0.5,3.8,6.5,0.0,2.8,976,8.7,13.7,25.6,2018,10,26
300,225874A001,횡성군 공근면,2018-10-27,6.6,13.1,0.5,72.3,260.7,1.1,7.9,0.0,270.0,9.8,670,5.8,13.2,27.0,2018,10,27
301,225874A001,횡성군 공근면,2018-10-28,5.0,10.3,-0.7,92.3,133.6,0.6,4.8,3.0,29.0,4.9,1032,4.3,12.3,27.2,2018,10,28
302,225874A001,횡성군 공근면,2018-10-29,5.8,12.7,0.8,77.5,230.1,0.8,6.4,0.0,181.0,8.9,852,5.3,11.8,27.4,2018,10,29
303,225874A001,횡성군 공근면,2018-10-30,3.9,11.9,-2.1,74.5,229.4,0.6,5.3,0.0,378.0,11.5,35,3.4,11.4,27.0,2018,10,30
304,225874A001,횡성군 공근면,2018-10-31,4.8,13.3,-0.8,75.9,203.1,0.6,4.8,0.0,358.0,10.6,33,4.1,11.0,26.7,2018,10,31
